Fecha;Hora;ConcentracionMP10;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-28;01:00;;;;;;;
2025-07-28;02:00;;;;;;;
2025-07-28;03:00;;;;;;;
2025-07-28;04:00;;;;;;;
2025-07-28;05:00;;;;;;;
2025-07-28;06:00;;;;;;;
2025-07-28;07:00;;;;;;;
2025-07-28;08:00;;;;;;;
2025-07-28;09:00;;;;;;;
2025-07-28;10:00;;;;;;;
2025-07-28;11:00;;;;;;;
2025-07-28;12:00;;;;;;;
2025-07-28;13:00;;;;;;;
2025-07-28;14:00;;;;;;;
2025-07-28;15:00;48;;;;;;
2025-07-28;16:00;50;;;;;;
2025-07-28;17:00;50;;;;;;
2025-07-28;18:00;30;;;;;;
2025-07-28;19:00;26;;;;;;
2025-07-28;20:00;;;;;;;
2025-07-28;21:00;29;;;;;;
2025-07-28;22:00;34;;;;;;
2025-07-28;23:00;39;;;;;;
2025-07-29;00:00;44;;57.38;44.13;Bueno;120.30;Regular
2025-07-29;01:00;54;;57.38;44.13;Bueno;120.30;Regular
2025-07-29;02:00;45;;57.38;44.13;Bueno;120.30;Regular
2025-07-29;03:00;40;;57.38;44.13;Bueno;120.30;Regular
2025-07-29;04:00;40;;57.38;44.13;Bueno;120.30;Regular
2025-07-29;05:00;70;;57.38;44.13;Bueno;120.30;Regular
2025-07-29;06:00;55;;57.38;44.13;Bueno;120.30;Regular
2025-07-29;07:00;60;;57.38;44.13;Bueno;120.30;Regular
2025-07-29;08:00;66;;57.38;44.13;Bueno;120.30;Regular
2025-07-29;09:00;53;46.28;57.38;44.13;Bueno;120.30;Regular
2025-07-29;10:00;57;46.84;57.38;44.13;Bueno;120.30;Regular
2025-07-29;11:00;51;47.05;57.38;44.13;Bueno;120.30;Regular
2025-07-29;12:00;65;47.90;57.38;44.13;Bueno;120.30;Regular
2025-07-29;13:00;70;48.91;57.38;44.13;Bueno;120.30;Regular
2025-07-29;14:00;62;49.48;57.38;44.13;Bueno;120.30;Regular
2025-07-29;15:00;62;50.09;57.38;44.13;Bueno;120.30;Regular
2025-07-29;16:00;53;50.22;57.38;44.13;Bueno;120.30;Regular
2025-07-29;17:00;62;50.74;57.38;44.13;Bueno;120.30;Regular
2025-07-29;18:00;66;52.30;57.38;44.13;Bueno;120.30;Regular
2025-07-29;19:00;64;53.96;57.38;44.13;Bueno;120.30;Regular
2025-07-29;20:00;52;53.88;57.38;44.13;Bueno;120.30;Regular
2025-07-29;21:00;62;55.25;57.38;44.13;Bueno;120.30;Regular
2025-07-29;22:00;61;56.38;57.38;44.13;Bueno;120.30;Regular
2025-07-29;23:00;63;57.38;57.38;44.13;Bueno;120.30;Regular
2025-07-30;00:00;54;57.79;29.08;22.37;Bueno;64.63;Bueno
2025-07-30;01:00;36;57.04;29.08;22.37;Bueno;64.63;Bueno
2025-07-30;02:00;33;56.54;29.08;22.37;Bueno;64.63;Bueno
2025-07-30;03:00;31;56.17;29.08;22.37;Bueno;64.63;Bueno
2025-07-30;04:00;29;55.71;29.08;22.37;Bueno;64.63;Bueno
2025-07-30;05:00;27;53.92;29.08;22.37;Bueno;64.63;Bueno
2025-07-30;06:00;33;53.00;29.08;22.37;Bueno;64.63;Bueno
2025-07-30;07:00;57;52.88;29.08;22.37;Bueno;64.63;Bueno
2025-07-30;08:00;49;52.17;29.08;22.37;Bueno;64.63;Bueno
2025-07-30;09:00;54;52.21;29.08;22.37;Bueno;64.63;Bueno
2025-07-30;10:00;37;51.38;29.08;22.37;Bueno;64.63;Bueno
2025-07-30;11:00;33;50.62;29.08;22.37;Bueno;64.63;Bueno
2025-07-30;12:00;21;48.79;29.08;22.37;Bueno;64.63;Bueno
2025-07-30;13:00;15;46.50;29.08;22.37;Bueno;64.63;Bueno
2025-07-30;14:00;12;44.42;29.08;22.37;Bueno;64.63;Bueno
2025-07-30;15:00;11;42.29;29.08;22.37;Bueno;64.63;Bueno
2025-07-30;16:00;11;40.54;29.08;22.37;Bueno;64.63;Bueno
2025-07-30;17:00;21;38.83;29.08;22.37;Bueno;64.63;Bueno
2025-07-30;18:00;22;37.00;29.08;22.37;Bueno;64.63;Bueno
2025-07-30;19:00;16;35.00;29.08;22.37;Bueno;64.63;Bueno
2025-07-30;20:00;18;33.58;29.08;22.37;Bueno;64.63;Bueno
2025-07-30;21:00;22;31.92;29.08;22.37;Bueno;64.63;Bueno
2025-07-30;22:00;23;30.33;29.08;22.37;Bueno;64.63;Bueno
2025-07-30;23:00;33;29.08;29.08;22.37;Bueno;64.63;Bueno
2025-07-31;00:00;35;28.29;30.12;23.17;Bueno;66.94;Bueno
2025-07-31;01:00;32;28.12;30.12;23.17;Bueno;66.94;Bueno
2025-07-31;02:00;29;27.96;30.12;23.17;Bueno;66.94;Bueno
2025-07-31;03:00;30;27.92;30.12;23.17;Bueno;66.94;Bueno
