Fecha;Hora;ConcentracionMP2_5;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-28;01:00;4.00;;7.27;14.55;Bueno;48.48;Bueno
2025-07-28;02:00;;;7.27;14.55;Bueno;48.48;Bueno
2025-07-28;03:00;7.00;;7.27;14.55;Bueno;48.48;Bueno
2025-07-28;04:00;4.00;;7.27;14.55;Bueno;48.48;Bueno
2025-07-28;05:00;2.00;;7.27;14.55;Bueno;48.48;Bueno
2025-07-28;06:00;7.00;;7.27;14.55;Bueno;48.48;Bueno
2025-07-28;07:00;9.00;;7.27;14.55;Bueno;48.48;Bueno
2025-07-28;08:00;7.00;;7.27;14.55;Bueno;48.48;Bueno
2025-07-28;09:00;9.00;;7.27;14.55;Bueno;48.48;Bueno
2025-07-28;10:00;11.00;;7.27;14.55;Bueno;48.48;Bueno
2025-07-28;11:00;15.00;;7.27;14.55;Bueno;48.48;Bueno
2025-07-28;12:00;10.00;;7.27;14.55;Bueno;48.48;Bueno
2025-07-28;13:00;6.00;;7.27;14.55;Bueno;48.48;Bueno
2025-07-28;14:00;6.00;;7.27;14.55;Bueno;48.48;Bueno
2025-07-28;15:00;4.00;;7.27;14.55;Bueno;48.48;Bueno
2025-07-28;16:00;6.00;;7.27;14.55;Bueno;48.48;Bueno
2025-07-28;17:00;2.00;;7.27;14.55;Bueno;48.48;Bueno
2025-07-28;18:00;5.00;;7.27;14.55;Bueno;48.48;Bueno
2025-07-28;19:00;9.00;6.83;7.27;14.55;Bueno;48.48;Bueno
2025-07-28;20:00;9.00;6.95;7.27;14.55;Bueno;48.48;Bueno
2025-07-28;21:00;7.00;6.95;7.27;14.55;Bueno;48.48;Bueno
2025-07-28;22:00;10.00;7.10;7.27;14.55;Bueno;48.48;Bueno
2025-07-28;23:00;11.00;7.27;7.27;14.55;Bueno;48.48;Bueno
2025-07-29;00:00;5.00;7.17;8.67;17.33;Bueno;57.78;Bueno
2025-07-29;01:00;5.00;7.22;8.67;17.33;Bueno;57.78;Bueno
2025-07-29;02:00;4.00;7.08;8.67;17.33;Bueno;57.78;Bueno
2025-07-29;03:00;3.00;6.92;8.67;17.33;Bueno;57.78;Bueno
2025-07-29;04:00;9.00;7.12;8.67;17.33;Bueno;57.78;Bueno
2025-07-29;05:00;4.00;7.21;8.67;17.33;Bueno;57.78;Bueno
2025-07-29;06:00;7.00;7.21;8.67;17.33;Bueno;57.78;Bueno
