Fecha;Estacion_seleccionada;PromedioDiario_MP10;ICAP_MP10;ICAP_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;ICAP_mod_MP2_5;condicion_final;condicion_mod
2025-07-28;Club_Deportivo_23_de_Marzo;43.43;33.41;96.52;5.35;10.7;35.65;Bueno;Bueno
2025-07-29;Antofagasta;57.38;44.13;120.30;28.29;56.58;128.83;Bueno;Regular
2025-07-30;Colegio_Pedro_Vergara_Keller;43.71;33.63;97.14;6.52;13.05;43.49;Bueno;Bueno
2025-07-31;Antofagasta;30.12;23.17;66.94;11.29;22.58;75.28;Bueno;Bueno
2025-08-01;Club_Deportivo_23_de_Marzo;76.54;58.88;151.96;9.58;19.17;63.89;Bueno;Regular
2025-08-02;Club_Deportivo_23_de_Marzo;46.62;35.87;102.66;7.17;14.33;47.78;Bueno;Regular
2025-08-03;Antofagasta;48.33;37.18;105.46;14.79;29.58;98.61;Bueno;Regular
2025-08-04;Antofagasta;52.42;40.32;112.16;21.5;43.0;114.07;Bueno;Regular
2025-08-05;Club_Deportivo_23_de_Marzo;55.38;42.60;117.02;8.29;16.58;55.28;Bueno;Regular
2025-08-06;Colegio_Pedro_Vergara_Keller;48.21;37.08;105.25;8.29;16.58;55.28;Bueno;Regular
2025-08-07;Colegio_Pedro_Vergara_Keller;65.92;50.71;134.38;10.62;21.25;70.83;Bueno;Regular
2025-08-08;Club_Deportivo_23_de_Marzo;52.10;40.07;111.63;8.67;17.33;57.78;Bueno;Regular
2025-08-09;Club_Deportivo_23_de_Marzo;47.46;36.51;104.03;7.38;14.75;49.17;Bueno;Regular
2025-08-10;Club_Deportivo_23_de_Marzo;47.13;36.25;103.49;6.39;12.78;42.61;Bueno;Regular
2025-08-11;Club_Deportivo_23_de_Marzo;59.62;45.87;124.01;6.21;12.42;41.39;Bueno;Regular
2025-08-12;Club_Deportivo_23_de_Marzo;53.50;41.15;113.94;5.83;11.67;38.89;Bueno;Regular
2025-08-13;Club_Deportivo_23_de_Marzo;67.12;51.63;136.38;7.92;15.83;52.78;Bueno;Regular
2025-08-14;Colegio_Pedro_Vergara_Keller;55.67;42.82;117.50;10.25;20.5;68.33;Bueno;Regular
2025-08-15;Club_Deportivo_23_de_Marzo;41.30;31.77;91.79;6.48;12.96;43.19;Bueno;Bueno
2025-08-16;Club_Deportivo_23_de_Marzo;38.21;29.39;84.91;6.33;12.67;42.22;Bueno;Bueno
2025-08-17;Colegio_Pedro_Vergara_Keller;43.25;33.27;96.11;6.96;13.92;46.39;Bueno;Bueno
2025-08-18;Antofagasta;24.55;18.88;54.55;4.43;8.86;29.52;Bueno;Bueno
2025-08-19;Antofagasta;46.79;35.99;102.93;6.67;13.33;44.44;Bueno;Regular
2025-08-20;Antofagasta;44.29;34.07;98.43;10.5;21.0;70.0;Bueno;Bueno
2025-08-21;Antofagasta;38.42;29.55;85.37;13.04;26.08;86.94;Bueno;Bueno
2025-08-22;Antofagasta;41.00;31.54;91.11;7.04;14.08;46.94;Bueno;Bueno
2025-08-23;Antofagasta;58.38;44.90;121.95;11.54;23.08;76.94;Bueno;Regular
2025-08-24;Antofagasta;54.79;42.15;116.06;12.38;24.75;82.5;Bueno;Regular
2025-08-25;Antofagasta;54.50;41.92;115.58;14.33;28.67;95.56;Bueno;Regular
2025-08-26;Antofagasta;50.92;39.17;109.70;14.71;29.42;98.06;Bueno;Regular
2025-08-27;Colegio_Pedro_Vergara_Keller;55.25;42.50;116.81;7.5;15.0;50.0;Bueno;Regular
2025-08-28;Colegio_Pedro_Vergara_Keller;46.96;36.12;103.21;8.0;16.0;53.33;Bueno;Regular
2025-08-29;Antofagasta;44.08;33.91;97.96;12.42;24.83;82.78;Bueno;Bueno
2025-08-30;Club_Deportivo_23_de_Marzo;46.25;35.58;102.05;5.54;11.08;36.94;Bueno;Regular
2025-08-31;Antofagasta;44.88;34.52;99.72;7.29;14.58;48.61;Bueno;Bueno
2025-09-01;Antofagasta;41.08;31.60;91.30;10.67;21.33;71.11;Bueno;Bueno
2025-09-02;Club_Deportivo_23_de_Marzo;44.38;34.13;98.61;4.29;8.58;28.61;Bueno;Bueno
2025-09-03;Hospital_del_Cobre;43.65;33.58;97.00;6.39;12.78;42.61;Bueno;Bueno
2025-09-04;Colegio_Pedro_Vergara_Keller;50.05;38.50;108.28;9.53;19.05;63.51;Bueno;Regular
2025-09-05;Club_Deportivo_23_de_Marzo;33.32;25.63;74.04;10.27;20.55;68.48;Bueno;Bueno
2025-09-06;Hospital_del_Cobre;29.13;22.41;64.73;5.87;11.74;39.13;Bueno;Bueno
2025-09-07;Hospital_del_Cobre;37.95;29.19;84.33;6.57;13.13;43.77;Bueno;Bueno
2025-09-08;Antofagasta;35.04;26.96;77.87;9.67;19.33;64.44;Bueno;Bueno
2025-09-09;Antofagasta;44.50;34.23;98.89;14.0;28.0;93.33;Bueno;Bueno
