Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-28;43.43;33.41;Bueno;96.52;Bueno;5.35;10.70;Bueno;35.65;Bueno;Bueno;Bueno
2025-07-29;53.62;41.25;Bueno;114.14;Regular;5.83;11.67;Bueno;38.89;Bueno;Bueno;Regular
2025-07-30;40.83;31.41;Bueno;90.74;Bueno;4.38;8.75;Bueno;29.17;Bueno;Bueno;Bueno
2025-07-31;23.05;17.73;Bueno;51.23;Bueno;5.26;10.53;Bueno;35.09;Bueno;Bueno;Bueno
2025-08-01;76.54;58.88;Bueno;151.96;Regular;9.58;19.17;Bueno;63.89;Bueno;Bueno;Regular
2025-08-02;46.62;35.87;Bueno;102.66;Regular;7.17;14.33;Bueno;47.78;Bueno;Bueno;Regular
2025-08-03;44.00;33.85;Bueno;97.78;Bueno;7.04;14.08;Bueno;46.94;Bueno;Bueno;Bueno
2025-08-04;44.67;34.36;Bueno;99.26;Bueno;5.50;11.00;Bueno;36.67;Bueno;Bueno;Bueno
2025-08-05;55.38;42.60;Bueno;117.02;Regular;8.29;16.58;Bueno;55.28;Bueno;Bueno;Regular
2025-08-06;46.58;35.83;Bueno;102.59;Regular;5.12;10.25;Bueno;34.17;Bueno;Bueno;Regular
2025-08-07;56.54;43.49;Bueno;118.93;Regular;6.92;13.83;Bueno;46.11;Bueno;Bueno;Regular
2025-08-08;52.10;40.07;Bueno;111.63;Regular;8.67;17.33;Bueno;57.78;Bueno;Bueno;Regular
2025-08-09;47.46;36.51;Bueno;104.03;Regular;7.38;14.75;Bueno;49.17;Bueno;Bueno;Regular
2025-08-10;47.13;36.25;Bueno;103.49;Regular;6.39;12.78;Bueno;42.61;Bueno;Bueno;Regular
2025-08-11;59.62;45.87;Bueno;124.01;Regular;6.21;12.42;Bueno;41.39;Bueno;Bueno;Regular
2025-08-12;53.50;41.15;Bueno;113.94;Regular;5.83;11.67;Bueno;38.89;Bueno;Bueno;Regular
2025-08-13;67.12;51.63;Bueno;136.38;Regular;7.92;15.83;Bueno;52.78;Bueno;Bueno;Regular
2025-08-14;;;;;;;;;;;;
2025-08-15;41.30;31.77;Bueno;91.79;Bueno;6.48;12.96;Bueno;43.19;Bueno;Bueno;Bueno
2025-08-16;38.21;29.39;Bueno;84.91;Bueno;6.33;12.67;Bueno;42.22;Bueno;Bueno;Bueno
2025-08-17;42.67;32.82;Bueno;94.81;Bueno;5.33;10.67;Bueno;35.56;Bueno;Bueno;Bueno
2025-08-18;;;;;;;;;;;;
2025-08-19;;;;;;;;;;;;
2025-08-20;41.35;31.81;Bueno;91.88;Bueno;4.04;8.09;Bueno;26.96;Bueno;Bueno;Bueno
2025-08-21;32.61;25.08;Bueno;72.46;Bueno;3.17;6.35;Bueno;21.16;Bueno;Bueno;Bueno
2025-08-22;34.57;26.59;Bueno;76.83;Bueno;4.71;9.43;Bueno;31.43;Bueno;Bueno;Bueno
2025-08-23;41.57;31.97;Bueno;92.37;Bueno;6.91;13.83;Bueno;46.09;Bueno;Bueno;Bueno
2025-08-24;39.83;30.64;Bueno;88.50;Bueno;7.00;14.00;Bueno;46.67;Bueno;Bueno;Bueno
2025-08-25;34.58;26.60;Bueno;76.85;Bueno;4.79;9.58;Bueno;31.94;Bueno;Bueno;Bueno
2025-08-26;42.58;32.76;Bueno;94.63;Bueno;5.50;11.00;Bueno;36.67;Bueno;Bueno;Bueno
2025-08-27;49.21;37.85;Bueno;106.89;Regular;5.96;11.92;Bueno;39.72;Bueno;Bueno;Regular
2025-08-28;36.09;27.76;Bueno;80.19;Bueno;5.09;10.17;Bueno;33.91;Bueno;Bueno;Bueno
2025-08-29;39.74;30.57;Bueno;88.31;Bueno;3.96;7.91;Bueno;26.38;Bueno;Bueno;Bueno
2025-08-30;46.25;35.58;Bueno;102.05;Regular;5.54;11.08;Bueno;36.94;Bueno;Bueno;Regular
2025-08-31;35.88;27.60;Bueno;79.72;Bueno;4.17;8.33;Bueno;27.78;Bueno;Bueno;Bueno
2025-09-01;38.38;29.52;Bueno;85.28;Bueno;5.33;10.67;Bueno;35.56;Bueno;Bueno;Bueno
2025-09-02;44.38;34.13;Bueno;98.61;Bueno;4.29;8.58;Bueno;28.61;Bueno;Bueno;Bueno
2025-09-03;38.62;29.71;Bueno;85.83;Bueno;4.54;9.08;Bueno;30.28;Bueno;Bueno;Bueno
2025-09-04;40.29;30.99;Bueno;89.54;Bueno;6.21;12.42;Bueno;41.39;Bueno;Bueno;Bueno
2025-09-05;33.32;25.63;Bueno;74.04;Bueno;10.27;20.55;Bueno;68.48;Bueno;Bueno;Bueno
2025-09-06;26.21;20.16;Bueno;58.24;Bueno;3.42;6.83;Bueno;22.78;Bueno;Bueno;Bueno
2025-09-07;36.29;27.92;Bueno;80.65;Bueno;4.33;8.67;Bueno;28.89;Bueno;Bueno;Bueno
2025-09-08;23.13;17.79;Bueno;51.40;Bueno;3.70;7.39;Bueno;24.64;Bueno;Bueno;Bueno
2025-09-09;38.50;29.62;Bueno;85.56;Bueno;3.50;7.00;Bueno;23.33;Bueno;Bueno;Bueno
2025-09-10;46.71;35.93;Bueno;102.80;Regular;4.46;8.92;Bueno;29.72;Bueno;Bueno;Regular
2025-09-11;49.08;37.76;Bueno;106.69;Regular;5.12;10.25;Bueno;34.17;Bueno;Bueno;Regular
2025-09-12;68.79;52.92;Bueno;139.13;Regular;7.75;15.50;Bueno;51.67;Bueno;Bueno;Regular
2025-09-13;49.46;38.04;Bueno;107.30;Regular;6.83;13.67;Bueno;45.56;Bueno;Bueno;Regular
2025-09-14;52.79;40.61;Bueno;112.77;Regular;6.54;13.08;Bueno;43.61;Bueno;Bueno;Regular
2025-09-15;48.25;37.12;Bueno;105.32;Regular;4.75;9.50;Bueno;31.67;Bueno;Bueno;Regular
2025-09-16;46.53;35.79;Bueno;102.50;Regular;6.00;12.00;Bueno;40.00;Bueno;Bueno;Regular
2025-09-17;40.71;31.31;Bueno;90.46;Bueno;5.75;11.50;Bueno;38.33;Bueno;Bueno;Bueno
2025-09-18;58.33;44.87;Bueno;121.88;Regular;7.67;15.33;Bueno;51.11;Bueno;Bueno;Regular
2025-09-19;35.75;27.50;Bueno;79.44;Bueno;4.46;8.92;Bueno;29.72;Bueno;Bueno;Bueno
2025-09-20;37.33;28.72;Bueno;82.96;Bueno;3.38;6.75;Bueno;22.50;Bueno;Bueno;Bueno
2025-09-21;47.08;36.22;Bueno;103.41;Regular;5.00;10.00;Bueno;33.33;Bueno;Bueno;Regular
2025-09-22;39.88;30.67;Bueno;88.61;Bueno;4.25;8.50;Bueno;28.33;Bueno;Bueno;Bueno
2025-09-23;38.67;29.74;Bueno;85.93;Bueno;3.92;7.83;Bueno;26.11;Bueno;Bueno;Bueno
2025-09-24;51.87;39.90;Bueno;111.26;Regular;5.00;10.00;Bueno;33.33;Bueno;Bueno;Regular
2025-09-25;52.08;40.06;Bueno;111.61;Regular;4.58;9.17;Bueno;30.56;Bueno;Bueno;Regular
2025-09-26;46.91;36.09;Bueno;103.13;Regular;5.04;10.09;Bueno;33.62;Bueno;Bueno;Regular
2025-09-27;60.92;46.86;Bueno;126.13;Regular;6.29;12.58;Bueno;41.94;Bueno;Bueno;Regular
2025-09-28;;;;;;;;;;;;
2025-09-29;45.92;35.32;Bueno;101.50;Regular;4.79;9.58;Bueno;31.94;Bueno;Bueno;Regular
2025-09-30;44.54;34.26;Bueno;98.98;Bueno;4.75;9.50;Bueno;31.67;Bueno;Bueno;Bueno
2025-10-01;53.75;41.35;Bueno;114.35;Regular;5.92;11.83;Bueno;39.44;Bueno;Bueno;Regular
2025-10-02;41.75;32.12;Bueno;92.78;Bueno;3.79;7.58;Bueno;25.28;Bueno;Bueno;Bueno
2025-10-03;45.71;35.16;Bueno;101.17;Regular;4.43;8.86;Bueno;29.52;Bueno;Bueno;Regular
2025-10-04;41.21;31.70;Bueno;91.57;Bueno;4.75;9.50;Bueno;31.67;Bueno;Bueno;Bueno
2025-10-05;40.58;31.22;Bueno;90.19;Bueno;4.21;8.42;Bueno;28.06;Bueno;Bueno;Bueno
2025-10-06;47.79;36.76;Bueno;104.57;Regular;3.83;7.67;Bueno;25.56;Bueno;Bueno;Regular
2025-10-07;45.96;35.35;Bueno;101.57;Regular;5.42;10.83;Bueno;36.11;Bueno;Bueno;Regular
2025-10-08;35.13;27.02;Bueno;78.07;Bueno;3.65;7.30;Bueno;24.35;Bueno;Bueno;Bueno
2025-10-09;30.71;23.62;Bueno;68.24;Bueno;3.25;6.50;Bueno;21.67;Bueno;Bueno;Bueno
2025-10-10;44.10;33.92;Bueno;97.99;Bueno;6.24;12.48;Bueno;41.59;Bueno;Bueno;Bueno
2025-10-11;46.43;35.72;Bueno;102.35;Regular;5.26;10.52;Bueno;35.07;Bueno;Bueno;Regular
2025-10-12;48.54;37.34;Bueno;105.80;Regular;5.67;11.33;Bueno;37.78;Bueno;Bueno;Regular
2025-10-13;50.50;38.85;Bueno;109.01;Regular;4.50;9.00;Bueno;30.00;Bueno;Bueno;Regular
