Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-28;36.14;27.80;Bueno;80.30;Bueno;7.27;14.55;Bueno;48.48;Bueno;Bueno;Bueno
2025-07-29;47.21;36.31;Bueno;103.62;Regular;8.67;17.33;Bueno;57.78;Bueno;Bueno;Regular
2025-07-30;43.71;33.63;Bueno;97.14;Bueno;6.52;13.05;Bueno;43.49;Bueno;Bueno;Bueno
2025-07-31;20.72;15.94;Bueno;46.05;Bueno;6.78;13.56;Bueno;45.19;Bueno;Bueno;Bueno
2025-08-01;55.82;42.94;Bueno;117.74;Regular;9.14;18.27;Bueno;60.91;Bueno;Bueno;Regular
2025-08-02;35.79;27.53;Bueno;79.54;Bueno;8.42;16.83;Bueno;56.11;Bueno;Bueno;Bueno
2025-08-03;36.25;27.88;Bueno;80.56;Bueno;8.25;16.50;Bueno;55.00;Bueno;Bueno;Bueno
2025-08-04;30.54;23.49;Bueno;67.87;Bueno;6.42;12.83;Bueno;42.78;Bueno;Bueno;Bueno
2025-08-05;51.12;39.33;Bueno;110.04;Regular;8.00;16.00;Bueno;53.33;Bueno;Bueno;Regular
2025-08-06;48.21;37.08;Bueno;105.25;Regular;8.29;16.58;Bueno;55.28;Bueno;Bueno;Regular
2025-08-07;65.92;50.71;Bueno;134.38;Regular;10.62;21.25;Bueno;70.83;Bueno;Bueno;Regular
2025-08-08;43.00;33.08;Bueno;95.56;Bueno;8.14;16.27;Bueno;54.24;Bueno;Bueno;Bueno
2025-08-09;43.38;33.37;Bueno;96.39;Bueno;8.21;16.42;Bueno;54.72;Bueno;Bueno;Bueno
2025-08-10;37.88;29.13;Bueno;84.17;Bueno;7.38;14.75;Bueno;49.17;Bueno;Bueno;Bueno
2025-08-11;47.50;36.54;Bueno;104.09;Regular;6.96;13.92;Bueno;46.39;Bueno;Bueno;Regular
2025-08-12;50.71;39.01;Bueno;109.35;Regular;8.75;17.50;Bueno;58.33;Bueno;Bueno;Regular
2025-08-13;59.39;45.69;Bueno;123.62;Regular;9.00;18.00;Bueno;60.00;Bueno;Bueno;Regular
2025-08-14;55.67;42.82;Bueno;117.50;Regular;10.25;20.50;Bueno;68.33;Bueno;Bueno;Regular
2025-08-15;34.46;26.51;Bueno;76.57;Bueno;7.17;14.33;Bueno;47.78;Bueno;Bueno;Bueno
2025-08-16;29.50;22.69;Bueno;65.56;Bueno;6.50;13.00;Bueno;43.33;Bueno;Bueno;Bueno
2025-08-17;43.25;33.27;Bueno;96.11;Bueno;6.96;13.92;Bueno;46.39;Bueno;Bueno;Bueno
2025-08-18;;;;;;;;;;;;
2025-08-19;25.33;19.49;Bueno;56.30;Bueno;7.67;15.33;Bueno;51.11;Bueno;Bueno;Bueno
2025-08-20;35.48;27.29;Bueno;78.84;Bueno;6.09;12.17;Bueno;40.58;Bueno;Bueno;Bueno
2025-08-21;;;;;;;;;;;;
2025-08-22;38.04;29.26;Bueno;84.54;Bueno;7.67;15.33;Bueno;51.11;Bueno;Bueno;Bueno
2025-08-23;27.30;21.00;Bueno;60.68;Bueno;7.09;14.17;Bueno;47.25;Bueno;Bueno;Bueno
2025-08-24;23.96;18.43;Bueno;53.24;Bueno;6.33;12.67;Bueno;42.22;Bueno;Bueno;Bueno
2025-08-25;39.00;30.00;Bueno;86.67;Bueno;4.67;9.33;Bueno;31.11;Bueno;Bueno;Bueno
2025-08-26;41.30;31.77;Bueno;91.79;Bueno;6.65;13.30;Bueno;44.35;Bueno;Bueno;Bueno
2025-08-27;55.25;42.50;Bueno;116.81;Regular;7.50;15.00;Bueno;50.00;Bueno;Bueno;Regular
2025-08-28;46.96;36.12;Bueno;103.21;Regular;8.00;16.00;Bueno;53.33;Bueno;Bueno;Regular
2025-08-29;31.83;24.49;Bueno;70.74;Bueno;5.12;10.25;Bueno;34.17;Bueno;Bueno;Bueno
2025-08-30;;;;;;;;;;;;
2025-08-31;;;;;;;;;;;;
