Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-28;29.62;22.78;Bueno;65.82;Bueno;9.14;18.29;Bueno;60.95;Bueno;Bueno;Bueno
2025-07-29;33.13;25.48;Bueno;73.62;Bueno;8.61;17.22;Bueno;57.39;Bueno;Bueno;Bueno
2025-07-30;34.83;26.79;Bueno;77.41;Bueno;8.73;17.45;Bueno;58.18;Bueno;Bueno;Bueno
2025-07-31;23.58;18.14;Bueno;52.41;Bueno;5.08;10.17;Bueno;33.89;Bueno;Bueno;Bueno
2025-08-01;69.88;53.75;Bueno;140.92;Regular;18.75;37.50;Bueno;108.11;Regular;Bueno;Regular
2025-08-02;35.83;27.56;Bueno;79.63;Bueno;10.75;21.50;Bueno;71.67;Bueno;Bueno;Bueno
2025-08-03;29.62;22.79;Bueno;65.83;Bueno;8.29;16.58;Bueno;55.28;Bueno;Bueno;Bueno
2025-08-04;31.29;24.07;Bueno;69.54;Bueno;8.58;17.17;Bueno;57.22;Bueno;Bueno;Bueno
2025-08-05;49.04;37.72;Bueno;106.62;Regular;11.54;23.08;Bueno;76.94;Bueno;Bueno;Regular
2025-08-06;38.42;29.55;Bueno;85.37;Bueno;7.08;14.17;Bueno;47.22;Bueno;Bueno;Bueno
2025-08-07;42.70;32.85;Bueno;94.89;Bueno;10.14;20.27;Bueno;67.58;Bueno;Bueno;Bueno
2025-08-08;33.33;25.64;Bueno;74.07;Bueno;7.46;14.92;Bueno;49.72;Bueno;Bueno;Bueno
2025-08-09;38.00;29.23;Bueno;84.44;Bueno;8.17;16.33;Bueno;54.44;Bueno;Bueno;Bueno
2025-08-10;44.04;33.88;Bueno;97.87;Bueno;12.75;25.50;Bueno;85.00;Bueno;Bueno;Bueno
2025-08-11;52.12;40.10;Bueno;111.68;Regular;7.96;15.92;Bueno;53.06;Bueno;Bueno;Regular
2025-08-12;40.46;31.12;Bueno;89.91;Bueno;7.12;14.25;Bueno;47.50;Bueno;Bueno;Bueno
2025-08-13;52.38;40.29;Bueno;112.09;Regular;8.75;17.50;Bueno;58.33;Bueno;Bueno;Regular
2025-08-14;46.12;35.48;Bueno;101.84;Regular;9.92;19.83;Bueno;66.11;Bueno;Bueno;Regular
2025-08-15;32.92;25.32;Bueno;73.15;Bueno;7.42;14.83;Bueno;49.44;Bueno;Bueno;Bueno
2025-08-16;28.12;21.63;Bueno;62.50;Bueno;7.08;14.17;Bueno;47.22;Bueno;Bueno;Bueno
2025-08-17;37.25;28.65;Bueno;82.78;Bueno;5.50;11.00;Bueno;36.67;Bueno;Bueno;Bueno
2025-08-18;;;;;;;;;;;;
2025-08-19;25.79;19.84;Bueno;57.31;Bueno;5.71;11.42;Bueno;38.06;Bueno;Bueno;Bueno
2025-08-20;30.67;23.59;Bueno;68.15;Bueno;5.88;11.75;Bueno;39.17;Bueno;Bueno;Bueno
2025-08-21;31.79;24.46;Bueno;70.65;Bueno;5.42;10.83;Bueno;36.11;Bueno;Bueno;Bueno
