Fecha;Hora;ConcentracionMP10;PromedioMovil24h_MP10;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;ConcentracionMP2_5;PromedioMovil24h_MP2_5;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-26;01:00;;;;;;;;14;;12.83;25.65;Bueno;85.51;Bueno;Bueno;Bueno
2025-07-26;02:00;;;;;;;;14;;12.83;25.65;Bueno;85.51;Bueno;Bueno;Bueno
2025-07-26;03:00;;;;;;;;14;;12.83;25.65;Bueno;85.51;Bueno;Bueno;Bueno
2025-07-26;04:00;;;;;;;;13;;12.83;25.65;Bueno;85.51;Bueno;Bueno;Bueno
2025-07-26;05:00;;;;;;;;19;;12.83;25.65;Bueno;85.51;Bueno;Bueno;Bueno
2025-07-26;06:00;;;;;;;;18;;12.83;25.65;Bueno;85.51;Bueno;Bueno;Bueno
2025-07-26;07:00;;;;;;;;11;;12.83;25.65;Bueno;85.51;Bueno;Bueno;Bueno
2025-07-26;08:00;;;;;;;;12;;12.83;25.65;Bueno;85.51;Bueno;Bueno;Bueno
2025-07-26;09:00;;;;;;;;6;;12.83;25.65;Bueno;85.51;Bueno;Bueno;Bueno
2025-07-26;10:00;;;;;;;;6;;12.83;25.65;Bueno;85.51;Bueno;Bueno;Bueno
2025-07-26;11:00;;;;;;;;11;;12.83;25.65;Bueno;85.51;Bueno;Bueno;Bueno
2025-07-26;12:00;;;;;;;;11;;12.83;25.65;Bueno;85.51;Bueno;Bueno;Bueno
2025-07-26;13:00;;;;;;;;9;;12.83;25.65;Bueno;85.51;Bueno;Bueno;Bueno
2025-07-26;14:00;;;;;;;;12;;12.83;25.65;Bueno;85.51;Bueno;Bueno;Bueno
2025-07-26;15:00;;;;;;;;8;;12.83;25.65;Bueno;85.51;Bueno;Bueno;Bueno
2025-07-26;16:00;;;;;;;;17;;12.83;25.65;Bueno;85.51;Bueno;Bueno;Bueno
