Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-26;;;;;;12.83;25.65;Bueno;85.51;Bueno;Bueno;Bueno
2025-07-27;;;;;;12.96;25.92;Bueno;86.39;Bueno;Bueno;Bueno
2025-07-28;;;;;;13.09;26.17;Bueno;87.25;Bueno;Bueno;Bueno
2025-07-29;;;;;;16.30;32.61;Bueno;102.82;Regular;Bueno;Regular
2025-07-30;;;;;;9.88;19.75;Bueno;65.83;Bueno;Bueno;Bueno
2025-07-31;;;;;;11.25;22.50;Bueno;75.00;Bueno;Bueno;Bueno
2025-08-01;;;;;;8.83;17.67;Bueno;58.89;Bueno;Bueno;Bueno
2025-08-02;;;;;;;;;;;;
2025-08-03;;;;;;9.29;18.58;Bueno;61.94;Bueno;Bueno;Bueno
2025-08-04;;;;;;8.62;17.25;Bueno;57.50;Bueno;Bueno;Bueno
2025-08-05;;;;;;8.50;17.00;Bueno;56.67;Bueno;Bueno;Bueno
2025-08-06;;;;;;9.83;19.67;Bueno;65.56;Bueno;Bueno;Bueno
2025-08-07;;;;;;5.83;11.67;Bueno;38.89;Bueno;Bueno;Bueno
2025-08-08;;;;;;6.48;12.96;Bueno;43.19;Bueno;Bueno;Bueno
2025-08-09;;;;;;7.04;14.08;Bueno;46.94;Bueno;Bueno;Bueno
2025-08-10;;;;;;8.17;16.33;Bueno;54.44;Bueno;Bueno;Bueno
2025-08-11;;;;;;10.38;20.75;Bueno;69.17;Bueno;Bueno;Bueno
2025-08-12;;;;;;11.17;22.33;Bueno;74.44;Bueno;Bueno;Bueno
2025-08-13;;;;;;12.12;24.25;Bueno;80.83;Bueno;Bueno;Bueno
2025-08-14;;;;;;17.58;35.17;Bueno;105.58;Regular;Bueno;Regular
2025-08-15;;;;;;7.92;15.83;Bueno;52.78;Bueno;Bueno;Bueno
2025-08-16;;;;;;5.91;11.83;Bueno;39.42;Bueno;Bueno;Bueno
2025-08-17;;;;;;6.46;12.92;Bueno;43.06;Bueno;Bueno;Bueno
2025-08-18;;;;;;5.54;11.08;Bueno;36.94;Bueno;Bueno;Bueno
2025-08-19;;;;;;7.38;14.75;Bueno;49.17;Bueno;Bueno;Bueno
2025-08-20;;;;;;9.00;18.00;Bueno;60.00;Bueno;Bueno;Bueno
2025-08-21;;;;;;9.42;18.83;Bueno;62.78;Bueno;Bueno;Bueno
2025-08-22;;;;;;8.83;17.67;Bueno;58.89;Bueno;Bueno;Bueno
2025-08-23;;;;;;10.00;20.00;Bueno;66.67;Bueno;Bueno;Bueno
2025-08-24;;;;;;16.08;32.17;Bueno;102.34;Regular;Bueno;Regular
2025-08-25;;;;;;9.88;19.75;Bueno;65.83;Bueno;Bueno;Bueno
2025-08-26;;;;;;11.50;23.00;Bueno;76.67;Bueno;Bueno;Bueno
2025-08-27;;;;;;11.50;23.00;Bueno;76.67;Bueno;Bueno;Bueno
2025-08-28;;;;;;10.54;21.08;Bueno;70.28;Bueno;Bueno;Bueno
2025-08-29;;;;;;7.83;15.67;Bueno;52.22;Bueno;Bueno;Bueno
2025-08-30;;;;;;10.75;21.50;Bueno;71.67;Bueno;Bueno;Bueno
2025-08-31;;;;;;9.25;18.50;Bueno;61.67;Bueno;Bueno;Bueno
2025-09-01;;;;;;12.54;25.08;Bueno;83.61;Bueno;Bueno;Bueno
2025-09-02;;;;;;9.88;19.75;Bueno;65.83;Bueno;Bueno;Bueno
2025-09-03;;;;;;10.71;21.42;Bueno;71.39;Bueno;Bueno;Bueno
2025-09-04;;;;;;10.29;20.58;Bueno;68.61;Bueno;Bueno;Bueno
2025-09-05;;;;;;11.71;23.42;Bueno;78.06;Bueno;Bueno;Bueno
2025-09-06;;;;;;12.08;24.17;Bueno;80.56;Bueno;Bueno;Bueno
2025-09-07;;;;;;9.75;19.50;Bueno;65.00;Bueno;Bueno;Bueno
2025-09-08;;;;;;9.21;18.42;Bueno;61.39;Bueno;Bueno;Bueno
2025-09-09;;;;;;10.92;21.83;Bueno;72.78;Bueno;Bueno;Bueno
2025-09-10;;;;;;9.04;18.08;Bueno;60.28;Bueno;Bueno;Bueno
2025-09-11;;;;;;8.00;16.00;Bueno;53.33;Bueno;Bueno;Bueno
2025-09-12;;;;;;8.00;16.00;Bueno;53.33;Bueno;Bueno;Bueno
2025-09-13;;;;;;9.25;18.50;Bueno;61.67;Bueno;Bueno;Bueno
2025-09-14;;;;;;9.88;19.75;Bueno;65.83;Bueno;Bueno;Bueno
2025-09-15;;;;;;;;;;;;
2025-09-16;;;;;;8.87;17.74;Bueno;59.13;Bueno;Bueno;Bueno
