Fecha;Estacion_seleccionada;PromedioDiario_MP10;ICAP_MP10;ICAP_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;ICAP_mod_MP2_5;condicion_final;condicion_mod
2025-07-26;Arica;;;;12.83;25.65;85.51;Bueno;Bueno
2025-07-27;Arica;;;;12.96;25.92;86.39;Bueno;Bueno
2025-07-28;Arica;;;;13.09;26.17;87.25;Bueno;Bueno
2025-07-29;Arica;;;;16.30;32.61;102.82;Bueno;Regular
2025-07-30;Arica;;;;9.88;19.75;65.83;Bueno;Bueno
2025-07-31;Arica;;;;11.25;22.50;75.00;Bueno;Bueno
2025-08-01;Arica;;;;8.83;17.67;58.89;Bueno;Bueno
2025-08-02;;;;;;;;;
2025-08-03;Arica;;;;9.29;18.58;61.94;Bueno;Bueno
2025-08-04;Arica;;;;8.62;17.25;57.50;Bueno;Bueno
2025-08-05;Arica;;;;8.50;17.00;56.67;Bueno;Bueno
2025-08-06;Arica;;;;9.83;19.67;65.56;Bueno;Bueno
2025-08-07;Arica;;;;5.83;11.67;38.89;Bueno;Bueno
2025-08-08;Arica;;;;6.48;12.96;43.19;Bueno;Bueno
2025-08-09;Arica;;;;7.04;14.08;46.94;Bueno;Bueno
2025-08-10;Arica;;;;8.17;16.33;54.44;Bueno;Bueno
2025-08-11;Arica;;;;10.38;20.75;69.17;Bueno;Bueno
2025-08-12;Arica;;;;11.17;22.33;74.44;Bueno;Bueno
2025-08-13;Arica;;;;12.12;24.25;80.83;Bueno;Bueno
2025-08-14;Arica;;;;17.58;35.17;105.58;Bueno;Regular
2025-08-15;Arica;;;;7.92;15.83;52.78;Bueno;Bueno
2025-08-16;Arica;;;;5.91;11.83;39.42;Bueno;Bueno
2025-08-17;Arica;;;;6.46;12.92;43.06;Bueno;Bueno
2025-08-18;Arica;;;;5.54;11.08;36.94;Bueno;Bueno
2025-08-19;Arica;;;;7.38;14.75;49.17;Bueno;Bueno
2025-08-20;Arica;;;;9.00;18.00;60.00;Bueno;Bueno
2025-08-21;Arica;;;;9.42;18.83;62.78;Bueno;Bueno
2025-08-22;Arica;;;;8.83;17.67;58.89;Bueno;Bueno
2025-08-23;Arica;;;;10.00;20.00;66.67;Bueno;Bueno
2025-08-24;Arica;;;;16.08;32.17;102.34;Bueno;Regular
2025-08-25;Arica;;;;9.88;19.75;65.83;Bueno;Bueno
2025-08-26;Arica;;;;11.50;23.00;76.67;Bueno;Bueno
2025-08-27;Arica;;;;11.50;23.00;76.67;Bueno;Bueno
2025-08-28;Arica;;;;10.54;21.08;70.28;Bueno;Bueno
2025-08-29;Arica;;;;7.83;15.67;52.22;Bueno;Bueno
2025-08-30;Arica;;;;10.75;21.50;71.67;Bueno;Bueno
2025-08-31;Arica;;;;9.25;18.50;61.67;Bueno;Bueno
2025-09-01;Arica;;;;12.54;25.08;83.61;Bueno;Bueno
2025-09-02;Arica;;;;9.88;19.75;65.83;Bueno;Bueno
2025-09-03;Arica;;;;10.71;21.42;71.39;Bueno;Bueno
2025-09-04;Arica;;;;10.29;20.58;68.61;Bueno;Bueno
2025-09-05;Arica;;;;11.71;23.42;78.06;Bueno;Bueno
2025-09-06;Arica;;;;12.08;24.17;80.56;Bueno;Bueno
2025-09-07;Arica;;;;9.75;19.50;65.00;Bueno;Bueno
2025-09-08;Arica;;;;9.21;18.42;61.39;Bueno;Bueno
2025-09-09;Arica;;;;10.92;21.83;72.78;Bueno;Bueno
2025-09-10;Arica;;;;9.04;18.08;60.28;Bueno;Bueno
2025-09-11;Arica;;;;8.00;16.00;53.33;Bueno;Bueno
2025-09-12;Arica;;;;8.00;16.00;53.33;Bueno;Bueno
2025-09-13;Arica;;;;9.25;18.50;61.67;Bueno;Bueno
2025-09-14;Arica;;;;9.88;19.75;65.83;Bueno;Bueno
2025-09-15;;;;;;;;;
2025-09-16;Arica;;;;8.87;17.74;59.13;Bueno;Bueno
2025-09-17;Arica;;;;9.77;19.55;65.15;Bueno;Bueno
2025-09-18;Arica;;;;10.33;20.67;68.89;Bueno;Bueno
2025-09-19;Arica;;;;10.12;20.25;67.50;Bueno;Bueno
2025-09-20;Arica;;;;9.42;18.83;62.78;Bueno;Bueno
2025-09-21;Arica;;;;9.71;19.42;64.72;Bueno;Bueno
2025-09-22;Arica;;;;10.21;20.42;68.06;Bueno;Bueno
2025-09-23;Arica;;;;8.74;17.48;58.26;Bueno;Bueno
2025-09-24;Arica;;;;10.23;20.45;68.18;Bueno;Bueno
2025-09-25;Arica;;;;11.43;22.86;76.19;Bueno;Bueno
2025-09-26;Arica;;;;12.82;25.64;85.45;Bueno;Bueno
2025-09-27;Arica;;;;14.52;29.04;96.81;Bueno;Bueno
2025-09-28;Arica;;;;16.70;33.40;103.67;Bueno;Regular
2025-09-29;Arica;;;;12.43;24.87;82.90;Bueno;Bueno
2025-09-30;Arica;;;;13.25;26.50;88.33;Bueno;Bueno
2025-10-01;Arica;;;;11.92;23.83;79.44;Bueno;Bueno
2025-10-02;Arica;;;;16.29;32.58;102.79;Bueno;Regular
2025-10-03;Arica;;;;13.83;27.67;92.22;Bueno;Bueno
2025-10-04;Arica;;;;11.54;23.08;76.94;Bueno;Bueno
2025-10-05;Arica;;;;12.75;25.50;85.00;Bueno;Bueno
2025-10-06;Arica;;;;13.09;26.17;87.25;Bueno;Bueno
2025-10-07;Arica;;;;10.42;20.83;69.44;Bueno;Bueno
2025-10-08;Arica;;;;10.08;20.17;67.22;Bueno;Bueno
2025-10-09;Arica;;;;9.29;18.58;61.94;Bueno;Bueno
2025-10-10;Arica;;;;15.20;30.40;100.43;Bueno;Regular
2025-10-11;;;;;;;;;
2025-10-12;Arica;;;;14.17;28.33;94.44;Bueno;Bueno
2025-10-13;Arica;;;;17.88;35.75;106.21;Bueno;Regular
2025-10-14;Arica;;;;17.21;34.42;104.77;Bueno;Regular
2025-10-15;Arica;;;;12.38;24.75;82.50;Bueno;Bueno
2025-10-16;Arica;;;;9.17;18.35;61.16;Bueno;Bueno
2025-10-17;Arica;;;;13.58;27.17;90.56;Bueno;Bueno
2025-10-18;Arica;;;;10.92;21.83;72.78;Bueno;Bueno
2025-10-19;Arica;;;;14.21;28.42;94.72;Bueno;Bueno
2025-10-20;Arica;;;;10.17;20.35;67.83;Bueno;Bueno
2025-10-21;Arica;;;;10.30;20.61;68.70;Bueno;Bueno
2025-10-22;Arica;;;;13.29;26.58;88.61;Bueno;Bueno
2025-10-23;Arica;;;;13.88;27.75;92.50;Bueno;Bueno
2025-10-24;Arica;;;;14.00;28.00;93.33;Bueno;Bueno
2025-10-25;Arica;;;;11.29;22.58;75.28;Bueno;Bueno
2025-10-26;Arica;;;;13.79;27.58;91.94;Bueno;Bueno
2025-10-27;Arica;;;;11.21;22.42;74.72;Bueno;Bueno
2025-10-28;Arica;;;;12.62;25.25;84.17;Bueno;Bueno
2025-10-29;Arica;;;;10.62;21.25;70.83;Bueno;Bueno
2025-10-30;Arica;;;;14.88;29.75;99.17;Bueno;Bueno
2025-10-31;Arica;;;;16.96;33.92;104.23;Bueno;Regular
2025-11-01;Arica;;;;14.42;28.83;96.11;Bueno;Bueno
2025-11-02;Arica;;;;12.75;25.50;85.00;Bueno;Bueno
2025-11-03;Arica;;;;14.33;28.67;95.56;Bueno;Bueno
2025-11-04;Arica;;;;16.35;32.70;102.91;Bueno;Regular
2025-11-05;Arica;;;;15.83;31.67;101.80;Bueno;Regular
2025-11-06;Arica;;;;15.05;30.10;100.10;Bueno;Regular
2025-11-07;Arica;;;;14.86;29.73;99.09;Bueno;Bueno
2025-11-08;Arica;;;;13.32;26.64;88.79;Bueno;Bueno
2025-11-09;Arica;;;;13.12;26.25;87.50;Bueno;Bueno
2025-11-10;Arica;;;;14.00;28.00;93.33;Bueno;Bueno
2025-11-11;Arica;;;;15.92;31.83;101.98;Bueno;Regular
2025-11-12;Arica;;;;11.62;23.25;77.50;Bueno;Bueno
