FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250726;0100;27;;;
250726;0200;32;;;
250726;0300;47;;;
250726;0400;41;;;
250726;0500;32;;;
250726;0600;26;;;
250726;0700;25;;;
250726;0800;15;;;
250726;0900;19;;;
250726;1000;22;;;
250726;1100;22;;;
250726;1200;25;;;
250726;1300;19;;;
250726;1400;20;;;
250726;1500;24;;;
250726;1600;51;;;
250726;1700;30;;;
250726;1800;22;;;
250726;1900;24;;;
250726;2000;19;;;
250726;2100;23;;;
250726;2200;21;;;
250726;2300;19;;;
250727;0000;26;;;
250727;0100;22;;;
250727;0200;28;;;
250727;0300;30;;;
250727;0400;18;;;
250727;0500;19;;;
250727;0600;21;;;
250727;0700;30;;;
250727;0800;23;;;
250727;0900;42;;;
250727;1000;45;;;
250727;1100;46;;;
250727;1200;32;;;
250727;1300;39;;;
250727;1400;23;;;
250727;1500;28;;;
250727;1600;33;;;
250727;1700;33;;;
250727;1800;40;;;
250727;1900;158;;;
250727;2000;54;;;
250727;2100;117;;;
250727;2200;142;;;
250727;2300;109;;;
250728;0000;100;;;
250728;0100;137;;;
250728;0200;78;;;
250728;0300;65;;;
250728;0400;65;;;
250728;0500;51;;;
250728;0600;68;;;
250728;0700;160;;;
250728;0800;230;;;
250728;0900;176;;;
250728;1000;97;;;
250728;1100;68;;;
250728;1200;56;;;
250728;1300;34;;;
250728;1400;46;;;
250728;1500;45;;;
250728;1600;;;;
250728;1700;;;;
250728;1800;73;;;
250728;1900;50;;;
250728;2000;45;;;
250728;2100;93;;;
250728;2200;127;;;
250728;2300;103;;;
250729;0000;110;;;
250729;0100;103;;;
250729;0200;85;;;
250729;0300;74;;;
250729;0400;89;;;
250729;0500;73;;;
250729;0600;84;;;
250729;0700;204;;;
250729;0800;296;;;
250729;0900;141;;;
250729;1000;;;;
250729;1100;;;;
250729;1200;226;;;
250729;1300;115;;;
250729;1400;57;;;
250729;1500;45;;;
250729;1600;36;;;
250729;1700;52;;;
250729;1800;44;;;
250729;1900;69;;;
250729;2000;32;;;
250729;2100;44;;;
250729;2200;57;;;
250729;2300;21;;;
250730;0000;25;;;
250730;0100;21;;;
250730;0200;23;;;
250730;0300;16;;;
250730;0400;23;;;
250730;0500;15;;;
250730;0600;20;;;
250730;0700;36;;;
250730;0800;42;;;
250730;0900;58;;;
250730;1000;36;;;
250730;1100;32;;;
250730;1200;32;;;
250730;1300;42;;;
250730;1400;25;;;
250730;1500;23;;;
250730;1600;40;;;
250730;1700;300;;;
250730;1800;68;;;
250730;1900;63;;;
250730;2000;64;;;
250730;2100;166;;;
250730;2200;106;;;
250730;2300;118;;;
250731;0000;46;;;
250731;0100;26;;;
250731;0200;22;;;
250731;0300;24;;;
250731;0400;25;;;
250731;0500;26;;;
250731;0600;25;;;
250731;0700;34;;;
250731;0800;35;;;
250731;0900;37;;;
250731;1000;24;;;
250731;1100;;;;
250731;1200;;;;
250731;1300;52;;;
250731;1400;57;;;
250731;1500;;;;
250731;1600;34;;;
250731;1700;63;;;
250731;1800;30;;;
250731;1900;33;;;
250731;2000;29;;;
250731;2100;18;;;
250731;2200;22;;;
250731;2300;22;;;
250801;0000;13;;;
250801;0100;19;;;
250801;0200;15;;;
250801;0300;27;;;
250801;0400;35;;;
250801;0500;40;;;
250801;0600;34;;;
250801;0700;63;;;
250801;0800;64;;;
250801;0900;55;;;
250801;1000;59;;;
250801;1100;78;;;
250801;1200;33;;;
250801;1300;27;;;
250801;1400;20;;;
250801;1500;26;;;
250801;1600;21;;;
250801;1700;29;;;
250801;1800;26;;;
250801;1900;25;;;
250801;2000;26;;;
250801;2100;28;;;
250801;2200;21;;;
250801;2300;42;;;
250802;0000;49;;;
250802;0100;45;;;
250802;0200;47;;;
250802;0300;60;;;
250802;0400;65;;;
250802;0500;73;;;
250802;0600;50;;;
250802;0700;58;;;
250802;0800;71;;;
250802;0900;76;;;
250802;1000;66;;;
250802;1100;43;;;
250802;1200;33;;;
250802;1300;52;;;
250802;1400;23;;;
250802;1500;26;;;
250802;1600;60;;;
250802;1700;76;;;
250802;1800;91;;;
250802;1900;36;;;
250802;2000;58;;;
250802;2100;41;;;
250802;2200;61;;;
250802;2300;86;;;
250803;0000;102;;;
250803;0100;98;;;
250803;0200;92;;;
250803;0300;105;;;
250803;0400;93;;;
250803;0500;105;;;
250803;0600;101;;;
250803;0700;110;;;
250803;0800;123;;;
250803;0900;87;;;
250803;1000;49;;;
250803;1100;53;;;
250803;1200;44;;;
250803;1300;52;;;
250803;1400;46;;;
250803;1500;41;;;
