FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250726;0100;3;;;
250726;0200;1;;;
250726;0300;5;;;
250726;0400;9;;;
250726;0500;12;;;
250726;0600;14;;;
250726;0700;12;;;
250726;0800;7;;;
250726;0900;2;;;
250726;1000;;;;
250726;1100;1;;;
250726;1200;5;;;
250726;1300;6;;;
250726;1400;7;;;
250726;1500;12;;;
250726;1600;4;;;
250726;1700;10;;;
250726;1800;6;;;
250726;1900;3;;;
250726;2000;11;;;
250726;2100;14;;;
250726;2200;6;;;
250726;2300;2;;;
250727;0000;3;;;
250727;0100;14;;;
250727;0200;20;;;
250727;0300;15;;;
250727;0400;3;;;
250727;0500;1;;;
250727;0600;4;;;
250727;0700;10;;;
250727;0800;11;;;
250727;0900;17;;;
250727;1000;12;;;
250727;1100;3;;;
250727;1200;5;;;
250727;1300;10;;;
250727;1400;11;;;
250727;1500;17;;;
250727;1600;15;;;
250727;1700;5;;;
250727;1800;9;;;
250727;1900;14;;;
250727;2000;16;;;
250727;2100;16;;;
250727;2200;22;;;
250727;2300;34;;;
250728;0000;31;;;
250728;0100;25;;;
250728;0200;23;;;
250728;0300;24;;;
250728;0400;24;;;
250728;0500;25;;;
250728;0600;29;;;
250728;0700;25;;;
250728;0800;22;;;
250728;0900;20;;;
250728;1000;20;;;
250728;1100;8;;;
250728;1200;8;;;
250728;1300;1;;;
250728;1400;1;;;
250728;1500;8;;;
250728;1600;11;;;
250728;1700;14;;;
250728;1800;16;;;
250728;1900;9;;;
250728;2000;9;;;
250728;2100;2;;;
250728;2200;6;;;
250728;2300;12;;;
250729;0000;7;;;
250729;0100;8;;;
250729;0200;5;;;
250729;0300;12;;;
250729;0400;15;;;
250729;0500;8;;;
250729;0600;9;;;
250729;0700;17;;;
250729;0800;24;;;
250729;0900;33;;;
250729;1000;32;;;
250729;1100;15;;;
250729;1200;13;;;
250729;1300;20;;;
250729;1400;21;;;
250729;1500;16;;;
250729;1600;15;;;
250729;1700;5;;;
250729;1800;3;;;
250729;1900;3;;;
250729;2000;1;;;
250729;2100;1;;;
250729;2200;4;;;
250729;2300;9;;;
250730;0000;8;;;
250730;0100;2;;;
250730;0200;2;;;
250730;0300;6;;;
250730;0400;4;;;
250730;0500;10;;;
250730;0600;6;;;
250730;0700;9;;;
250730;0800;13;;;
250730;0900;11;;;
250730;1000;16;;;
250730;1100;12;;;
250730;1200;4;;;
250730;1300;1;;;
250730;1400;4;;;
250730;1500;8;;;
250730;1600;11;;;
250730;1700;18;;;
250730;1800;67;;;
250730;1900;62;;;
250730;2000;39;;;
250730;2100;27;;;
250730;2200;27;;;
250730;2300;26;;;
250731;0000;26;;;
250731;0100;20;;;
250731;0200;9;;;
250731;0300;5;;;
250731;0400;8;;;
250731;0500;9;;;
250731;0600;13;;;
250731;0700;21;;;
250731;0800;22;;;
250731;0900;24;;;
250731;1000;14;;;
250731;1100;8;;;
250731;1200;7;;;
250731;1300;6;;;
250731;1400;14;;;
250731;1500;16;;;
250731;1600;16;;;
250731;1700;16;;;
250731;1800;12;;;
250731;1900;7;;;
250731;2000;4;;;
250731;2100;4;;;
250731;2200;8;;;
250731;2300;13;;;
250801;0000;11;;;
250801;0100;4;;;
250801;0200;2;;;
250801;0300;3;;;
250801;0400;5;;;
250801;0500;10;;;
250801;0600;11;;;
250801;0700;15;;;
250801;0800;16;;;
250801;0900;15;;;
250801;1000;18;;;
250801;1100;18;;;
250801;1200;18;;;
250801;1300;10;;;
250801;1400;9;;;
250801;1500;9;;;
250801;1600;3;;;
250801;1700;1;;;
250801;1800;3;;;
250801;1900;3;;;
250801;2000;4;;;
250801;2100;3;;;
250801;2200;7;;;
250801;2300;7;;;
250802;0000;10;;;
250802;0100;13;;;
250802;0200;21;;;
250802;0300;29;;;
250802;0400;28;;;
250802;0500;21;;;
250802;0600;20;;;
250802;0700;15;;;
250802;0800;17;;;
250802;0900;10;;;
250802;1000;9;;;
250802;1100;10;;;
250802;1200;12;;;
250802;1300;13;;;
250802;1400;6;;;
250802;1500;;;;
250802;1600;;;;
250802;1700;2;;;
250802;1800;8;;;
250802;1900;8;;;
250802;2000;7;;;
250802;2100;12;;;
250802;2200;14;;;
250802;2300;21;;;
250803;0000;31;;;
250803;0100;43;;;
250803;0200;37;;;
250803;0300;29;;;
250803;0400;31;;;
250803;0500;31;;;
250803;0600;31;;;
250803;0700;22;;;
250803;0800;19;;;
250803;0900;23;;;
250803;1000;19;;;
250803;1100;16;;;
250803;1200;11;;;
250803;1300;9;;;
250803;1400;4;;;
250803;1500;;;;
250803;1600;;;;
250803;1700;2;;;
250803;1800;8;;;
250803;1900;3;;;
250803;2000;1;;;
250803;2100;6;;;
250803;2200;16;;;
250803;2300;19;;;
250804;0000;22;;;
250804;0100;23;;;
250804;0200;20;;;
250804;0300;17;;;
250804;0400;18;;;
250804;0500;16;;;
250804;0600;18;;;
250804;0700;19;;;
250804;0800;12;;;
250804;0900;11;;;
250804;1000;11;;;
250804;1100;11;;;
250804;1200;10;;;
250804;1300;7;;;
250804;1400;5;;;
250804;1500;1;;;
250804;1600;2;;;
250804;1700;14;;;
250804;1800;20;;;
250804;1900;19;;;
250804;2000;19;;;
250804;2100;18;;;
250804;2200;24;;;
250804;2300;22;;;
250805;0000;18;;;
250805;0100;16;;;
250805;0200;8;;;
250805;0300;5;;;
250805;0400;6;;;
250805;0500;6;;;
250805;0600;5;;;
250805;0700;4;;;
250805;0800;2;;;
250805;0900;1;;;
250805;1000;8;;;
250805;1100;15;;;
250805;1200;9;;;
250805;1300;1;;;
250805;1400;1;;;
250805;1500;1;;;
250805;1600;3;;;
250805;1700;4;;;
250805;1800;4;;;
250805;1900;8;;;
250805;2000;14;;;
250805;2100;13;;;
