Fecha;Estacion_seleccionada;PromedioDiario_MP10;ICAP_MP10;ICAP_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;ICAP_mod_MP2_5;condicion_final;condicion_mod
2025-07-26;Copiapo_Sivica;26.3;20.23;58.45;6.91;13.82;46.06;Bueno;Bueno
2025-07-27;Chanaral;63.78;49.06;130.86;;;;Bueno;Regular
2025-07-28;Copiapo_Sivica;89.41;68.78;173.35;15.54;31.08;101.17;Bueno;Regular
2025-07-29;Copiapo_Sivica;93.5;71.92;180.17;12.33;24.67;82.22;Bueno;Regular
2025-07-30;Copiapo_Sivica;58.08;44.68;121.47;16.38;32.75;102.97;Bueno;Regular
2025-07-31;Copiapo_Sivica;32.57;25.05;72.38;12.58;25.17;83.89;Bueno;Bueno
2025-08-01;Copiapo_Sivica;34.42;26.47;76.48;8.54;17.08;56.94;Bueno;Bueno
2025-08-02;Chanaral;56.25;43.27;118.45;;;;Bueno;Regular
2025-08-03;Copiapo_Sivica;78.38;60.29;155.0;18.68;37.36;107.96;Bueno;Regular
2025-08-04;Copiapo_Sivica;85.79;65.99;167.32;14.96;29.92;99.72;Bueno;Regular
2025-08-05;Copiapo_Sivica;29.83;22.95;66.3;7.38;14.75;49.17;Bueno;Bueno
2025-08-06;Copiapo_Sivica;36.79;28.3;81.76;8.52;17.05;56.83;Bueno;Bueno
2025-08-07;Copiapo_Sivica;37.17;28.59;82.59;6.96;13.92;46.39;Bueno;Bueno
2025-08-08;Copiapo_Sivica;42.21;32.47;93.8;13.67;27.33;91.11;Bueno;Bueno
2025-08-09;Copiapo_Sivica;44.62;34.33;99.17;12.71;25.42;84.72;Bueno;Bueno
2025-08-10;Copiapo_Sivica;43.96;33.81;97.69;11.91;23.82;79.39;Bueno;Bueno
2025-08-11;Chanaral;30.08;23.14;66.85;;;;Bueno;Bueno
2025-08-12;Chanaral;26.83;20.64;59.63;;;;Bueno;Bueno
2025-08-13;Copiapo_Sivica;44.12;33.94;98.06;11.71;23.42;78.06;Bueno;Bueno
