Fecha;Hora;ConcentracionMP10;PromedioMovil24h_MP10;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;ConcentracionMP2_5;PromedioMovil24h_MP2_5;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;01:00;15.00;;63.78;49.06;Bueno;130.86;Regular;;;;;;;;Bueno;Regular
2025-07-27;02:00;13.00;;63.78;49.06;Bueno;130.86;Regular;;;;;;;;Bueno;Regular
2025-07-27;03:00;14.00;;63.78;49.06;Bueno;130.86;Regular;;;;;;;;Bueno;Regular
2025-07-27;04:00;10.00;;63.78;49.06;Bueno;130.86;Regular;;;;;;;;Bueno;Regular
2025-07-27;05:00;10.00;;63.78;49.06;Bueno;130.86;Regular;;;;;;;;Bueno;Regular
2025-07-27;06:00;12.00;;63.78;49.06;Bueno;130.86;Regular;;;;;;;;Bueno;Regular
2025-07-27;07:00;14.00;;63.78;49.06;Bueno;130.86;Regular;;;;;;;;Bueno;Regular
2025-07-27;08:00;40.00;;63.78;49.06;Bueno;130.86;Regular;;;;;;;;Bueno;Regular
2025-07-27;09:00;164.00;;63.78;49.06;Bueno;130.86;Regular;;;;;;;;Bueno;Regular
2025-07-27;10:00;50.00;;63.78;49.06;Bueno;130.86;Regular;;;;;;;;Bueno;Regular
2025-07-27;11:00;68.00;;63.78;49.06;Bueno;130.86;Regular;;;;;;;;Bueno;Regular
2025-07-27;12:00;303.00;;63.78;49.06;Bueno;130.86;Regular;;;;;;;;Bueno;Regular
2025-07-27;13:00;409.00;;63.78;49.06;Bueno;130.86;Regular;;;;;;;;Bueno;Regular
2025-07-27;14:00;62.00;;63.78;49.06;Bueno;130.86;Regular;;;;;;;;Bueno;Regular
2025-07-27;15:00;32.00;;63.78;49.06;Bueno;130.86;Regular;;;;;;;;Bueno;Regular
2025-07-27;16:00;28.00;;63.78;49.06;Bueno;130.86;Regular;;;;;;;;Bueno;Regular
2025-07-27;17:00;29.00;;63.78;49.06;Bueno;130.86;Regular;;;;;;;;Bueno;Regular
2025-07-27;18:00;51.00;73.56;63.78;49.06;Bueno;130.86;Regular;;;;;;;;Bueno;Regular
2025-07-27;19:00;37.00;71.63;63.78;49.06;Bueno;130.86;Regular;;;;;;;;Bueno;Regular
2025-07-27;20:00;30.00;69.55;63.78;49.06;Bueno;130.86;Regular;;;;;;;;Bueno;Regular
2025-07-27;21:00;25.00;67.43;63.78;49.06;Bueno;130.86;Regular;;;;;;;;Bueno;Regular
2025-07-27;22:00;26.00;65.55;63.78;49.06;Bueno;130.86;Regular;;;;;;;;Bueno;Regular
2025-07-27;23:00;25.00;63.78;63.78;49.06;Bueno;130.86;Regular;;;;;;;;Bueno;Regular
2025-07-28;00:00;20.00;61.96;26.62;20.48;Bueno;59.17;Bueno;;;;;;;;Bueno;Bueno
2025-07-28;01:00;22.00;62.25;26.62;20.48;Bueno;59.17;Bueno;;;;;;;;Bueno;Bueno
2025-07-28;02:00;21.00;62.58;26.62;20.48;Bueno;59.17;Bueno;;;;;;;;Bueno;Bueno
2025-07-28;03:00;28.00;63.17;26.62;20.48;Bueno;59.17;Bueno;;;;;;;;Bueno;Bueno
2025-07-28;04:00;30.00;64.00;26.62;20.48;Bueno;59.17;Bueno;;;;;;;;Bueno;Bueno
2025-07-28;05:00;24.00;64.58;26.62;20.48;Bueno;59.17;Bueno;;;;;;;;Bueno;Bueno
