Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;63.78;49.06;Bueno;130.86;Regular;;;;;;Bueno;Regular
2025-07-28;26.62;20.48;Bueno;59.17;Bueno;;;;;;Bueno;Bueno
2025-07-29;20.58;15.83;Bueno;45.74;Bueno;;;;;;Bueno;Bueno
2025-07-30;25.00;19.23;Bueno;55.56;Bueno;;;;;;Bueno;Bueno
2025-07-31;31.42;24.17;Bueno;69.81;Bueno;;;;;;Bueno;Bueno
2025-08-01;30.08;23.14;Bueno;66.85;Bueno;;;;;;Bueno;Bueno
2025-08-02;56.25;43.27;Bueno;118.45;Regular;;;;;;Bueno;Regular
2025-08-03;45.12;34.71;Bueno;100.20;Regular;;;;;;Bueno;Regular
2025-08-04;36.54;28.11;Bueno;81.20;Bueno;;;;;;Bueno;Bueno
2025-08-05;28.33;21.79;Bueno;62.96;Bueno;;;;;;Bueno;Bueno
2025-08-06;25.46;19.58;Bueno;56.57;Bueno;;;;;;Bueno;Bueno
2025-08-07;24.58;18.91;Bueno;54.63;Bueno;;;;;;Bueno;Bueno
2025-08-08;24.71;19.01;Bueno;54.91;Bueno;;;;;;Bueno;Bueno
2025-08-09;25.21;19.39;Bueno;56.02;Bueno;;;;;;Bueno;Bueno
2025-08-10;20.50;15.77;Bueno;45.56;Bueno;;;;;;Bueno;Bueno
2025-08-11;30.08;23.14;Bueno;66.85;Bueno;;;;;;Bueno;Bueno
2025-08-12;26.83;20.64;Bueno;59.63;Bueno;;;;;;Bueno;Bueno
2025-08-13;28.42;21.86;Bueno;63.15;Bueno;;;;;;Bueno;Bueno
2025-08-14;31.30;24.08;Bueno;69.57;Bueno;;;;;;Bueno;Bueno
2025-08-15;26.92;20.71;Bueno;59.81;Bueno;;;;;;Bueno;Bueno
2025-08-16;18.71;14.39;Bueno;41.57;Bueno;;;;;;Bueno;Bueno
2025-08-17;80.92;62.24;Bueno;159.22;Regular;;;;;;Bueno;Regular
2025-08-18;17.96;13.81;Bueno;39.90;Bueno;;;;;;Bueno;Bueno
2025-08-19;26.67;20.51;Bueno;59.26;Bueno;;;;;;Bueno;Bueno
2025-08-20;29.79;22.92;Bueno;66.20;Bueno;;;;;;Bueno;Bueno
2025-08-21;24.62;18.94;Bueno;54.72;Bueno;;;;;;Bueno;Bueno
2025-08-22;55.71;42.85;Bueno;117.56;Regular;;;;;;Bueno;Regular
2025-08-23;81.79;62.92;Bueno;160.67;Regular;;;;;;Bueno;Regular
2025-08-24;52.62;40.48;Bueno;112.50;Regular;;;;;;Bueno;Regular
2025-08-25;44.83;34.49;Bueno;99.63;Bueno;;;;;;Bueno;Bueno
2025-08-26;43.17;33.21;Bueno;95.93;Bueno;;;;;;Bueno;Bueno
2025-08-27;31.88;24.52;Bueno;70.83;Bueno;;;;;;Bueno;Bueno
2025-08-28;31.71;24.39;Bueno;70.46;Bueno;;;;;;Bueno;Bueno
2025-08-29;30.79;23.69;Bueno;68.43;Bueno;;;;;;Bueno;Bueno
2025-08-30;27.12;20.87;Bueno;60.28;Bueno;;;;;;Bueno;Bueno
2025-08-31;40.04;30.80;Bueno;88.98;Bueno;;;;;;Bueno;Bueno
2025-09-01;39.57;30.43;Bueno;87.92;Bueno;;;;;;Bueno;Bueno
2025-09-02;41.38;31.83;Bueno;91.94;Bueno;;;;;;Bueno;Bueno
2025-09-03;35.17;27.05;Bueno;78.15;Bueno;;;;;;Bueno;Bueno
2025-09-04;38.71;29.78;Bueno;86.02;Bueno;;;;;;Bueno;Bueno
2025-09-05;34.17;26.28;Bueno;75.93;Bueno;;;;;;Bueno;Bueno
2025-09-06;28.54;21.96;Bueno;63.43;Bueno;;;;;;Bueno;Bueno
2025-09-07;29.79;22.92;Bueno;66.20;Bueno;;;;;;Bueno;Bueno
2025-09-08;46.88;36.06;Bueno;103.07;Regular;;;;;;Bueno;Regular
2025-09-09;44.96;34.58;Bueno;99.91;Bueno;;;;;;Bueno;Bueno
2025-09-10;38.21;29.39;Bueno;84.91;Bueno;;;;;;Bueno;Bueno
2025-09-11;32.21;24.78;Bueno;71.57;Bueno;;;;;;Bueno;Bueno
2025-09-12;26.12;20.10;Bueno;58.06;Bueno;;;;;;Bueno;Bueno
2025-09-13;39.46;30.35;Bueno;87.69;Bueno;;;;;;Bueno;Bueno
2025-09-14;40.96;31.51;Bueno;91.02;Bueno;;;;;;Bueno;Bueno
2025-09-15;26.77;20.59;Bueno;59.49;Bueno;;;;;;Bueno;Bueno
2025-09-16;25.38;19.52;Bueno;56.39;Bueno;;;;;;Bueno;Bueno
