Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-26;26.30;20.23;Bueno;58.45;Bueno;6.91;13.82;Bueno;46.06;Bueno;Bueno;Bueno
2025-07-27;48.25;37.12;Bueno;105.32;Regular;11.96;23.92;Bueno;79.72;Bueno;Bueno;Regular
2025-07-28;89.41;68.78;Bueno;173.35;Regular;15.54;31.08;Bueno;101.17;Regular;Bueno;Regular
2025-07-29;93.50;71.92;Bueno;180.17;Regular;12.33;24.67;Bueno;82.22;Bueno;Bueno;Regular
2025-07-30;58.08;44.68;Bueno;121.47;Regular;16.38;32.75;Bueno;102.97;Regular;Bueno;Regular
2025-07-31;32.57;25.05;Bueno;72.38;Bueno;12.58;25.17;Bueno;83.89;Bueno;Bueno;Bueno
2025-08-01;34.42;26.47;Bueno;76.48;Bueno;8.54;17.08;Bueno;56.94;Bueno;Bueno;Bueno
2025-08-02;56.08;43.14;Bueno;118.18;Regular;13.91;27.82;Bueno;92.73;Bueno;Bueno;Regular
2025-08-03;78.38;60.29;Bueno;155.00;Regular;18.68;37.36;Bueno;107.96;Regular;Bueno;Regular
2025-08-04;85.79;65.99;Bueno;167.32;Regular;14.96;29.92;Bueno;99.72;Bueno;Bueno;Regular
2025-08-05;29.83;22.95;Bueno;66.30;Bueno;7.38;14.75;Bueno;49.17;Bueno;Bueno;Bueno
2025-08-06;36.79;28.30;Bueno;81.76;Bueno;8.52;17.05;Bueno;56.83;Bueno;Bueno;Bueno
2025-08-07;37.17;28.59;Bueno;82.59;Bueno;6.96;13.92;Bueno;46.39;Bueno;Bueno;Bueno
2025-08-08;42.21;32.47;Bueno;93.80;Bueno;13.67;27.33;Bueno;91.11;Bueno;Bueno;Bueno
2025-08-09;44.62;34.33;Bueno;99.17;Bueno;12.71;25.42;Bueno;84.72;Bueno;Bueno;Bueno
2025-08-10;43.96;33.81;Bueno;97.69;Bueno;11.91;23.82;Bueno;79.39;Bueno;Bueno;Bueno
2025-08-11;;;;;;15.46;30.92;Bueno;100.99;Regular;Bueno;Regular
2025-08-12;;;;;;8.04;16.08;Bueno;53.61;Bueno;Bueno;Bueno
2025-08-13;44.12;33.94;Bueno;98.06;Bueno;11.71;23.42;Bueno;78.06;Bueno;Bueno;Bueno
2025-08-14;31.83;24.49;Bueno;70.74;Bueno;10.88;21.75;Bueno;72.50;Bueno;Bueno;Bueno
2025-08-15;26.21;20.16;Bueno;58.24;Bueno;8.09;16.17;Bueno;53.91;Bueno;Bueno;Bueno
2025-08-16;47.00;36.15;Bueno;103.27;Regular;14.54;29.08;Bueno;96.94;Bueno;Bueno;Regular
2025-08-17;34.38;26.44;Bueno;76.39;Bueno;8.33;16.67;Bueno;55.56;Bueno;Bueno;Bueno
2025-08-18;;;;;;;;;;;;
2025-08-19;;;;;;15.15;30.30;Bueno;100.32;Regular;Bueno;Regular
2025-08-20;51.38;39.52;Bueno;110.45;Regular;10.73;21.45;Bueno;71.52;Bueno;Bueno;Regular
2025-08-21;27.71;21.31;Bueno;61.57;Bueno;11.92;23.83;Bueno;79.44;Bueno;Bueno;Bueno
2025-08-22;68.21;52.47;Bueno;138.16;Regular;14.46;28.92;Bueno;96.39;Bueno;Bueno;Regular
2025-08-23;86.96;66.89;Bueno;169.26;Regular;17.42;34.83;Bueno;105.22;Regular;Bueno;Regular
2025-08-24;53.92;41.47;Bueno;114.62;Regular;17.83;35.67;Bueno;106.12;Regular;Bueno;Regular
2025-08-25;77.67;59.74;Bueno;153.82;Regular;14.58;29.17;Bueno;97.22;Bueno;Bueno;Regular
2025-08-26;39.50;30.38;Bueno;87.78;Bueno;12.64;25.27;Bueno;84.24;Bueno;Bueno;Bueno
2025-08-27;46.50;35.77;Bueno;102.46;Regular;13.46;26.92;Bueno;89.72;Bueno;Bueno;Regular
2025-08-28;41.46;31.89;Bueno;92.13;Bueno;11.33;22.67;Bueno;75.56;Bueno;Bueno;Bueno
2025-08-29;16.54;12.72;Bueno;36.76;Bueno;6.00;12.00;Bueno;40.00;Bueno;Bueno;Bueno
2025-08-30;22.21;17.08;Bueno;49.35;Bueno;14.05;28.09;Bueno;93.64;Bueno;Bueno;Bueno
2025-08-31;43.46;33.43;Bueno;96.57;Bueno;12.04;24.08;Bueno;80.28;Bueno;Bueno;Bueno
2025-09-01;65.25;50.19;Bueno;133.28;Regular;10.71;21.42;Bueno;71.39;Bueno;Bueno;Regular
2025-09-02;40.04;30.80;Bueno;88.98;Bueno;10.12;20.25;Bueno;67.50;Bueno;Bueno;Bueno
2025-09-03;37.62;28.94;Bueno;83.61;Bueno;10.67;21.33;Bueno;71.11;Bueno;Bueno;Bueno
2025-09-04;37.15;28.58;Bueno;82.56;Bueno;7.95;15.91;Bueno;53.03;Bueno;Bueno;Bueno
2025-09-05;43.17;33.21;Bueno;95.93;Bueno;13.92;27.83;Bueno;92.78;Bueno;Bueno;Bueno
2025-09-06;33.21;25.54;Bueno;73.80;Bueno;11.62;23.25;Bueno;77.50;Bueno;Bueno;Bueno
2025-09-07;25.62;19.71;Bueno;56.94;Bueno;8.79;17.58;Bueno;58.61;Bueno;Bueno;Bueno
2025-09-08;29.50;22.69;Bueno;65.56;Bueno;10.32;20.64;Bueno;68.79;Bueno;Bueno;Bueno
2025-09-09;82.00;63.08;Bueno;161.02;Regular;16.91;33.83;Bueno;104.13;Regular;Bueno;Regular
2025-09-10;47.42;36.47;Bueno;103.96;Regular;11.95;23.90;Bueno;79.68;Bueno;Bueno;Regular
2025-09-11;80.17;61.67;Bueno;157.97;Regular;19.29;38.58;Bueno;109.28;Regular;Bueno;Regular
2025-09-12;28.71;22.08;Bueno;63.80;Bueno;7.50;15.00;Bueno;50.00;Bueno;Bueno;Bueno
2025-09-13;21.79;16.76;Bueno;48.43;Bueno;8.21;16.42;Bueno;54.72;Bueno;Bueno;Bueno
2025-09-14;53.04;40.80;Bueno;113.18;Regular;14.96;29.91;Bueno;99.71;Bueno;Bueno;Regular
2025-09-15;32.12;24.71;Bueno;71.39;Bueno;13.40;26.80;Bueno;89.33;Bueno;Bueno;Bueno
2025-09-16;21.38;16.44;Bueno;47.50;Bueno;9.70;19.39;Bueno;64.64;Bueno;Bueno;Bueno
2025-09-17;32.62;25.10;Bueno;72.50;Bueno;10.35;20.70;Bueno;68.99;Bueno;Bueno;Bueno
2025-09-18;34.92;26.86;Bueno;77.59;Bueno;13.62;27.25;Bueno;90.83;Bueno;Bueno;Bueno
2025-09-19;65.83;50.64;Bueno;134.24;Regular;13.71;27.42;Bueno;91.39;Bueno;Bueno;Regular
2025-09-20;41.33;31.79;Bueno;91.85;Bueno;13.95;27.91;Bueno;93.03;Bueno;Bueno;Bueno
2025-09-21;31.79;24.46;Bueno;70.65;Bueno;10.35;20.70;Bueno;68.99;Bueno;Bueno;Bueno
2025-09-22;58.38;44.90;Bueno;121.95;Regular;13.09;26.17;Bueno;87.25;Bueno;Bueno;Regular
2025-09-23;40.29;30.99;Bueno;89.54;Bueno;11.39;22.78;Bueno;75.94;Bueno;Bueno;Bueno
2025-09-24;61.88;47.60;Bueno;127.71;Regular;11.12;22.25;Bueno;74.17;Bueno;Bueno;Regular
2025-09-25;30.75;23.65;Bueno;68.33;Bueno;9.96;19.92;Bueno;66.39;Bueno;Bueno;Bueno
2025-09-26;30.88;23.75;Bueno;68.61;Bueno;9.96;19.92;Bueno;66.39;Bueno;Bueno;Bueno
2025-09-27;67.50;51.92;Bueno;136.99;Regular;17.67;35.33;Bueno;105.76;Regular;Bueno;Regular
2025-09-28;61.38;47.21;Bueno;126.89;Regular;21.21;42.42;Bueno;113.43;Regular;Bueno;Regular
2025-09-29;29.96;23.04;Bueno;66.57;Bueno;8.09;16.18;Bueno;53.94;Bueno;Bueno;Bueno
2025-09-30;35.96;27.66;Bueno;79.91;Bueno;12.33;24.67;Bueno;82.22;Bueno;Bueno;Bueno
2025-10-01;30.71;23.62;Bueno;68.24;Bueno;6.67;13.33;Bueno;44.44;Bueno;Bueno;Bueno
2025-10-02;38.78;29.83;Bueno;86.17;Bueno;15.42;30.83;Bueno;100.90;Regular;Bueno;Regular
2025-10-03;21.00;16.15;Bueno;46.67;Bueno;8.04;16.09;Bueno;53.62;Bueno;Bueno;Bueno
2025-10-04;19.88;15.29;Bueno;44.17;Bueno;9.29;18.58;Bueno;61.94;Bueno;Bueno;Bueno
2025-10-05;35.29;27.15;Bueno;78.43;Bueno;10.96;21.92;Bueno;73.06;Bueno;Bueno;Bueno
2025-10-06;76.75;59.04;Bueno;152.30;Regular;18.46;36.92;Bueno;107.48;Regular;Bueno;Regular
2025-10-07;51.08;39.29;Bueno;109.97;Regular;13.75;27.50;Bueno;91.67;Bueno;Bueno;Regular
2025-10-08;46.04;35.42;Bueno;101.71;Regular;12.88;25.75;Bueno;85.83;Bueno;Bueno;Regular
2025-10-09;34.75;26.73;Bueno;77.22;Bueno;11.91;23.83;Bueno;79.42;Bueno;Bueno;Bueno
2025-10-10;27.58;21.22;Bueno;61.30;Bueno;10.75;21.50;Bueno;71.67;Bueno;Bueno;Bueno
2025-10-11;30.83;23.72;Bueno;68.52;Bueno;10.76;21.52;Bueno;71.75;Bueno;Bueno;Bueno
2025-10-12;45.42;34.94;Bueno;100.68;Regular;13.87;27.74;Bueno;92.46;Bueno;Bueno;Regular
2025-10-13;35.00;26.92;Bueno;77.78;Bueno;12.55;25.09;Bueno;83.64;Bueno;Bueno;Bueno
2025-10-14;32.79;25.22;Bueno;72.87;Bueno;10.73;21.45;Bueno;71.52;Bueno;Bueno;Bueno
2025-10-15;30.21;23.24;Bueno;67.13;Bueno;9.91;19.82;Bueno;66.06;Bueno;Bueno;Bueno
2025-10-16;28.12;21.63;Bueno;62.50;Bueno;8.91;17.83;Bueno;59.42;Bueno;Bueno;Bueno
2025-10-17;26.33;20.26;Bueno;58.52;Bueno;11.17;22.33;Bueno;74.44;Bueno;Bueno;Bueno
2025-10-18;24.88;19.13;Bueno;55.28;Bueno;10.50;21.00;Bueno;70.00;Bueno;Bueno;Bueno
2025-10-19;19.71;15.16;Bueno;43.80;Bueno;9.50;19.00;Bueno;63.33;Bueno;Bueno;Bueno
2025-10-20;13.62;10.48;Bueno;30.26;Bueno;10.09;20.18;Bueno;67.27;Bueno;Bueno;Bueno
2025-10-21;16.83;12.95;Bueno;37.41;Bueno;6.12;12.25;Bueno;40.83;Bueno;Bueno;Bueno
2025-10-22;18.62;14.33;Bueno;41.39;Bueno;7.38;14.75;Bueno;49.17;Bueno;Bueno;Bueno
2025-10-23;21.33;16.41;Bueno;47.41;Bueno;7.17;14.33;Bueno;47.78;Bueno;Bueno;Bueno
2025-10-24;28.58;21.99;Bueno;63.52;Bueno;12.52;25.04;Bueno;83.48;Bueno;Bueno;Bueno
2025-10-25;50.38;38.75;Bueno;108.81;Regular;14.87;29.74;Bueno;99.13;Bueno;Bueno;Regular
2025-10-26;53.17;40.90;Bueno;113.39;Regular;17.12;34.25;Bueno;104.59;Regular;Bueno;Regular
2025-10-27;42.67;32.82;Bueno;94.81;Bueno;13.96;27.91;Bueno;93.04;Bueno;Bueno;Bueno
2025-10-28;37.79;29.07;Bueno;83.98;Bueno;12.00;24.00;Bueno;80.00;Bueno;Bueno;Bueno
2025-10-29;32.50;25.00;Bueno;72.22;Bueno;11.83;23.67;Bueno;78.89;Bueno;Bueno;Bueno
2025-10-30;39.43;30.33;Bueno;87.63;Bueno;5.74;11.48;Bueno;38.26;Bueno;Bueno;Bueno
2025-10-31;31.46;24.20;Bueno;69.91;Bueno;8.62;17.25;Bueno;57.50;Bueno;Bueno;Bueno
2025-11-01;31.04;23.88;Bueno;68.98;Bueno;8.25;16.50;Bueno;55.00;Bueno;Bueno;Bueno
2025-11-02;36.67;28.21;Bueno;81.48;Bueno;7.71;15.43;Bueno;51.43;Bueno;Bueno;Bueno
2025-11-03;30.67;23.59;Bueno;68.15;Bueno;7.33;14.67;Bueno;48.89;Bueno;Bueno;Bueno
2025-11-04;32.42;24.94;Bueno;72.04;Bueno;9.08;18.17;Bueno;60.56;Bueno;Bueno;Bueno
2025-11-05;39.12;30.10;Bueno;86.94;Bueno;11.38;22.75;Bueno;75.83;Bueno;Bueno;Bueno
2025-11-06;22.92;17.63;Bueno;50.93;Bueno;7.71;15.42;Bueno;51.39;Bueno;Bueno;Bueno
2025-11-07;42.50;32.69;Bueno;94.44;Bueno;14.81;29.62;Bueno;98.73;Bueno;Bueno;Bueno
2025-11-08;48.92;37.63;Bueno;106.42;Regular;12.62;25.25;Bueno;84.17;Bueno;Bueno;Regular
2025-11-09;36.29;27.92;Bueno;80.65;Bueno;11.00;22.00;Bueno;73.33;Bueno;Bueno;Bueno
