Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;;;;;;1.00;2.00;Bueno;6.67;Bueno;Bueno;Bueno
2025-07-28;;;;;;1.27;2.55;Bueno;8.48;Bueno;Bueno;Bueno
2025-07-29;;;;;;3.17;6.33;Bueno;21.11;Bueno;Bueno;Bueno
2025-07-30;;;;;;1.88;3.75;Bueno;12.50;Bueno;Bueno;Bueno
2025-07-31;;;;;;3.33;6.67;Bueno;22.22;Bueno;Bueno;Bueno
2025-08-01;;;;;;;;;;;;
2025-08-02;;;;;;;;;;;;
2025-08-03;;;;;;;;;;;;
2025-08-04;;;;;;;;;;;;
2025-08-05;;;;;;;;;;;;
2025-08-06;;;;;;;;;;;;
2025-08-07;;;;;;1.96;3.91;Bueno;13.04;Bueno;Bueno;Bueno
2025-08-08;;;;;;3.42;6.83;Bueno;22.78;Bueno;Bueno;Bueno
2025-08-09;;;;;;2.42;4.83;Bueno;16.11;Bueno;Bueno;Bueno
2025-08-10;;;;;;3.17;6.33;Bueno;21.11;Bueno;Bueno;Bueno
2025-08-11;;;;;;3.29;6.58;Bueno;21.94;Bueno;Bueno;Bueno
2025-08-12;;;;;;3.79;7.58;Bueno;25.28;Bueno;Bueno;Bueno
2025-08-13;;;;;;1.57;3.14;Bueno;10.48;Bueno;Bueno;Bueno
2025-08-14;;;;;;1.92;3.83;Bueno;12.78;Bueno;Bueno;Bueno
2025-08-15;;;;;;2.21;4.42;Bueno;14.72;Bueno;Bueno;Bueno
2025-08-16;;;;;;1.42;2.83;Bueno;9.44;Bueno;Bueno;Bueno
2025-08-17;;;;;;1.38;2.75;Bueno;9.17;Bueno;Bueno;Bueno
2025-08-18;;;;;;1.17;2.33;Bueno;7.78;Bueno;Bueno;Bueno
2025-08-19;;;;;;1.04;2.08;Bueno;6.94;Bueno;Bueno;Bueno
2025-08-20;;;;;;1.67;3.33;Bueno;11.11;Bueno;Bueno;Bueno
2025-08-21;;;;;;1.00;2.00;Bueno;6.67;Bueno;Bueno;Bueno
2025-08-22;;;;;;2.83;5.65;Bueno;18.84;Bueno;Bueno;Bueno
2025-08-23;;;;;;4.83;9.67;Bueno;32.22;Bueno;Bueno;Bueno
2025-08-24;;;;;;6.50;13.00;Bueno;43.33;Bueno;Bueno;Bueno
2025-08-25;;;;;;6.29;12.58;Bueno;41.94;Bueno;Bueno;Bueno
2025-08-26;;;;;;3.46;6.92;Bueno;23.06;Bueno;Bueno;Bueno
