FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250727;0100;;266;;
250727;0200;;190;;
250727;0300;;178;;
250727;0400;;162;;
250727;0500;;146;;
250727;0600;;131;;
250727;0700;;141;;
250727;0800;;133;;
250727;0900;;249;;
250727;1000;;160;;
250727;1100;;82;;
250727;1200;;33;;
250727;1300;;21;;
250727;1400;;20;;
250727;1500;;30;;
250727;1600;;38;;
250727;1700;;53;;
250727;1800;;72;;
250727;1900;;98;;
250727;2000;;67;;
250727;2100;;201;;
250727;2200;;226;;
250727;2300;;95;;
250728;0000;;61;;
250728;0100;;138;;
250728;0200;;161;;
250728;0300;;75;;
250728;0400;;94;;
250728;0500;;90;;
250728;0600;;98;;
250728;0700;;121;;
250728;0800;;172;;
250728;0900;;143;;
250728;1000;;122;;
250728;1100;;46;;
250728;1200;;17;;
250728;1300;;15;;
250728;1400;;22;;
250728;1500;;39;;
250728;1600;;26;;
250728;1700;;40;;
250728;1800;;50;;
250728;1900;;42;;
250728;2000;;90;;
250728;2100;;79;;
250728;2200;;140;;
250728;2300;;74;;
250729;0000;;105;;
250729;0100;;93;;
250729;0200;;57;;
250729;0300;;28;;
250729;0400;;15;;
250729;0500;;31;;
250729;0600;;51;;
250729;0700;;121;;
250729;0800;;49;;
250729;0900;;55;;
250729;1000;;29;;
250729;1100;;42;;
250729;1200;;13;;
250729;1300;;48;;
250729;1400;;33;;
250729;1500;;60;;
250729;1600;;81;;
250729;1700;;71;;
250729;1800;;46;;
250729;1900;;66;;
250729;2000;;103;;
250729;2100;;108;;
250729;2200;;164;;
250729;2300;;138;;
250730;0000;;192;;
250730;0100;;122;;
250730;0200;;66;;
250730;0300;;74;;
250730;0400;;51;;
250730;0500;;12;;
250730;0600;;43;;
250730;0700;;85;;
250730;0800;;119;;
250730;0900;;164;;
250730;1000;;118;;
250730;1100;;54;;
250730;1200;;97;;
250730;1300;;88;;
250730;1400;;65;;
250730;1500;;53;;
250730;1600;;64;;
250730;1700;;84;;
250730;1800;;101;;
250730;1900;;93;;
250730;2000;;56;;
250730;2100;;104;;
250730;2200;;134;;
250730;2300;;124;;
250731;0000;;107;;
250731;0100;;113;;
250731;0200;;115;;
250731;0300;;75;;
250731;0400;;102;;
250731;0500;;77;;
250731;0600;;178;;
250731;0700;;276;;
250731;0800;;352;;
250731;0900;;489;;
250731;1000;;340;;
250731;1100;;123;;
250731;1200;;42;;
250731;1300;;91;;
250731;1400;;147;;
250731;1500;;75;;
250731;1600;;80;;
250731;1700;;64;;
250731;1800;;69;;
250731;1900;;61;;
250731;2000;;87;;
250731;2100;;96;;
250731;2200;;63;;
250731;2300;;37;;
250801;0000;;109;;
250801;0100;;68;;
250801;0200;;102;;
250801;0300;;70;;
250801;0400;;115;;
250801;0500;;78;;
250801;0600;;113;;
250801;0700;;173;;
250801;0800;;156;;
250801;0900;;117;;
250801;1000;;188;;
250801;1100;;133;;
250801;1200;;82;;
250801;1300;;42;;
250801;1400;;48;;
250801;1500;;32;;
250801;1600;;58;;
250801;1700;;31;;
250801;1800;;41;;
250801;1900;;47;;
250801;2000;;73;;
250801;2100;;62;;
250801;2200;;90;;
250801;2300;;30;;
250802;0000;;90;;
250802;0100;;65;;
250802;0200;;63;;
250802;0300;;39;;
250802;0400;;23;;
250802;0500;;27;;
250802;0600;;24;;
250802;0700;;28;;
250802;0800;;107;;
250802;0900;;57;;
250802;1000;;29;;
250802;1100;;33;;
250802;1200;;13;;
250802;1300;;9;;
250802;1400;;10;;
250802;1500;;14;;
250802;1600;;9;;
250802;1700;;18;;
250802;1800;;27;;
250802;1900;;25;;
250802;2000;;22;;
250802;2100;;61;;
250802;2200;;88;;
250802;2300;;28;;
250803;0000;;19;;
250803;0100;;13;;
250803;0200;;11;;
250803;0300;;18;;
250803;0400;;26;;
250803;0500;;33;;
250803;0600;;24;;
250803;0700;;37;;
250803;0800;;65;;
250803;0900;;75;;
250803;1000;;90;;
250803;1100;;29;;
250803;1200;;7;;
250803;1300;;12;;
250803;1400;;14;;
250803;1500;;16;;
250803;1600;;10;;
250803;1700;;50;;
250803;1800;;39;;
250803;1900;;76;;
250803;2000;;92;;
250803;2100;;223;;
250803;2200;;128;;
250803;2300;;227;;
250804;0000;;213;;
250804;0100;;206;;
250804;0200;;194;;
250804;0300;;96;;
250804;0400;;87;;
250804;0500;;66;;
250804;0600;;150;;
250804;0700;;134;;
250804;0800;;99;;
250804;0900;;138;;
250804;1000;;55;;
250804;1100;;35;;
250804;1200;;21;;
250804;1300;;33;;
250804;1400;;20;;
250804;1500;;24;;
250804;1600;;30;;
250804;1700;;33;;
250804;1800;;22;;
250804;1900;;22;;
250804;2000;;60;;
250804;2100;;48;;
250804;2200;;80;;
250804;2300;;98;;
250805;0000;;101;;
250805;0100;;115;;
250805;0200;;68;;
250805;0300;;40;;
250805;0400;;43;;
250805;0500;;42;;
250805;0600;;93;;
250805;0700;;133;;
250805;0800;;124;;
250805;0900;;64;;
250805;1000;;36;;
250805;1100;;26;;
250805;1200;;30;;
250805;1300;;14;;
250805;1400;;14;;
250805;1500;;11;;
250805;1600;;11;;
250805;1700;;10;;
250805;1800;;74;;
250805;1900;;80;;
250805;2000;;88;;
250805;2100;;110;;
250805;2200;;81;;
250805;2300;;56;;
250806;0000;;53;;
250806;0100;;75;;
250806;0200;;58;;
250806;0300;;72;;
250806;0400;;112;;
250806;0500;;91;;
250806;0600;;204;;
250806;0700;;346;;
250806;0800;;236;;
250806;0900;;92;;
250806;1000;;173;;
250806;1100;;31;;
250806;1200;;45;;
250806;1300;;12;;
250806;1400;;12;;
250806;1500;;11;;
250806;1600;;53;;
250806;1700;;27;;
250806;1800;;31;;
250806;1900;;28;;
250806;2000;;13;;
250806;2100;;53;;
250806;2200;;66;;
250806;2300;;72;;
250807;0000;;50;;
250807;0100;;67;;
250807;0200;;35;;
250807;0300;;20;;
250807;0400;;31;;
250807;0500;;54;;
250807;0600;;160;;
250807;0700;;217;;
250807;0800;;289;;
250807;0900;;145;;
250807;1000;;40;;
250807;1100;;22;;
250807;1200;;5;;
250807;1300;;8;;
250807;1400;;10;;
250807;1500;;15;;
250807;1600;;20;;
250807;1700;;81;;
250807;1800;;117;;
250807;1900;;115;;
250807;2000;;175;;
250807;2100;;109;;
250807;2200;;115;;
250807;2300;;171;;
250808;0000;;176;;
250808;0100;;117;;
250808;0200;;143;;
250808;0300;;104;;
250808;0400;;72;;
250808;0500;;126;;
250808;0600;;166;;
250808;0700;;;;
250808;0800;;336;;
250808;0900;;285;;
250808;1000;;100;;
250808;1100;;40;;
250808;1200;;62;;
250808;1300;;58;;
250808;1400;;34;;
250808;1500;;23;;
250808;1600;;28;;
250808;1700;;65;;
250808;1800;;119;;
250808;1900;;106;;
250808;2000;;79;;
250808;2100;;100;;
250808;2200;;222;;
250808;2300;;196;;
250809;0000;;225;;
250809;0100;;233;;
250809;0200;;149;;
250809;0300;;124;;
250809;0400;;62;;
250809;0500;;68;;
250809;0600;;96;;
250809;0700;;102;;
250809;0800;;239;;
250809;0900;;158;;
250809;1000;;40;;
250809;1100;;14;;
250809;1200;;12;;
250809;1300;;10;;
250809;1400;;16;;
250809;1500;;28;;
250809;1600;;27;;
250809;1700;;50;;
250809;1800;;67;;
250809;1900;;108;;
250809;2000;;116;;
250809;2100;;209;;
250809;2200;;264;;
250809;2300;;216;;
250810;0000;;221;;
250810;0100;;203;;
250810;0200;;191;;
250810;0300;;153;;
250810;0400;;161;;
250810;0500;;95;;
250810;0600;;84;;
250810;0700;;91;;
250810;0800;;121;;
250810;0900;;135;;
250810;1000;;47;;
250810;1100;;28;;
250810;1200;;46;;
250810;1300;;29;;
250810;1400;;12;;
250810;1500;;52;;
250810;1600;;23;;
250810;1700;;35;;
250810;1800;;79;;
250810;1900;;88;;
250810;2000;;75;;
250810;2100;;132;;
250810;2200;;180;;
250810;2300;;213;;
250811;0000;;189;;
250811;0100;;155;;
250811;0200;;74;;
250811;0300;;53;;
250811;0400;;25;;
250811;0500;;48;;
250811;0600;;77;;
250811;0700;;124;;
250811;0800;;156;;
250811;0900;;145;;
250811;1000;;136;;
250811;1100;;167;;
250811;1200;;190;;
250811;1300;;82;;
250811;1400;;102;;
250811;1500;;92;;
250811;1600;;44;;
250811;1700;;58;;
250811;1800;;47;;
250811;1900;;90;;
250811;2000;;78;;
250811;2100;;29;;
250811;2200;;40;;
250811;2300;;46;;
250812;0000;;44;;
250812;0100;;71;;
250812;0200;;61;;
250812;0300;;94;;
250812;0400;;48;;
250812;0500;;57;;
250812;0600;;68;;
250812;0700;;115;;
250812;0800;;120;;
250812;0900;;143;;
250812;1000;;93;;
250812;1100;;30;;
250812;1200;;54;;
250812;1300;;17;;
250812;1400;;20;;
250812;1500;;8;;
250812;1600;;16;;
250812;1700;;24;;
250812;1800;;90;;
250812;1900;;124;;
250812;2000;;127;;
250812;2100;;174;;
250812;2200;;130;;
250812;2300;;164;;
250813;0000;;170;;
250813;0100;;120;;
250813;0200;;117;;
250813;0300;;100;;
