FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250727;0100;63;;;
250727;0200;13;;;
250727;0300;11;;;
250727;0400;7;;;
250727;0500;6;;;
250727;0600;19;;;
250727;0700;46;;;
250727;0800;96;;;
250727;0900;47;;;
250727;1000;138;;;
250727;1100;67;;;
250727;1200;76;;;
250727;1300;48;;;
250727;1400;46;;;
250727;1500;52;;;
250727;1600;53;;;
250727;1700;109;;;
250727;1800;121;;;
250727;1900;110;;;
250727;2000;119;;;
250727;2100;166;;;
250727;2200;142;;;
250727;2300;150;;;
250728;0000;120;;;
250728;0100;88;;;
250728;0200;85;;;
250728;0300;76;;;
250728;0400;104;;;
250728;0500;105;;;
250728;0600;146;;;
250728;0700;106;;;
250728;0800;102;;;
250728;0900;140;;;
250728;1000;153;;;
250728;1100;108;;;
250728;1200;100;;;
250728;1300;149;;;
250728;1400;108;;;
250728;1500;146;;;
250728;1600;115;;;
250728;1700;174;;;
250728;1800;177;;;
250728;1900;176;;;
250728;2000;219;;;
250728;2100;211;;;
250728;2200;268;;;
250728;2300;242;;;
250729;0000;163;;;
250729;0100;274;;;
250729;0200;189;;;
250729;0300;121;;;
250729;0400;152;;;
250729;0500;127;;;
250729;0600;257;;;
250729;0700;218;;;
250729;0800;158;;;
250729;0900;112;;;
250729;1000;261;;;
250729;1100;197;;;
250729;1200;111;;;
250729;1300;208;;;
250729;1400;264;;;
250729;1500;219;;;
250729;1600;257;;;
250729;1700;286;;;
250729;1800;181;;;
250729;1900;279;;;
250729;2000;206;;;
250729;2100;251;;;
250729;2200;136;;;
250729;2300;87;;;
250730;0000;70;;;
250730;0100;73;;;
250730;0200;94;;;
250730;0300;118;;;
250730;0400;51;;;
250730;0500;110;;;
250730;0600;187;;;
250730;0700;176;;;
250730;0800;233;;;
250730;0900;315;;;
250730;1000;199;;;
250730;1100;211;;;
250730;1200;142;;;
250730;1300;97;;;
250730;1400;70;;;
250730;1500;80;;;
250730;1600;;;;
250730;1700;141;;;
250730;1800;79;;;
250730;1900;104;;;
250730;2000;141;;;
250730;2100;109;;;
250730;2200;49;;;
250730;2300;43;;;
250731;0000;34;;;
250731;0100;23;;;
250731;0200;16;;;
250731;0300;13;;;
250731;0400;20;;;
250731;0500;34;;;
250731;0600;93;;;
250731;0700;149;;;
250731;0800;105;;;
250731;0900;65;;;
250731;1000;58;;;
250731;1100;75;;;
250731;1200;188;;;
250731;1300;125;;;
250731;1400;95;;;
250731;1500;88;;;
250731;1600;68;;;
250731;1700;117;;;
250731;1800;95;;;
250731;1900;133;;;
250731;2000;94;;;
250731;2100;112;;;
250731;2200;71;;;
250731;2300;75;;;
250801;0000;62;;;
250801;0100;33;;;
250801;0200;18;;;
250801;0300;22;;;
250801;0400;20;;;
250801;0500;18;;;
250801;0600;69;;;
250801;0700;74;;;
250801;0800;95;;;
250801;0900;95;;;
250801;1000;77;;;
250801;1100;63;;;
250801;1200;81;;;
250801;1300;95;;;
250801;1400;136;;;
250801;1500;138;;;
250801;1600;116;;;
250801;1700;113;;;
250801;1800;289;;;
250801;1900;207;;;
