FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250726;0100;212;;;
250726;0200;251;;;
250726;0300;130;;;
250726;0400;118;;;
250726;0500;99;;;
250726;0600;166;;;
250726;0700;236;;;
250726;0800;242;;;
250726;0900;62;;;
250726;1000;41;;;
250726;1100;31;;;
250726;1200;24;;;
250726;1300;26;;;
250726;1400;33;;;
250726;1500;50;;;
250726;1600;76;;;
250726;1700;78;;;
250726;1800;81;;;
250726;1900;76;;;
250726;2000;50;;;
250726;2100;51;;;
250726;2200;66;;;
250726;2300;89;;;
250727;0000;214;;;
250727;0100;192;;;
250727;0200;55;;;
250727;0300;18;;;
250727;0400;13;;;
250727;0500;28;;;
250727;0600;55;;;
250727;0700;79;;;
250727;0800;157;;;
250727;0900;97;;;
250727;1000;119;;;
250727;1100;32;;;
250727;1200;48;;;
250727;1300;30;;;
250727;1400;33;;;
250727;1500;41;;;
250727;1600;42;;;
250727;1700;66;;;
250727;1800;110;;;
250727;1900;118;;;
250727;2000;88;;;
250727;2100;110;;;
250727;2200;139;;;
250727;2300;76;;;
250728;0000;39;;;
250728;0100;110;;;
250728;0200;122;;;
250728;0300;107;;;
250728;0400;71;;;
250728;0500;50;;;
250728;0600;92;;;
250728;0700;150;;;
250728;0800;140;;;
250728;0900;179;;;
250728;1000;120;;;
250728;1100;74;;;
250728;1200;108;;;
250728;1300;81;;;
250728;1400;80;;;
250728;1500;96;;;
250728;1600;142;;;
250728;1700;111;;;
250728;1800;168;;;
250728;1900;256;;;
250728;2000;194;;;
250728;2100;229;;;
250728;2200;186;;;
250728;2300;275;;;
250729;0000;221;;;
250729;0100;207;;;
250729;0200;188;;;
250729;0300;151;;;
250729;0400;107;;;
250729;0500;125;;;
250729;0600;185;;;
250729;0700;182;;;
250729;0800;215;;;
250729;0900;135;;;
250729;1000;261;;;
250729;1100;264;;;
250729;1200;119;;;
250729;1300;135;;;
250729;1400;142;;;
250729;1500;143;;;
250729;1600;;;;
250729;1700;158;;;
250729;1800;234;;;
250729;1900;221;;;
250729;2000;136;;;
250729;2100;163;;;
250729;2200;78;;;
250729;2300;137;;;
250730;0000;105;;;
250730;0100;105;;;
