Fecha;Hora;ConcentracionMP10;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;63;;74.13;57.02;Bueno;147.96;Regular
2025-07-27;02:00;13;;74.13;57.02;Bueno;147.96;Regular
2025-07-27;03:00;11;;74.13;57.02;Bueno;147.96;Regular
2025-07-27;04:00;7;;74.13;57.02;Bueno;147.96;Regular
2025-07-27;05:00;6;;74.13;57.02;Bueno;147.96;Regular
2025-07-27;06:00;19;;74.13;57.02;Bueno;147.96;Regular
2025-07-27;07:00;46;;74.13;57.02;Bueno;147.96;Regular
2025-07-27;08:00;96;;74.13;57.02;Bueno;147.96;Regular
2025-07-27;09:00;47;;74.13;57.02;Bueno;147.96;Regular
2025-07-27;10:00;138;;74.13;57.02;Bueno;147.96;Regular
2025-07-27;11:00;67;;74.13;57.02;Bueno;147.96;Regular
2025-07-27;12:00;76;;74.13;57.02;Bueno;147.96;Regular
2025-07-27;13:00;48;;74.13;57.02;Bueno;147.96;Regular
2025-07-27;14:00;46;;74.13;57.02;Bueno;147.96;Regular
2025-07-27;15:00;52;;74.13;57.02;Bueno;147.96;Regular
2025-07-27;16:00;53;;74.13;57.02;Bueno;147.96;Regular
2025-07-27;17:00;109;;74.13;57.02;Bueno;147.96;Regular
2025-07-27;18:00;121;56.56;74.13;57.02;Bueno;147.96;Regular
2025-07-27;19:00;110;59.37;74.13;57.02;Bueno;147.96;Regular
2025-07-27;20:00;119;62.35;74.13;57.02;Bueno;147.96;Regular
2025-07-27;21:00;166;67.29;74.13;57.02;Bueno;147.96;Regular
2025-07-27;22:00;142;70.68;74.13;57.02;Bueno;147.96;Regular
2025-07-27;23:00;150;74.13;74.13;57.02;Bueno;147.96;Regular
2025-07-28;00:00;120;76.04;142.42;124.83;Regular;262.66;Alerta
2025-07-28;01:00;88;77.08;142.42;124.83;Regular;262.66;Alerta
2025-07-28;02:00;85;80.08;142.42;124.83;Regular;262.66;Alerta
2025-07-28;03:00;76;82.79;142.42;124.83;Regular;262.66;Alerta
2025-07-28;04:00;104;86.83;142.42;124.83;Regular;262.66;Alerta
2025-07-28;05:00;105;90.96;142.42;124.83;Regular;262.66;Alerta
