Fecha;Hora;ConcentracionMP2_5;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;62;;71.39;171.30;Regular;224.04;Alerta
2025-07-27;02:00;12;;71.39;171.30;Regular;224.04;Alerta
2025-07-27;03:00;10;;71.39;171.30;Regular;224.04;Alerta
2025-07-27;04:00;6;;71.39;171.30;Regular;224.04;Alerta
2025-07-27;05:00;5;;71.39;171.30;Regular;224.04;Alerta
2025-07-27;06:00;18;;71.39;171.30;Regular;224.04;Alerta
2025-07-27;07:00;42;;71.39;171.30;Regular;224.04;Alerta
2025-07-27;08:00;95;;71.39;171.30;Regular;224.04;Alerta
2025-07-27;09:00;46;;71.39;171.30;Regular;224.04;Alerta
2025-07-27;10:00;137;;71.39;171.30;Regular;224.04;Alerta
2025-07-27;11:00;62;;71.39;171.30;Regular;224.04;Alerta
2025-07-27;12:00;71;;71.39;171.30;Regular;224.04;Alerta
2025-07-27;13:00;45;;71.39;171.30;Regular;224.04;Alerta
2025-07-27;14:00;45;;71.39;171.30;Regular;224.04;Alerta
2025-07-27;15:00;45;;71.39;171.30;Regular;224.04;Alerta
2025-07-27;16:00;52;;71.39;171.30;Regular;224.04;Alerta
2025-07-27;17:00;107;;71.39;171.30;Regular;224.04;Alerta
2025-07-27;18:00;120;54.44;71.39;171.30;Regular;224.04;Alerta
2025-07-27;19:00;100;56.84;71.39;171.30;Regular;224.04;Alerta
2025-07-27;20:00;116;59.80;71.39;171.30;Regular;224.04;Alerta
2025-07-27;21:00;165;64.81;71.39;171.30;Regular;224.04;Alerta
2025-07-27;22:00;132;67.86;71.39;171.30;Regular;224.04;Alerta
2025-07-27;23:00;149;71.39;71.39;171.30;Regular;224.04;Alerta
2025-07-28;00:00;119;73.38;141.42;404.72;Preemergencia;384.51;Preemergencia
2025-07-28;01:00;87;74.42;141.42;404.72;Preemergencia;384.51;Preemergencia
2025-07-28;02:00;84;77.42;141.42;404.72;Preemergencia;384.51;Preemergencia
2025-07-28;03:00;75;80.12;141.42;404.72;Preemergencia;384.51;Preemergencia
