Fecha;Hora;ConcentracionMP10;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-26;01:00;212;;99.48;76.52;Bueno;190.16;Regular
2025-07-26;02:00;251;;99.48;76.52;Bueno;190.16;Regular
2025-07-26;03:00;130;;99.48;76.52;Bueno;190.16;Regular
2025-07-26;04:00;118;;99.48;76.52;Bueno;190.16;Regular
2025-07-26;05:00;99;;99.48;76.52;Bueno;190.16;Regular
2025-07-26;06:00;166;;99.48;76.52;Bueno;190.16;Regular
2025-07-26;07:00;236;;99.48;76.52;Bueno;190.16;Regular
2025-07-26;08:00;242;;99.48;76.52;Bueno;190.16;Regular
2025-07-26;09:00;62;;99.48;76.52;Bueno;190.16;Regular
2025-07-26;10:00;41;;99.48;76.52;Bueno;190.16;Regular
2025-07-26;11:00;31;;99.48;76.52;Bueno;190.16;Regular
2025-07-26;12:00;24;;99.48;76.52;Bueno;190.16;Regular
2025-07-26;13:00;26;;99.48;76.52;Bueno;190.16;Regular
2025-07-26;14:00;33;;99.48;76.52;Bueno;190.16;Regular
2025-07-26;15:00;50;;99.48;76.52;Bueno;190.16;Regular
2025-07-26;16:00;76;;99.48;76.52;Bueno;190.16;Regular
2025-07-26;17:00;78;;99.48;76.52;Bueno;190.16;Regular
2025-07-26;18:00;81;108.67;99.48;76.52;Bueno;190.16;Regular
2025-07-26;19:00;76;106.95;99.48;76.52;Bueno;190.16;Regular
2025-07-26;20:00;50;104.10;99.48;76.52;Bueno;190.16;Regular
2025-07-26;21:00;51;101.57;99.48;76.52;Bueno;190.16;Regular
2025-07-26;22:00;66;99.95;99.48;76.52;Bueno;190.16;Regular
2025-07-26;23:00;89;99.48;99.48;76.52;Bueno;190.16;Regular
2025-07-27;00:00;214;104.25;81.67;62.82;Bueno;160.46;Regular
2025-07-27;01:00;192;103.42;81.67;62.82;Bueno;160.46;Regular
2025-07-27;02:00;55;95.25;81.67;62.82;Bueno;160.46;Regular
2025-07-27;03:00;18;90.58;81.67;62.82;Bueno;160.46;Regular
2025-07-27;04:00;13;86.21;81.67;62.82;Bueno;160.46;Regular
2025-07-27;05:00;28;83.25;81.67;62.82;Bueno;160.46;Regular
2025-07-27;06:00;55;78.62;81.67;62.82;Bueno;160.46;Regular
2025-07-27;07:00;79;72.08;81.67;62.82;Bueno;160.46;Regular
2025-07-27;08:00;157;68.54;81.67;62.82;Bueno;160.46;Regular
2025-07-27;09:00;97;70.00;81.67;62.82;Bueno;160.46;Regular
2025-07-27;10:00;119;73.25;81.67;62.82;Bueno;160.46;Regular
2025-07-27;11:00;32;73.29;81.67;62.82;Bueno;160.46;Regular
2025-07-27;12:00;48;74.29;81.67;62.82;Bueno;160.46;Regular
2025-07-27;13:00;30;74.46;81.67;62.82;Bueno;160.46;Regular
2025-07-27;14:00;33;74.46;81.67;62.82;Bueno;160.46;Regular
2025-07-27;15:00;41;74.08;81.67;62.82;Bueno;160.46;Regular
2025-07-27;16:00;42;72.67;81.67;62.82;Bueno;160.46;Regular
2025-07-27;17:00;66;72.17;81.67;62.82;Bueno;160.46;Regular
2025-07-27;18:00;110;73.38;81.67;62.82;Bueno;160.46;Regular
2025-07-27;19:00;118;75.12;81.67;62.82;Bueno;160.46;Regular
2025-07-27;20:00;88;76.71;81.67;62.82;Bueno;160.46;Regular
2025-07-27;21:00;110;79.17;81.67;62.82;Bueno;160.46;Regular
2025-07-27;22:00;139;82.21;81.67;62.82;Bueno;160.46;Regular
2025-07-27;23:00;76;81.67;81.67;62.82;Bueno;160.46;Regular
2025-07-28;00:00;39;74.38;132.50;105.00;Regular;245.80;Alerta
2025-07-28;01:00;110;70.96;132.50;105.00;Regular;245.80;Alerta
2025-07-28;02:00;122;73.75;132.50;105.00;Regular;245.80;Alerta
2025-07-28;03:00;107;77.46;132.50;105.00;Regular;245.80;Alerta
2025-07-28;04:00;71;79.88;132.50;105.00;Regular;245.80;Alerta
2025-07-28;05:00;50;80.79;132.50;105.00;Regular;245.80;Alerta
2025-07-28;06:00;92;82.33;132.50;105.00;Regular;245.80;Alerta
2025-07-28;07:00;150;85.29;132.50;105.00;Regular;245.80;Alerta
2025-07-28;08:00;140;84.58;132.50;105.00;Regular;245.80;Alerta
2025-07-28;09:00;179;88.00;132.50;105.00;Regular;245.80;Alerta
2025-07-28;10:00;120;88.04;132.50;105.00;Regular;245.80;Alerta
