Fecha;Hora;ConcentracionMP2_5;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-26;01:00;211;;92.26;240.87;Alerta;271.10;Alerta
2025-07-26;02:00;250;;92.26;240.87;Alerta;271.10;Alerta
2025-07-26;03:00;129;;92.26;240.87;Alerta;271.10;Alerta
2025-07-26;04:00;106;;92.26;240.87;Alerta;271.10;Alerta
2025-07-26;05:00;98;;92.26;240.87;Alerta;271.10;Alerta
2025-07-26;06:00;165;;92.26;240.87;Alerta;271.10;Alerta
2025-07-26;07:00;235;;92.26;240.87;Alerta;271.10;Alerta
2025-07-26;08:00;241;;92.26;240.87;Alerta;271.10;Alerta
2025-07-26;09:00;61;;92.26;240.87;Alerta;271.10;Alerta
2025-07-26;10:00;38;;92.26;240.87;Alerta;271.10;Alerta
2025-07-26;11:00;26;;92.26;240.87;Alerta;271.10;Alerta
2025-07-26;12:00;23;;92.26;240.87;Alerta;271.10;Alerta
2025-07-26;13:00;18;;92.26;240.87;Alerta;271.10;Alerta
2025-07-26;14:00;19;;92.26;240.87;Alerta;271.10;Alerta
2025-07-26;15:00;24;;92.26;240.87;Alerta;271.10;Alerta
2025-07-26;16:00;50;;92.26;240.87;Alerta;271.10;Alerta
2025-07-26;17:00;60;;92.26;240.87;Alerta;271.10;Alerta
2025-07-26;18:00;62;100.89;92.26;240.87;Alerta;271.10;Alerta
2025-07-26;19:00;63;98.89;92.26;240.87;Alerta;271.10;Alerta
2025-07-26;20:00;44;96.15;92.26;240.87;Alerta;271.10;Alerta
2025-07-26;21:00;48;93.86;92.26;240.87;Alerta;271.10;Alerta
2025-07-26;22:00;65;92.55;92.26;240.87;Alerta;271.10;Alerta
2025-07-26;23:00;86;92.26;92.26;240.87;Alerta;271.10;Alerta
2025-07-27;00:00;210;97.17;75.58;185.28;Regular;233.44;Alerta
2025-07-27;01:00;191;96.33;75.58;185.28;Regular;233.44;Alerta
2025-07-27;02:00;51;88.04;75.58;185.28;Regular;233.44;Alerta
2025-07-27;03:00;17;83.38;75.58;185.28;Regular;233.44;Alerta
2025-07-27;04:00;9;79.33;75.58;185.28;Regular;233.44;Alerta
2025-07-27;05:00;27;76.38;75.58;185.28;Regular;233.44;Alerta
2025-07-27;06:00;54;71.75;75.58;185.28;Regular;233.44;Alerta
2025-07-27;07:00;63;64.58;75.58;185.28;Regular;233.44;Alerta
2025-07-27;08:00;139;60.33;75.58;185.28;Regular;233.44;Alerta
2025-07-27;09:00;82;61.21;75.58;185.28;Regular;233.44;Alerta
2025-07-27;10:00;108;64.12;75.58;185.28;Regular;233.44;Alerta
2025-07-27;11:00;29;64.25;75.58;185.28;Regular;233.44;Alerta
2025-07-27;12:00;43;65.08;75.58;185.28;Regular;233.44;Alerta
2025-07-27;13:00;27;65.46;75.58;185.28;Regular;233.44;Alerta
2025-07-27;14:00;32;66.00;75.58;185.28;Regular;233.44;Alerta
2025-07-27;15:00;34;66.42;75.58;185.28;Regular;233.44;Alerta
2025-07-27;16:00;39;65.96;75.58;185.28;Regular;233.44;Alerta
2025-07-27;17:00;59;65.92;75.58;185.28;Regular;233.44;Alerta
2025-07-27;18:00;107;67.79;75.58;185.28;Regular;233.44;Alerta
2025-07-27;19:00;103;69.46;75.58;185.28;Regular;233.44;Alerta
2025-07-27;20:00;84;71.12;75.58;185.28;Regular;233.44;Alerta
2025-07-27;21:00;107;73.58;75.58;185.28;Regular;233.44;Alerta
2025-07-27;22:00;127;76.17;75.58;185.28;Regular;233.44;Alerta
2025-07-27;23:00;72;75.58;75.58;185.28;Regular;233.44;Alerta
2025-07-28;00:00;38;68.42;130.92;369.72;Preemergencia;359.98;Preemergencia
2025-07-28;01:00;107;64.92;130.92;369.72;Preemergencia;359.98;Preemergencia
2025-07-28;02:00;121;67.83;130.92;369.72;Preemergencia;359.98;Preemergencia
2025-07-28;03:00;106;71.54;130.92;369.72;Preemergencia;359.98;Preemergencia
2025-07-28;04:00;70;74.08;130.92;369.72;Preemergencia;359.98;Preemergencia
2025-07-28;05:00;49;75.00;130.92;369.72;Preemergencia;359.98;Preemergencia
2025-07-28;06:00;91;76.54;130.92;369.72;Preemergencia;359.98;Preemergencia
2025-07-28;07:00;149;80.12;130.92;369.72;Preemergencia;359.98;Preemergencia
2025-07-28;08:00;139;80.12;130.92;369.72;Preemergencia;359.98;Preemergencia
2025-07-28;09:00;178;84.12;130.92;369.72;Preemergencia;359.98;Preemergencia
2025-07-28;10:00;119;84.58;130.92;369.72;Preemergencia;359.98;Preemergencia
2025-07-28;11:00;69;86.25;130.92;369.72;Preemergencia;359.98;Preemergencia
2025-07-28;12:00;107;88.92;130.92;369.72;Preemergencia;359.98;Preemergencia
2025-07-28;13:00;80;91.12;130.92;369.72;Preemergencia;359.98;Preemergencia
2025-07-28;14:00;79;93.08;130.92;369.72;Preemergencia;359.98;Preemergencia
2025-07-28;15:00;95;95.62;130.92;369.72;Preemergencia;359.98;Preemergencia
2025-07-28;16:00;141;99.88;130.92;369.72;Preemergencia;359.98;Preemergencia
2025-07-28;17:00;110;102.00;130.92;369.72;Preemergencia;359.98;Preemergencia
2025-07-28;18:00;159;104.17;130.92;369.72;Preemergencia;359.98;Preemergencia
2025-07-28;19:00;255;110.50;130.92;369.72;Preemergencia;359.98;Preemergencia
2025-07-28;20:00;193;115.04;130.92;369.72;Preemergencia;359.98;Preemergencia
2025-07-28;21:00;228;120.08;130.92;369.72;Preemergencia;359.98;Preemergencia
2025-07-28;22:00;185;122.50;130.92;369.72;Preemergencia;359.98;Preemergencia
2025-07-28;23:00;274;130.92;130.92;369.72;Preemergencia;359.98;Preemergencia
2025-07-29;00:00;203;137.79;167.43;491.45;Preemergencia;446.01;Preemergencia
2025-07-29;01:00;205;141.88;167.43;491.45;Preemergencia;446.01;Preemergencia
2025-07-29;02:00;183;144.46;167.43;491.45;Preemergencia;446.01;Preemergencia
2025-07-29;03:00;150;146.29;167.43;491.45;Preemergencia;446.01;Preemergencia
2025-07-29;04:00;106;147.79;167.43;491.45;Preemergencia;446.01;Preemergencia
2025-07-29;05:00;124;150.92;167.43;491.45;Preemergencia;446.01;Preemergencia
2025-07-29;06:00;184;154.79;167.43;491.45;Preemergencia;446.01;Preemergencia
2025-07-29;07:00;175;155.88;167.43;491.45;Preemergencia;446.01;Preemergencia
2025-07-29;08:00;208;158.75;167.43;491.45;Preemergencia;446.01;Preemergencia
2025-07-29;09:00;128;156.67;167.43;491.45;Preemergencia;446.01;Preemergencia
2025-07-29;10:00;260;162.54;167.43;491.45;Preemergencia;446.01;Preemergencia
2025-07-29;11:00;261;170.54;167.43;491.45;Preemergencia;446.01;Preemergencia
2025-07-29;12:00;112;170.75;167.43;491.45;Preemergencia;446.01;Preemergencia
2025-07-29;13:00;134;173.00;167.43;491.45;Preemergencia;446.01;Preemergencia
2025-07-29;14:00;135;175.33;167.43;491.45;Preemergencia;446.01;Preemergencia
2025-07-29;15:00;;178.83;167.43;491.45;Preemergencia;446.01;Preemergencia
2025-07-29;16:00;190;180.96;167.43;491.45;Preemergencia;446.01;Preemergencia
