Fecha;Hora;ConcentracionMP10;PromedioMovil24h_MP10;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;ConcentracionMP2_5;PromedioMovil24h_MP2_5;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;01:00;;;;;;;;266.00;;121.39;337.97;Preemergencia;337.87;Preemergencia;Preemergencia;Preemergencia
2025-07-27;02:00;;;;;;;;190.00;;121.39;337.97;Preemergencia;337.87;Preemergencia;Preemergencia;Preemergencia
2025-07-27;03:00;;;;;;;;178.00;;121.39;337.97;Preemergencia;337.87;Preemergencia;Preemergencia;Preemergencia
2025-07-27;04:00;;;;;;;;162.00;;121.39;337.97;Preemergencia;337.87;Preemergencia;Preemergencia;Preemergencia
2025-07-27;05:00;;;;;;;;146.00;;121.39;337.97;Preemergencia;337.87;Preemergencia;Preemergencia;Preemergencia
2025-07-27;06:00;;;;;;;;131.00;;121.39;337.97;Preemergencia;337.87;Preemergencia;Preemergencia;Preemergencia
2025-07-27;07:00;;;;;;;;141.00;;121.39;337.97;Preemergencia;337.87;Preemergencia;Preemergencia;Preemergencia
2025-07-27;08:00;;;;;;;;133.00;;121.39;337.97;Preemergencia;337.87;Preemergencia;Preemergencia;Preemergencia
2025-07-27;09:00;;;;;;;;249.00;;121.39;337.97;Preemergencia;337.87;Preemergencia;Preemergencia;Preemergencia
2025-07-27;10:00;;;;;;;;160.00;;121.39;337.97;Preemergencia;337.87;Preemergencia;Preemergencia;Preemergencia
2025-07-27;11:00;;;;;;;;82.00;;121.39;337.97;Preemergencia;337.87;Preemergencia;Preemergencia;Preemergencia
2025-07-27;12:00;;;;;;;;33.00;;121.39;337.97;Preemergencia;337.87;Preemergencia;Preemergencia;Preemergencia
2025-07-27;13:00;;;;;;;;21.00;;121.39;337.97;Preemergencia;337.87;Preemergencia;Preemergencia;Preemergencia
2025-07-27;14:00;;;;;;;;20.00;;121.39;337.97;Preemergencia;337.87;Preemergencia;Preemergencia;Preemergencia
2025-07-27;15:00;;;;;;;;30.00;;121.39;337.97;Preemergencia;337.87;Preemergencia;Preemergencia;Preemergencia
2025-07-27;16:00;;;;;;;;38.00;;121.39;337.97;Preemergencia;337.87;Preemergencia;Preemergencia;Preemergencia
2025-07-27;17:00;;;;;;;;53.00;;121.39;337.97;Preemergencia;337.87;Preemergencia;Preemergencia;Preemergencia
2025-07-27;18:00;;;;;;;;72.00;116.94;121.39;337.97;Preemergencia;337.87;Preemergencia;Preemergencia;Preemergencia
2025-07-27;19:00;;;;;;;;98.00;115.95;121.39;337.97;Preemergencia;337.87;Preemergencia;Preemergencia;Preemergencia
2025-07-27;20:00;;;;;;;;67.00;113.50;121.39;337.97;Preemergencia;337.87;Preemergencia;Preemergencia;Preemergencia
2025-07-27;21:00;;;;;;;;201.00;117.67;121.39;337.97;Preemergencia;337.87;Preemergencia;Preemergencia;Preemergencia
2025-07-27;22:00;;;;;;;;226.00;122.59;121.39;337.97;Preemergencia;337.87;Preemergencia;Preemergencia;Preemergencia
2025-07-27;23:00;;;;;;;;95.00;121.39;121.39;337.97;Preemergencia;337.87;Preemergencia;Preemergencia;Preemergencia
2025-07-28;00:00;;;;;;;;61.00;118.88;81.46;204.86;Alerta;246.66;Alerta;Alerta;Alerta
2025-07-28;01:00;;;;;;;;138.00;113.54;81.46;204.86;Alerta;246.66;Alerta;Alerta;Alerta
