Fecha;Hora;ConcentracionMP10;PromedioMovil24h_MP10;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;ConcentracionMP2_5;PromedioMovil24h_MP2_5;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;01:00;63;;74.13;57.02;Bueno;147.96;Regular;62;;71.39;171.30;Regular;224.04;Alerta;Regular;Alerta
2025-07-27;02:00;13;;74.13;57.02;Bueno;147.96;Regular;12;;71.39;171.30;Regular;224.04;Alerta;Regular;Alerta
2025-07-27;03:00;11;;74.13;57.02;Bueno;147.96;Regular;10;;71.39;171.30;Regular;224.04;Alerta;Regular;Alerta
2025-07-27;04:00;7;;74.13;57.02;Bueno;147.96;Regular;6;;71.39;171.30;Regular;224.04;Alerta;Regular;Alerta
2025-07-27;05:00;6;;74.13;57.02;Bueno;147.96;Regular;5;;71.39;171.30;Regular;224.04;Alerta;Regular;Alerta
2025-07-27;06:00;19;;74.13;57.02;Bueno;147.96;Regular;18;;71.39;171.30;Regular;224.04;Alerta;Regular;Alerta
2025-07-27;07:00;46;;74.13;57.02;Bueno;147.96;Regular;42;;71.39;171.30;Regular;224.04;Alerta;Regular;Alerta
2025-07-27;08:00;96;;74.13;57.02;Bueno;147.96;Regular;95;;71.39;171.30;Regular;224.04;Alerta;Regular;Alerta
2025-07-27;09:00;47;;74.13;57.02;Bueno;147.96;Regular;46;;71.39;171.30;Regular;224.04;Alerta;Regular;Alerta
2025-07-27;10:00;138;;74.13;57.02;Bueno;147.96;Regular;137;;71.39;171.30;Regular;224.04;Alerta;Regular;Alerta
2025-07-27;11:00;67;;74.13;57.02;Bueno;147.96;Regular;62;;71.39;171.30;Regular;224.04;Alerta;Regular;Alerta
2025-07-27;12:00;76;;74.13;57.02;Bueno;147.96;Regular;71;;71.39;171.30;Regular;224.04;Alerta;Regular;Alerta
2025-07-27;13:00;48;;74.13;57.02;Bueno;147.96;Regular;45;;71.39;171.30;Regular;224.04;Alerta;Regular;Alerta
2025-07-27;14:00;46;;74.13;57.02;Bueno;147.96;Regular;45;;71.39;171.30;Regular;224.04;Alerta;Regular;Alerta
2025-07-27;15:00;52;;74.13;57.02;Bueno;147.96;Regular;45;;71.39;171.30;Regular;224.04;Alerta;Regular;Alerta
2025-07-27;16:00;53;;74.13;57.02;Bueno;147.96;Regular;52;;71.39;171.30;Regular;224.04;Alerta;Regular;Alerta
2025-07-27;17:00;109;;74.13;57.02;Bueno;147.96;Regular;107;;71.39;171.30;Regular;224.04;Alerta;Regular;Alerta
2025-07-27;18:00;121;56.56;74.13;57.02;Bueno;147.96;Regular;120;54.44;71.39;171.30;Regular;224.04;Alerta;Regular;Alerta
2025-07-27;19:00;110;59.37;74.13;57.02;Bueno;147.96;Regular;100;56.84;71.39;171.30;Regular;224.04;Alerta;Regular;Alerta
2025-07-27;20:00;119;62.35;74.13;57.02;Bueno;147.96;Regular;116;59.80;71.39;171.30;Regular;224.04;Alerta;Regular;Alerta
2025-07-27;21:00;166;67.29;74.13;57.02;Bueno;147.96;Regular;165;64.81;71.39;171.30;Regular;224.04;Alerta;Regular;Alerta
2025-07-27;22:00;142;70.68;74.13;57.02;Bueno;147.96;Regular;132;67.86;71.39;171.30;Regular;224.04;Alerta;Regular;Alerta
2025-07-27;23:00;150;74.13;74.13;57.02;Bueno;147.96;Regular;149;71.39;71.39;171.30;Regular;224.04;Alerta;Regular;Alerta
2025-07-28;00:00;120;76.04;142.42;124.83;Regular;262.66;Alerta;119;73.38;141.42;404.72;Preemergencia;384.51;Preemergencia;Preemergencia;Preemergencia
2025-07-28;01:00;88;77.08;142.42;124.83;Regular;262.66;Alerta;87;74.42;141.42;404.72;Preemergencia;384.51;Preemergencia;Preemergencia;Preemergencia
2025-07-28;02:00;85;80.08;142.42;124.83;Regular;262.66;Alerta;84;77.42;141.42;404.72;Preemergencia;384.51;Preemergencia;Preemergencia;Preemergencia
2025-07-28;03:00;76;82.79;142.42;124.83;Regular;262.66;Alerta;75;80.12;141.42;404.72;Preemergencia;384.51;Preemergencia;Preemergencia;Preemergencia
2025-07-28;04:00;104;86.83;142.42;124.83;Regular;262.66;Alerta;103;84.17;141.42;404.72;Preemergencia;384.51;Preemergencia;Preemergencia;Preemergencia
2025-07-28;05:00;105;90.96;142.42;124.83;Regular;262.66;Alerta;104;88.29;141.42;404.72;Preemergencia;384.51;Preemergencia;Preemergencia;Preemergencia
2025-07-28;06:00;146;96.25;142.42;124.83;Regular;262.66;Alerta;145;93.58;141.42;404.72;Preemergencia;384.51;Preemergencia;Preemergencia;Preemergencia
2025-07-28;07:00;106;98.75;142.42;124.83;Regular;262.66;Alerta;105;96.21;141.42;404.72;Preemergencia;384.51;Preemergencia;Preemergencia;Preemergencia
2025-07-28;08:00;102;99.00;142.42;124.83;Regular;262.66;Alerta;101;96.46;141.42;404.72;Preemergencia;384.51;Preemergencia;Preemergencia;Preemergencia
2025-07-28;09:00;140;102.88;142.42;124.83;Regular;262.66;Alerta;139;100.33;141.42;404.72;Preemergencia;384.51;Preemergencia;Preemergencia;Preemergencia
2025-07-28;10:00;153;103.50;142.42;124.83;Regular;262.66;Alerta;152;100.96;141.42;404.72;Preemergencia;384.51;Preemergencia;Preemergencia;Preemergencia
2025-07-28;11:00;108;105.21;142.42;124.83;Regular;262.66;Alerta;107;102.83;141.42;404.72;Preemergencia;384.51;Preemergencia;Preemergencia;Preemergencia
2025-07-28;12:00;100;106.21;142.42;124.83;Regular;262.66;Alerta;99;104.00;141.42;404.72;Preemergencia;384.51;Preemergencia;Preemergencia;Preemergencia
2025-07-28;13:00;149;110.42;142.42;124.83;Regular;262.66;Alerta;148;108.29;141.42;404.72;Preemergencia;384.51;Preemergencia;Preemergencia;Preemergencia
2025-07-28;14:00;108;113.00;142.42;124.83;Regular;262.66;Alerta;107;110.88;141.42;404.72;Preemergencia;384.51;Preemergencia;Preemergencia;Preemergencia
2025-07-28;15:00;146;116.92;142.42;124.83;Regular;262.66;Alerta;145;115.04;141.42;404.72;Preemergencia;384.51;Preemergencia;Preemergencia;Preemergencia
2025-07-28;16:00;115;119.50;142.42;124.83;Regular;262.66;Alerta;114;117.62;141.42;404.72;Preemergencia;384.51;Preemergencia;Preemergencia;Preemergencia
2025-07-28;17:00;174;122.21;142.42;124.83;Regular;262.66;Alerta;173;120.38;141.42;404.72;Preemergencia;384.51;Preemergencia;Preemergencia;Preemergencia
2025-07-28;18:00;177;124.54;142.42;124.83;Regular;262.66;Alerta;176;122.71;141.42;404.72;Preemergencia;384.51;Preemergencia;Preemergencia;Preemergencia
2025-07-28;19:00;176;127.29;142.42;124.83;Regular;262.66;Alerta;175;125.83;141.42;404.72;Preemergencia;384.51;Preemergencia;Preemergencia;Preemergencia
2025-07-28;20:00;219;131.46;142.42;124.83;Regular;262.66;Alerta;218;130.08;141.42;404.72;Preemergencia;384.51;Preemergencia;Preemergencia;Preemergencia
2025-07-28;21:00;211;133.33;142.42;124.83;Regular;262.66;Alerta;210;131.96;141.42;404.72;Preemergencia;384.51;Preemergencia;Preemergencia;Preemergencia
2025-07-28;22:00;268;138.58;142.42;124.83;Regular;262.66;Alerta;267;137.58;141.42;404.72;Preemergencia;384.51;Preemergencia;Preemergencia;Preemergencia
2025-07-28;23:00;242;142.42;142.42;124.83;Regular;262.66;Alerta;241;141.42;141.42;404.72;Preemergencia;384.51;Preemergencia;Preemergencia;Preemergencia
2025-07-29;00:00;163;144.21;196.42;232.83;Alerta;355.65;Preemergencia;162;143.21;194.75;582.50;Emergencia;511.71;Emergencia;Emergencia;Emergencia
2025-07-29;01:00;274;151.96;196.42;232.83;Alerta;355.65;Preemergencia;273;150.96;194.75;582.50;Emergencia;511.71;Emergencia;Emergencia;Emergencia
2025-07-29;02:00;189;156.29;196.42;232.83;Alerta;355.65;Preemergencia;188;155.29;194.75;582.50;Emergencia;511.71;Emergencia;Emergencia;Emergencia
2025-07-29;03:00;121;158.17;196.42;232.83;Alerta;355.65;Preemergencia;120;157.17;194.75;582.50;Emergencia;511.71;Emergencia;Emergencia;Emergencia
2025-07-29;04:00;152;160.17;196.42;232.83;Alerta;355.65;Preemergencia;151;159.17;194.75;582.50;Emergencia;511.71;Emergencia;Emergencia;Emergencia
2025-07-29;05:00;127;161.08;196.42;232.83;Alerta;355.65;Preemergencia;126;160.08;194.75;582.50;Emergencia;511.71;Emergencia;Emergencia;Emergencia
2025-07-29;06:00;257;165.71;196.42;232.83;Alerta;355.65;Preemergencia;256;164.71;194.75;582.50;Emergencia;511.71;Emergencia;Emergencia;Emergencia
2025-07-29;07:00;218;170.38;196.42;232.83;Alerta;355.65;Preemergencia;217;169.38;194.75;582.50;Emergencia;511.71;Emergencia;Emergencia;Emergencia
2025-07-29;08:00;158;172.71;196.42;232.83;Alerta;355.65;Preemergencia;157;171.71;194.75;582.50;Emergencia;511.71;Emergencia;Emergencia;Emergencia
2025-07-29;09:00;112;171.54;196.42;232.83;Alerta;355.65;Preemergencia;111;170.54;194.75;582.50;Emergencia;511.71;Emergencia;Emergencia;Emergencia
2025-07-29;10:00;261;176.04;196.42;232.83;Alerta;355.65;Preemergencia;260;175.04;194.75;582.50;Emergencia;511.71;Emergencia;Emergencia;Emergencia
2025-07-29;11:00;197;179.75;196.42;232.83;Alerta;355.65;Preemergencia;196;178.75;194.75;582.50;Emergencia;511.71;Emergencia;Emergencia;Emergencia
2025-07-29;12:00;111;180.21;196.42;232.83;Alerta;355.65;Preemergencia;110;179.21;194.75;582.50;Emergencia;511.71;Emergencia;Emergencia;Emergencia
2025-07-29;13:00;208;182.67;196.42;232.83;Alerta;355.65;Preemergencia;206;181.62;194.75;582.50;Emergencia;511.71;Emergencia;Emergencia;Emergencia
2025-07-29;14:00;264;189.17;196.42;232.83;Alerta;355.65;Preemergencia;263;188.12;194.75;582.50;Emergencia;511.71;Emergencia;Emergencia;Emergencia
2025-07-29;15:00;219;192.21;196.42;232.83;Alerta;355.65;Preemergencia;218;191.17;194.75;582.50;Emergencia;511.71;Emergencia;Emergencia;Emergencia
2025-07-29;16:00;257;198.12;196.42;232.83;Alerta;355.65;Preemergencia;256;197.08;194.75;582.50;Emergencia;511.71;Emergencia;Emergencia;Emergencia
