Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;74.13;57.02;Bueno;147.96;Regular;71.39;171.30;Regular;224.04;Alerta;Regular;Alerta
2025-07-28;142.42;124.83;Regular;262.66;Alerta;141.42;404.72;Preemergencia;384.51;Preemergencia;Preemergencia;Preemergencia
2025-07-29;196.42;232.83;Alerta;355.65;Preemergencia;194.75;582.50;Emergencia;511.71;Emergencia;Emergencia;Emergencia
2025-07-30;125.74;96.72;Bueno;234.35;Alerta;123.43;344.78;Preemergencia;342.60;Preemergencia;Preemergencia;Preemergencia
2025-07-31;81.08;62.37;Bueno;159.49;Regular;79.92;199.72;Regular;243.19;Alerta;Regular;Alerta
2025-08-01;93.71;72.08;Bueno;180.52;Regular;92.38;241.25;Alerta;271.36;Alerta;Alerta;Alerta
2025-08-02;54.33;41.79;Bueno;115.30;Regular;49.75;99.50;Bueno;175.90;Regular;Bueno;Regular
2025-08-03;73.54;56.57;Bueno;146.99;Regular;69.92;166.39;Regular;220.74;Alerta;Regular;Alerta
2025-08-04;144.96;129.92;Regular;266.99;Alerta;135.33;384.44;Preemergencia;370.28;Preemergencia;Preemergencia;Preemergencia
2025-08-05;59.71;45.93;Bueno;124.14;Regular;51.54;105.14;Regular;179.86;Regular;Regular;Regular
2025-08-06;33.54;25.80;Bueno;74.54;Bueno;27.67;55.33;Bueno;127.47;Regular;Bueno;Regular
2025-08-07;69.25;53.27;Bueno;139.89;Regular;62.62;142.08;Regular;204.46;Alerta;Regular;Alerta
2025-08-08;240.54;321.08;Preemergencia;433.18;Preemergencia;225.50;685.00;Emergencia;587.07;Emergencia;Emergencia;Emergencia
2025-08-09;162.75;165.50;Regular;297.43;Alerta;152.50;441.67;Preemergencia;410.58;Preemergencia;Preemergencia;Preemergencia
2025-08-10;92.62;71.25;Bueno;178.71;Regular;91.38;237.92;Alerta;269.09;Alerta;Alerta;Alerta
2025-08-11;70.67;54.36;Bueno;142.23;Regular;69.12;163.75;Regular;218.97;Alerta;Regular;Alerta
2025-08-12;100.42;77.24;Bueno;191.73;Regular;97.33;257.78;Alerta;282.64;Alerta;Alerta;Alerta
2025-08-13;183.04;206.08;Alerta;332.43;Preemergencia;172.21;507.36;Emergencia;457.41;Preemergencia;Emergencia;Preemergencia
2025-08-14;140.83;121.67;Regular;259.96;Alerta;130.08;366.94;Preemergencia;358.04;Preemergencia;Preemergencia;Preemergencia
2025-08-15;103.46;79.58;Bueno;196.83;Regular;93.46;244.86;Alerta;273.82;Alerta;Alerta;Alerta
2025-08-16;99.79;76.76;Bueno;190.69;Regular;90.25;234.17;Alerta;266.54;Alerta;Alerta;Alerta
2025-08-17;113.62;87.40;Bueno;213.91;Alerta;107.92;293.06;Alerta;306.83;Preemergencia;Alerta;Preemergencia
2025-08-18;77.46;59.58;Bueno;153.48;Regular;67.42;158.06;Regular;215.15;Alerta;Regular;Alerta
2025-08-19;39.21;30.16;Bueno;87.13;Bueno;31.88;63.75;Bueno;136.64;Regular;Bueno;Regular
