Fecha;Hora;ConcentracionMP10;PromedioMovil24h_MP10;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;ConcentracionMP2_5;PromedioMovil24h_MP2_5;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-26;01:00;212;;99.48;76.52;Bueno;190.16;Regular;211;;92.26;240.87;Alerta;271.10;Alerta;Alerta;Alerta
2025-07-26;02:00;251;;99.48;76.52;Bueno;190.16;Regular;250;;92.26;240.87;Alerta;271.10;Alerta;Alerta;Alerta
2025-07-26;03:00;130;;99.48;76.52;Bueno;190.16;Regular;129;;92.26;240.87;Alerta;271.10;Alerta;Alerta;Alerta
2025-07-26;04:00;118;;99.48;76.52;Bueno;190.16;Regular;106;;92.26;240.87;Alerta;271.10;Alerta;Alerta;Alerta
2025-07-26;05:00;99;;99.48;76.52;Bueno;190.16;Regular;98;;92.26;240.87;Alerta;271.10;Alerta;Alerta;Alerta
2025-07-26;06:00;166;;99.48;76.52;Bueno;190.16;Regular;165;;92.26;240.87;Alerta;271.10;Alerta;Alerta;Alerta
2025-07-26;07:00;236;;99.48;76.52;Bueno;190.16;Regular;235;;92.26;240.87;Alerta;271.10;Alerta;Alerta;Alerta
2025-07-26;08:00;242;;99.48;76.52;Bueno;190.16;Regular;241;;92.26;240.87;Alerta;271.10;Alerta;Alerta;Alerta
2025-07-26;09:00;62;;99.48;76.52;Bueno;190.16;Regular;61;;92.26;240.87;Alerta;271.10;Alerta;Alerta;Alerta
2025-07-26;10:00;41;;99.48;76.52;Bueno;190.16;Regular;38;;92.26;240.87;Alerta;271.10;Alerta;Alerta;Alerta
2025-07-26;11:00;31;;99.48;76.52;Bueno;190.16;Regular;26;;92.26;240.87;Alerta;271.10;Alerta;Alerta;Alerta
2025-07-26;12:00;24;;99.48;76.52;Bueno;190.16;Regular;23;;92.26;240.87;Alerta;271.10;Alerta;Alerta;Alerta
2025-07-26;13:00;26;;99.48;76.52;Bueno;190.16;Regular;18;;92.26;240.87;Alerta;271.10;Alerta;Alerta;Alerta
2025-07-26;14:00;33;;99.48;76.52;Bueno;190.16;Regular;19;;92.26;240.87;Alerta;271.10;Alerta;Alerta;Alerta
2025-07-26;15:00;50;;99.48;76.52;Bueno;190.16;Regular;24;;92.26;240.87;Alerta;271.10;Alerta;Alerta;Alerta
