Fecha;Hora;ConcentracionMP10;PromedioMovil24h_MP10;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;ConcentracionMP2_5;PromedioMovil24h_MP2_5;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;01:00;;;;;;;;15;;13.39;26.78;Bueno;89.28;Bueno;Bueno;Bueno
2025-07-27;02:00;;;;;;;;9;;13.39;26.78;Bueno;89.28;Bueno;Bueno;Bueno
2025-07-27;03:00;;;;;;;;7;;13.39;26.78;Bueno;89.28;Bueno;Bueno;Bueno
2025-07-27;04:00;;;;;;;;6;;13.39;26.78;Bueno;89.28;Bueno;Bueno;Bueno
2025-07-27;05:00;;;;;;;;8;;13.39;26.78;Bueno;89.28;Bueno;Bueno;Bueno
2025-07-27;06:00;;;;;;;;8;;13.39;26.78;Bueno;89.28;Bueno;Bueno;Bueno
2025-07-27;07:00;;;;;;;;9;;13.39;26.78;Bueno;89.28;Bueno;Bueno;Bueno
2025-07-27;08:00;;;;;;;;13;;13.39;26.78;Bueno;89.28;Bueno;Bueno;Bueno
2025-07-27;09:00;;;;;;;;14;;13.39;26.78;Bueno;89.28;Bueno;Bueno;Bueno
2025-07-27;10:00;;;;;;;;21;;13.39;26.78;Bueno;89.28;Bueno;Bueno;Bueno
2025-07-27;11:00;;;;;;;;17;;13.39;26.78;Bueno;89.28;Bueno;Bueno;Bueno
2025-07-27;12:00;;;;;;;;6;;13.39;26.78;Bueno;89.28;Bueno;Bueno;Bueno
2025-07-27;13:00;;;;;;;;7;;13.39;26.78;Bueno;89.28;Bueno;Bueno;Bueno
2025-07-27;14:00;;;;;;;;5;;13.39;26.78;Bueno;89.28;Bueno;Bueno;Bueno
2025-07-27;15:00;;;;;;;;8;;13.39;26.78;Bueno;89.28;Bueno;Bueno;Bueno
2025-07-27;16:00;;;;;;;;18;;13.39;26.78;Bueno;89.28;Bueno;Bueno;Bueno
2025-07-27;17:00;;;;;;;;10;;13.39;26.78;Bueno;89.28;Bueno;Bueno;Bueno
2025-07-27;18:00;;;;;;;;15;10.89;13.39;26.78;Bueno;89.28;Bueno;Bueno;Bueno
2025-07-27;19:00;;;;;;;;44;12.63;13.39;26.78;Bueno;89.28;Bueno;Bueno;Bueno
2025-07-27;20:00;;;;;;;;41;14.05;13.39;26.78;Bueno;89.28;Bueno;Bueno;Bueno
2025-07-27;21:00;;;;;;;;11;13.90;13.39;26.78;Bueno;89.28;Bueno;Bueno;Bueno
2025-07-27;22:00;;;;;;;;10;13.73;13.39;26.78;Bueno;89.28;Bueno;Bueno;Bueno
2025-07-27;23:00;;;;;;;;6;13.39;13.39;26.78;Bueno;89.28;Bueno;Bueno;Bueno
2025-07-28;00:00;;;;;;;;8;13.17;15.75;31.50;Bueno;101.62;Regular;Bueno;Regular
2025-07-28;01:00;;;;;;;;6;12.79;15.75;31.50;Bueno;101.62;Regular;Bueno;Regular
2025-07-28;02:00;;;;;;;;3;12.54;15.75;31.50;Bueno;101.62;Regular;Bueno;Regular
2025-07-28;03:00;;;;;;;;2;12.33;15.75;31.50;Bueno;101.62;Regular;Bueno;Regular
2025-07-28;04:00;;;;;;;;1;12.12;15.75;31.50;Bueno;101.62;Regular;Bueno;Regular
2025-07-28;05:00;;;;;;;;3;11.92;15.75;31.50;Bueno;101.62;Regular;Bueno;Regular
2025-07-28;06:00;;;;;;;;10;12.00;15.75;31.50;Bueno;101.62;Regular;Bueno;Regular
2025-07-28;07:00;;;;;;;;17;12.33;15.75;31.50;Bueno;101.62;Regular;Bueno;Regular
2025-07-28;08:00;;;;;;;;14;12.38;15.75;31.50;Bueno;101.62;Regular;Bueno;Regular
2025-07-28;09:00;;;;;;;;25;12.83;15.75;31.50;Bueno;101.62;Regular;Bueno;Regular
2025-07-28;10:00;;;;;;;;19;12.75;15.75;31.50;Bueno;101.62;Regular;Bueno;Regular
2025-07-28;11:00;;;;;;;;21;12.92;15.75;31.50;Bueno;101.62;Regular;Bueno;Regular
2025-07-28;12:00;;;;;;;;23;13.62;15.75;31.50;Bueno;101.62;Regular;Bueno;Regular
2025-07-28;13:00;;;;;;;;16;14.00;15.75;31.50;Bueno;101.62;Regular;Bueno;Regular
2025-07-28;14:00;;;;;;;;21;14.67;15.75;31.50;Bueno;101.62;Regular;Bueno;Regular
2025-07-28;15:00;;;;;;;;22;15.25;15.75;31.50;Bueno;101.62;Regular;Bueno;Regular
2025-07-28;16:00;;;;;;;;38;16.08;15.75;31.50;Bueno;101.62;Regular;Bueno;Regular
2025-07-28;17:00;;;;;;;;26;16.75;15.75;31.50;Bueno;101.62;Regular;Bueno;Regular
2025-07-28;18:00;;;;;;;;20;16.96;15.75;31.50;Bueno;101.62;Regular;Bueno;Regular
