FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250728;0100;7;;;
250728;0200;7;;;
250728;0300;2;;;
250728;0400;2;;;
250728;0500;3;;;
250728;0600;4;;;
250728;0700;3;;;
250728;0800;3;;;
250728;0900;7;;;
250728;1000;;;;
250728;1100;;;;
250728;1200;;;;
250728;1300;17;;;
250728;1400;14;;;
250728;1500;16;;;
250728;1600;5;;;
250728;1700;6;;;
250728;1800;8;;;
250728;1900;6;;;
250728;2000;7;;;
250728;2100;6;;;
250728;2200;6;;;
250728;2300;4;;;
250729;0000;9;;;
250729;0100;11;;;
250729;0200;7;;;
250729;0300;20;;;
250729;0400;18;;;
250729;0500;21;;;
250729;0600;9;;;
250729;0700;19;;;
250729;0800;59;;;
250729;0900;9;;;
250729;1000;6;;;
250729;1100;3;;;
250729;1200;6;;;
250729;1300;7;;;
250729;1400;13;;;
250729;1500;33;;;
250729;1600;85;;;
250729;1700;49;;;
250729;1800;72;;;
250729;1900;27;;;
250729;2000;17;;;
250729;2100;20;;;
250729;2200;17;;;
250729;2300;12;;;
250730;0000;14;;;
250730;0100;11;;;
250730;0200;10;;;
250730;0300;6;;;
250730;0400;7;;;
250730;0500;6;;;
250730;0600;5;;;
250730;0700;7;;;
250730;0800;5;;;
250730;0900;6;;;
250730;1000;5;;;
250730;1100;14;;;
250730;1200;10;;;
250730;1300;7;;;
250730;1400;14;;;
250730;1500;17;;;
250730;1600;26;;;
250730;1700;12;;;
250730;1800;17;;;
250730;1900;7;;;
250730;2000;5;;;
250730;2100;7;;;
250730;2200;6;;;
250730;2300;8;;;
250731;0000;6;;;
250731;0100;6;;;
250731;0200;4;;;
250731;0300;7;;;
250731;0400;8;;;
250731;0500;6;;;
250731;0600;4;;;
250731;0700;6;;;
250731;0800;13;;;
250731;0900;9;;;
250731;1000;14;;;
250731;1100;24;;;
250731;1200;24;;;
250731;1300;20;;;
250731;1400;24;;;
250731;1500;22;;;
250731;1600;20;;;
250731;1700;22;;;
250731;1800;24;;;
250731;1900;23;;;
250731;2000;10;;;
250731;2100;16;;;
250731;2200;16;;;
250731;2300;8;;;
250801;0000;8;;;
250801;0100;9;;;
250801;0200;9;;;
250801;0300;13;;;
250801;0400;14;;;
250801;0500;21;;;
250801;0600;15;;;
250801;0700;20;;;
250801;0800;17;;;
250801;0900;14;;;
250801;1000;23;;;
250801;1100;27;;;
250801;1200;13;;;
250801;1300;15;;;
250801;1400;17;;;
250801;1500;18;;;
250801;1600;27;;;
250801;1700;33;;;
250801;1800;38;;;
250801;1900;43;;;
250801;2000;37;;;
250801;2100;40;;;
250801;2200;45;;;
250801;2300;25;;;
250802;0000;19;;;
250802;0100;22;;;
250802;0200;12;;;
250802;0300;14;;;
250802;0400;13;;;
250802;0500;12;;;
250802;0600;10;;;
250802;0700;9;;;
250802;0800;12;;;
250802;0900;32;;;
250802;1000;34;;;
250802;1100;25;;;
250802;1200;19;;;
250802;1300;15;;;
250802;1400;18;;;
250802;1500;26;;;
250802;1600;19;;;
250802;1700;26;;;
250802;1800;52;;;
250802;1900;87;;;
250802;2000;37;;;
250802;2100;31;;;
250802;2200;13;;;
250802;2300;9;;;
250803;0000;27;;;
250803;0100;11;;;
250803;0200;6;;;
250803;0300;3;;;
250803;0400;4;;;
250803;0500;5;;;
250803;0600;5;;;
250803;0700;5;;;
250803;0800;7;;;
250803;0900;5;;;
250803;1000;3;;;
250803;1100;2;;;
250803;1200;3;;;
250803;1300;8;;;
250803;1400;8;;;
250803;1500;15;;;
250803;1600;27;;;
250803;1700;57;;;
250803;1800;26;;;
250803;1900;8;;;
250803;2000;11;;;
250803;2100;15;;;
250803;2200;36;;;
250803;2300;35;;;
250804;0000;89;;;
250804;0100;52;;;
250804;0200;55;;;
250804;0300;66;;;
250804;0400;39;;;
250804;0500;15;;;
250804;0600;76;;;
250804;0700;14;;;
250804;0800;17;;;
250804;0900;45;;;
250804;1000;41;;;
250804;1100;102;;;
250804;1200;34;;;
250804;1300;48;;;
250804;1400;30;;;
250804;1500;92;;;
250804;1600;71;;;
250804;1700;178;;;
250804;1800;161;;;
250804;1900;143;;;
250804;2000;35;;;
250804;2100;37;;;
250804;2200;33;;;
250804;2300;126;;;
250805;0000;36;;;
250805;0100;25;;;
250805;0200;24;;;
250805;0300;21;;;
250805;0400;10;;;
250805;0500;53;;;
250805;0600;48;;;
250805;0700;20;;;
250805;0800;140;;;
250805;0900;84;;;
250805;1000;68;;;
250805;1100;26;;;
250805;1200;21;;;
250805;1300;17;;;
250805;1400;53;;;
250805;1500;79;;;
250805;1600;39;;;
250805;1700;31;;;
250805;1800;64;;;
250805;1900;101;;;
250805;2000;33;;;
250805;2100;28;;;
250805;2200;26;;;
250805;2300;31;;;
250806;0000;33;;;
250806;0100;17;;;
250806;0200;18;;;
250806;0300;16;;;
250806;0400;14;;;
250806;0500;21;;;
250806;0600;16;;;
250806;0700;24;;;
250806;0800;30;;;
250806;0900;19;;;
250806;1000;29;;;
250806;1100;42;;;
250806;1200;54;;;
250806;1300;82;;;
250806;1400;49;;;
250806;1500;33;;;
250806;1600;49;;;
250806;1700;36;;;
250806;1800;30;;;
250806;1900;27;;;
250806;2000;24;;;
250806;2100;30;;;
250806;2200;21;;;
250806;2300;21;;;
250807;0000;22;;;
250807;0100;14;;;
250807;0200;13;;;
250807;0300;15;;;
250807;0400;19;;;
250807;0500;11;;;
250807;0600;10;;;
250807;0700;26;;;
250807;0800;36;;;
250807;0900;32;;;
250807;1000;42;;;
250807;1100;67;;;
250807;1200;31;;;
250807;1300;46;;;
250807;1400;30;;;
250807;1500;24;;;
250807;1600;29;;;
250807;1700;47;;;
250807;1800;75;;;
250807;1900;72;;;
250807;2000;46;;;
250807;2100;101;;;
250807;2200;62;;;
250807;2300;119;;;
250808;0000;46;;;
250808;0100;42;;;
250808;0200;70;;;
250808;0300;49;;;
250808;0400;24;;;
250808;0500;41;;;
250808;0600;53;;;
250808;0700;31;;;
250808;0800;24;;;
250808;0900;43;;;
