FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250728;0100;11;;;
250728;0200;9;;;
250728;0300;8;;;
250728;0400;5;;;
250728;0500;3;;;
250728;0600;8;;;
250728;0700;6;;;
250728;0800;4;;;
250728;0900;4;;;
250728;1000;5;;;
250728;1100;9;;;
250728;1200;11;;;
250728;1300;10;;;
250728;1400;11;;;
250728;1500;12;;;
250728;1600;27;;;
250728;1700;18;;;
250728;1800;23;;;
250728;1900;;;;
250728;2000;30;;;
250728;2100;25;;;
250728;2200;27;;;
250728;2300;18;;;
250729;0000;50;;;
250729;0100;75;;;
250729;0200;40;;;
250729;0300;33;;;
250729;0400;33;;;
250729;0500;27;;;
250729;0600;17;;;
250729;0700;18;;;
250729;0800;16;;;
250729;0900;14;;;
250729;1000;22;;;
250729;1100;32;;;
250729;1200;37;;;
250729;1300;30;;;
250729;1400;33;;;
250729;1500;83;;;
250729;1600;45;;;
250729;1700;27;;;
250729;1800;35;;;
250729;1900;32;;;
250729;2000;20;;;
250729;2100;20;;;
250729;2200;11;;;
250729;2300;11;;;
250730;0000;7;;;
250730;0100;4;;;
250730;0200;8;;;
250730;0300;6;;;
250730;0400;6;;;
250730;0500;5;;;
250730;0600;3;;;
250730;0700;2;;;
250730;0800;2;;;
250730;0900;2;;;
250730;1000;5;;;
250730;1100;9;;;
250730;1200;7;;;
250730;1300;7;;;
250730;1400;14;;;
250730;1500;14;;;
250730;1600;11;;;
250730;1700;15;;;
250730;1800;6;;;
250730;1900;7;;;
250730;2000;7;;;
250730;2100;5;;;
250730;2200;5;;;
250730;2300;17;;;
250731;0000;7;;;
250731;0100;11;;;
250731;0200;7;;;
250731;0300;17;;;
250731;0400;10;;;
250731;0500;6;;;
250731;0600;12;;;
250731;0700;12;;;
250731;0800;28;;;
250731;0900;24;;;
250731;1000;18;;;
250731;1100;20;;;
250731;1200;30;;;
250731;1300;24;;;
250731;1400;24;;;
250731;1500;26;;;
250731;1600;28;;;
250731;1700;23;;;
250731;1800;23;;;
250731;1900;;;;
250731;2000;29;;;
250731;2100;15;;;
250731;2200;6;;;
250731;2300;8;;;
250801;0000;8;;;
250801;0100;14;;;
250801;0200;9;;;
250801;0300;14;;;
