FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250728;0100;8;;;
250728;0200;5;;;
250728;0300;2;;;
250728;0400;2;;;
250728;0500;4;;;
250728;0600;5;;;
250728;0700;7;;;
250728;0800;12;;;
250728;0900;20;;;
250728;1000;8;;;
250728;1100;16;;;
250728;1200;10;;;
250728;1300;21;;;
250728;1400;19;;;
250728;1500;21;;;
250728;1600;26;;;
250728;1700;29;;;
250728;1800;34;;;
250728;1900;53;;;
250728;2000;123;;;
250728;2100;111;;;
250728;2200;47;;;
250728;2300;43;;;
250729;0000;28;;;
250729;0100;20;;;
250729;0200;16;;;
250729;0300;8;;;
250729;0400;7;;;
250729;0500;8;;;
250729;0600;13;;;
250729;0700;12;;;
250729;0800;28;;;
250729;0900;27;;;
250729;1000;16;;;
250729;1100;26;;;
250729;1200;21;;;
250729;1300;13;;;
250729;1400;13;;;
250729;1500;9;;;
250729;1600;18;;;
250729;1700;44;;;
250729;1800;62;;;
250729;1900;77;;;
250729;2000;90;;;
250729;2100;89;;;
250729;2200;62;;;
250729;2300;80;;;
250730;0000;58;;;
250730;0100;7;;;
250730;0200;5;;;
250730;0300;6;;;
250730;0400;3;;;
250730;0500;2;;;
250730;0600;3;;;
250730;0700;4;;;
250730;0800;4;;;
250730;0900;9;;;
250730;1000;12;;;
250730;1100;12;;;
250730;1200;19;;;
250730;1300;19;;;
250730;1400;12;;;
250730;1500;23;;;
250730;1600;31;;;
250730;1700;16;;;
250730;1800;11;;;
250730;1900;10;;;
250730;2000;15;;;
250730;2100;17;;;
250730;2200;10;;;
250730;2300;6;;;
250731;0000;2;;;
250731;0100;3;;;
250731;0200;2;;;
250731;0300;2;;;
250731;0400;2;;;
250731;0500;3;;;
250731;0600;4;;;
250731;0700;3;;;
250731;0800;5;;;
250731;0900;10;;;
250731;1000;9;;;
250731;1100;13;;;
250731;1200;23;;;
250731;1300;19;;;
250731;1400;18;;;
250731;1500;20;;;
250731;1600;25;;;
250731;1700;22;;;
250731;1800;17;;;
250731;1900;23;;;
250731;2000;18;;;
250731;2100;10;;;
250731;2200;10;;;
250731;2300;19;;;
250801;0000;7;;;
250801;0100;8;;;
250801;0200;7;;;
250801;0300;6;;;
250801;0400;2;;;
250801;0500;3;;;
250801;0600;5;;;
250801;0700;5;;;
250801;0800;11;;;
250801;0900;12;;;
250801;1000;8;;;
250801;1100;22;;;
250801;1200;23;;;
250801;1300;13;;;
250801;1400;10;;;
250801;1500;19;;;
250801;1600;18;;;
250801;1700;19;;;
250801;1800;21;;;
250801;1900;13;;;
250801;2000;20;;;
250801;2100;24;;;
250801;2200;28;;;
250801;2300;29;;;
250802;0000;33;;;
250802;0100;7;;;
250802;0200;13;;;
250802;0300;9;;;
250802;0400;22;;;
250802;0500;11;;;
250802;0600;7;;;
250802;0700;12;;;
250802;0800;25;;;
250802;0900;15;;;
250802;1000;11;;;
250802;1100;8;;;
250802;1200;12;;;
250802;1300;17;;;
250802;1400;10;;;
250802;1500;14;;;
250802;1600;14;;;
250802;1700;25;;;
250802;1800;76;;;
250802;1900;91;;;
250802;2000;77;;;
250802;2100;62;;;
250802;2200;43;;;
250802;2300;52;;;
250803;0000;50;;;
250803;0100;34;;;
250803;0200;32;;;
250803;0300;17;;;
250803;0400;20;;;
250803;0500;7;;;
250803;0600;4;;;
250803;0700;4;;;
250803;0800;13;;;
250803;0900;12;;;
250803;1000;13;;;
250803;1100;8;;;
250803;1200;5;;;
250803;1300;31;;;
250803;1400;26;;;
250803;1500;13;;;
250803;1600;9;;;
250803;1700;32;;;
250803;1800;34;;;
250803;1900;78;;;
250803;2000;123;;;
250803;2100;74;;;
250803;2200;69;;;
250803;2300;42;;;
250804;0000;58;;;
250804;0100;58;;;
250804;0200;48;;;
250804;0300;39;;;
250804;0400;19;;;
250804;0500;13;;;
250804;0600;20;;;
250804;0700;39;;;
250804;0800;50;;;
250804;0900;45;;;
250804;1000;34;;;
250804;1100;9;;;
250804;1200;10;;;
250804;1300;9;;;
250804;1400;8;;;
250804;1500;10;;;
250804;1600;10;;;
250804;1700;23;;;
250804;1800;62;;;
250804;1900;94;;;
250804;2000;80;;;
250804;2100;72;;;
250804;2200;87;;;
250804;2300;50;;;
250805;0000;102;;;
250805;0100;56;;;
250805;0200;32;;;
250805;0300;20;;;
250805;0400;21;;;
250805;0500;19;;;
250805;0600;30;;;
250805;0700;44;;;
250805;0800;70;;;
250805;0900;44;;;
250805;1000;40;;;
250805;1100;31;;;
250805;1200;17;;;
250805;1300;7;;;
250805;1400;15;;;
250805;1500;16;;;
250805;1600;13;;;
250805;1700;22;;;
250805;1800;50;;;
250805;1900;41;;;
250805;2000;57;;;
250805;2100;65;;;
250805;2200;56;;;
250805;2300;46;;;
250806;0000;39;;;
250806;0100;35;;;
250806;0200;24;;;
250806;0300;21;;;
250806;0400;31;;;
250806;0500;20;;;
250806;0600;13;;;
250806;0700;22;;;
250806;0800;18;;;
250806;0900;19;;;
250806;1000;12;;;
250806;1100;9;;;
250806;1200;7;;;
250806;1300;11;;;
250806;1400;10;;;
250806;1500;9;;;
250806;1600;9;;;
250806;1700;14;;;
250806;1800;14;;;
250806;1900;67;;;
250806;2000;69;;;
250806;2100;58;;;
250806;2200;63;;;
250806;2300;56;;;
250807;0000;50;;;
250807;0100;21;;;
250807;0200;9;;;
250807;0300;6;;;
250807;0400;4;;;
250807;0500;4;;;
250807;0600;5;;;
250807;0700;11;;;
250807;0800;17;;;
250807;0900;41;;;
250807;1000;56;;;
250807;1100;15;;;
250807;1200;11;;;
250807;1300;10;;;
250807;1400;7;;;
250807;1500;10;;;
250807;1600;6;;;
250807;1700;4;;;
250807;1800;69;;;
250807;1900;80;;;
250807;2000;70;;;
250807;2100;76;;;
250807;2200;78;;;
250807;2300;72;;;
250808;0000;46;;;
250808;0100;39;;;
250808;0200;31;;;
250808;0300;31;;;
250808;0400;16;;;
250808;0500;17;;;
250808;0600;8;;;
250808;0700;25;;;
250808;0800;47;;;
250808;0900;47;;;
250808;1000;28;;;
250808;1100;13;;;
250808;1200;24;;;
250808;1300;19;;;
250808;1400;10;;;
250808;1500;8;;;
250808;1600;17;;;
250808;1700;34;;;
250808;1800;49;;;
250808;1900;68;;;
250808;2000;76;;;
250808;2100;133;;;
250808;2200;149;;;
250808;2300;147;;;
250809;0000;87;;;
250809;0100;54;;;
250809;0200;37;;;
250809;0300;35;;;
250809;0400;41;;;
250809;0500;41;;;
250809;0600;39;;;
250809;0700;33;;;
250809;0800;58;;;
250809;0900;79;;;
250809;1000;38;;;
250809;1100;53;;;
250809;1200;27;;;
250809;1300;37;;;
250809;1400;30;;;
250809;1500;20;;;
250809;1600;20;;;
250809;1700;23;;;
250809;1800;46;;;
250809;1900;49;;;
250809;2000;70;;;
250809;2100;127;;;
250809;2200;85;;;
250809;2300;58;;;
250810;0000;97;;;
250810;0100;76;;;
250810;0200;82;;;
250810;0300;86;;;
250810;0400;52;;;
250810;0500;30;;;
250810;0600;23;;;
250810;0700;33;;;
250810;0800;29;;;
250810;0900;43;;;
250810;1000;29;;;
250810;1100;21;;;
250810;1200;18;;;
250810;1300;20;;;
250810;1400;19;;;
250810;1500;22;;;
250810;1600;19;;;
250810;1700;23;;;
250810;1800;33;;;
250810;1900;36;;;
250810;2000;69;;;
250810;2100;70;;;
250810;2200;87;;;
250810;2300;80;;;
250811;0000;69;;;
250811;0100;63;;;
250811;0200;30;;;
250811;0300;34;;;
250811;0400;28;;;
250811;0500;33;;;
250811;0600;39;;;
250811;0700;40;;;
250811;0800;22;;;
250811;0900;16;;;
250811;1000;17;;;
250811;1100;11;;;
250811;1200;14;;;
250811;1300;12;;;
250811;1400;7;;;
250811;1500;5;;;
250811;1600;13;;;
250811;1700;18;;;
250811;1800;25;;;
250811;1900;27;;;
250811;2000;21;;;
250811;2100;15;;;
250811;2200;18;;;
250811;2300;8;;;
250812;0000;3;;;
250812;0100;5;;;
250812;0200;3;;;
250812;0300;2;;;
250812;0400;3;;;
250812;0500;2;;;
250812;0600;5;;;
250812;0700;11;;;
250812;0800;14;;;
250812;0900;12;;;
250812;1000;11;;;
250812;1100;7;;;
250812;1200;6;;;
250812;1300;5;;;
250812;1400;9;;;
250812;1500;8;;;
250812;1600;7;;;
250812;1700;15;;;
250812;1800;19;;;
250812;1900;45;;;
250812;2000;83;;;
250812;2100;90;;;
250812;2200;84;;;
250812;2300;78;;;
250813;0000;57;;;
250813;0100;41;;;
250813;0200;28;;;
250813;0300;22;;;
250813;0400;22;;;
250813;0500;23;;;
250813;0600;12;;;
250813;0700;13;;;
250813;0800;19;;;
250813;0900;27;;;
250813;1000;43;;;
250813;1100;17;;;
250813;1200;7;;;
250813;1300;11;;;
250813;1400;10;;;
250813;1500;8;;;
250813;1600;8;;;
250813;1700;13;;;
250813;1800;34;;;
250813;1900;68;;;
250813;2000;95;;;
250813;2100;91;;;
250813;2200;105;;;
250813;2300;83;;;
250814;0000;68;;;
250814;0100;45;;;
250814;0200;42;;;
250814;0300;61;;;
250814;0400;40;;;
250814;0500;25;;;
250814;0600;22;;;
250814;0700;49;;;
250814;0800;72;;;
250814;0900;35;;;
250814;1000;34;;;
250814;1100;32;;;
250814;1200;25;;;
250814;1300;9;;;
250814;1400;9;;;
250814;1500;13;;;
250814;1600;32;;;
250814;1700;31;;;
250814;1800;40;;;
250814;1900;31;;;
250814;2000;23;;;
250814;2100;33;;;
250814;2200;24;;;
250814;2300;38;;;
250815;0000;64;;;
250815;0100;29;;;
250815;0200;26;;;
250815;0300;30;;;
250815;0400;26;;;
250815;0500;24;;;
250815;0600;14;;;
250815;0700;13;;;
250815;0800;17;;;
250815;0900;15;;;
250815;1000;14;;;
250815;1100;13;;;
250815;1200;19;;;
250815;1300;17;;;
250815;1400;14;;;
250815;1500;14;;;
250815;1600;26;;;
250815;1700;34;;;
250815;1800;85;;;
250815;1900;123;;;
250815;2000;98;;;
250815;2100;71;;;
250815;2200;57;;;
250815;2300;43;;;
250816;0000;42;;;
250816;0100;47;;;
250816;0200;25;;;
250816;0300;17;;;
250816;0400;18;;;
250816;0500;23;;;
250816;0600;13;;;
250816;0700;21;;;
250816;0800;25;;;
250816;0900;79;;;
250816;1000;15;;;
250816;1100;10;;;
250816;1200;5;;;
250816;1300;7;;;
250816;1400;12;;;
250816;1500;16;;;
250816;1600;6;;;
250816;1700;24;;;
250816;1800;48;;;
250816;1900;56;;;
250816;2000;53;;;
250816;2100;63;;;
250816;2200;79;;;
250816;2300;62;;;
250817;0000;48;;;
250817;0100;27;;;
250817;0200;41;;;
250817;0300;33;;;
250817;0400;25;;;
250817;0500;24;;;
250817;0600;28;;;
250817;0700;18;;;
250817;0800;19;;;
250817;0900;16;;;
250817;1000;17;;;
250817;1100;17;;;
250817;1200;13;;;
250817;1300;9;;;
