FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250728;0100;9;;;
250728;0200;7;;;
250728;0300;6;;;
250728;0400;4;;;
250728;0500;6;;;
250728;0600;5;;;
250728;0700;2;;;
250728;0800;2;;;
250728;0900;3;;;
250728;1000;8;;;
250728;1100;7;;;
250728;1200;7;;;
250728;1300;10;;;
250728;1400;10;;;
250728;1500;9;;;
250728;1600;14;;;
250728;1700;15;;;
250728;1800;23;;;
250728;1900;30;;;
250728;2000;32;;;
250728;2100;30;;;
250728;2200;35;;;
250728;2300;34;;;
250729;0000;41;;;
250729;0100;42;;;
250729;0200;49;;;
250729;0300;49;;;
250729;0400;43;;;
250729;0500;41;;;
250729;0600;35;;;
250729;0700;33;;;
250729;0800;25;;;
250729;0900;21;;;
250729;1000;21;;;
250729;1100;24;;;
250729;1200;28;;;
250729;1300;32;;;
250729;1400;28;;;
250729;1500;26;;;
250729;1600;31;;;
250729;1700;44;;;
250729;1800;63;;;
250729;1900;64;;;
250729;2000;62;;;
250729;2100;61;;;
250729;2200;48;;;
250729;2300;38;;;
250730;0000;38;;;
250730;0100;34;;;
250730;0200;27;;;
250730;0300;25;;;
250730;0400;19;;;
250730;0500;15;;;
250730;0600;15;;;
250730;0700;12;;;
250730;0800;8;;;
250730;0900;9;;;
250730;1000;11;;;
250730;1100;9;;;
250730;1200;10;;;
250730;1300;13;;;
250730;1400;11;;;
250730;1500;8;;;
250730;1600;11;;;
250730;1700;11;;;
250730;1800;9;;;
250730;1900;12;;;
250730;2000;11;;;
250730;2100;11;;;
250730;2200;12;;;
250730;2300;7;;;
250731;0000;4;;;
250731;0100;3;;;
250731;0200;4;;;
250731;0300;5;;;
250731;0400;3;;;
250731;0500;2;;;
250731;0600;2;;;
250731;0700;2;;;
250731;0800;2;;;
250731;0900;5;;;
250731;1000;3;;;
250731;1100;5;;;
250731;1200;3;;;
250731;1300;4;;;
250731;1400;6;;;
250731;1500;6;;;
250731;1600;5;;;
250731;1700;3;;;
250731;1800;6;;;
250731;1900;6;;;
250731;2000;4;;;
250731;2100;2;;;
250731;2200;2;;;
250731;2300;2;;;
250801;0000;2;;;
250801;0100;4;;;
250801;0200;2;;;
250801;0300;2;;;
250801;0400;2;;;
250801;0500;3;;;
250801;0600;2;;;
250801;0700;3;;;
250801;0800;4;;;
250801;0900;4;;;
250801;1000;6;;;
250801;1100;4;;;
250801;1200;3;;;
250801;1300;3;;;
250801;1400;4;;;
250801;1500;4;;;
250801;1600;5;;;
250801;1700;8;;;
250801;1800;6;;;
250801;1900;6;;;
250801;2000;6;;;
250801;2100;6;;;
250801;2200;7;;;
250801;2300;9;;;
250802;0000;9;;;
250802;0100;9;;;
250802;0200;8;;;
250802;0300;6;;;
250802;0400;4;;;
250802;0500;4;;;
250802;0600;5;;;
250802;0700;7;;;
250802;0800;8;;;
250802;0900;11;;;
250802;1000;12;;;
250802;1100;12;;;
250802;1200;13;;;
250802;1300;11;;;
250802;1400;10;;;
250802;1500;17;;;
250802;1600;29;;;
250802;1700;35;;;
250802;1800;29;;;
250802;1900;25;;;
250802;2000;24;;;
250802;2100;23;;;
250802;2200;24;;;
250802;2300;27;;;
250803;0000;25;;;
250803;0100;25;;;
250803;0200;26;;;
250803;0300;21;;;
250803;0400;21;;;
250803;0500;21;;;
250803;0600;23;;;
250803;0700;22;;;
250803;0800;21;;;
250803;0900;17;;;
250803;1000;15;;;
250803;1100;24;;;
250803;1200;21;;;
250803;1300;24;;;
250803;1400;28;;;
250803;1500;22;;;
250803;1600;16;;;
250803;1700;14;;;
250803;1800;36;;;
250803;1900;55;;;
250803;2000;57;;;
250803;2100;56;;;
250803;2200;53;;;
250803;2300;42;;;
250804;0000;34;;;
250804;0100;24;;;
250804;0200;21;;;
250804;0300;15;;;
250804;0400;17;;;
250804;0500;20;;;
250804;0600;20;;;
250804;0700;21;;;
250804;0800;49;;;
250804;0900;59;;;
250804;1000;64;;;
250804;1100;50;;;
250804;1200;37;;;
250804;1300;28;;;
250804;1400;23;;;
250804;1500;21;;;
250804;1600;22;;;
250804;1700;23;;;
250804;1800;34;;;
250804;1900;73;;;
250804;2000;88;;;
250804;2100;94;;;
250804;2200;97;;;
250804;2300;85;;;
250805;0000;79;;;
250805;0100;89;;;
250805;0200;102;;;
250805;0300;102;;;
250805;0400;87;;;
250805;0500;72;;;
250805;0600;64;;;
250805;0700;70;;;
250805;0800;81;;;
250805;0900;80;;;
250805;1000;150;;;
250805;1100;145;;;
250805;1200;159;;;
250805;1300;132;;;
250805;1400;97;;;
250805;1500;73;;;
250805;1600;53;;;
250805;1700;40;;;
250805;1800;34;;;
250805;1900;32;;;
250805;2000;30;;;
250805;2100;43;;;
250805;2200;79;;;
250805;2300;64;;;
250806;0000;58;;;
250806;0100;47;;;
250806;0200;46;;;
250806;0300;44;;;
250806;0400;33;;;
250806;0500;23;;;
250806;0600;18;;;
250806;0700;14;;;
250806;0800;14;;;
250806;0900;13;;;
250806;1000;14;;;
250806;1100;14;;;
250806;1200;10;;;
250806;1300;10;;;
250806;1400;12;;;
250806;1500;13;;;
250806;1600;14;;;
250806;1700;17;;;
250806;1800;20;;;
250806;1900;23;;;
250806;2000;24;;;
250806;2100;25;;;
250806;2200;24;;;
250806;2300;20;;;
250807;0000;19;;;
250807;0100;19;;;
250807;0200;15;;;
250807;0300;11;;;
250807;0400;8;;;
250807;0500;8;;;
250807;0600;6;;;
250807;0700;8;;;
250807;0800;9;;;
250807;0900;11;;;
250807;1000;15;;;
250807;1100;18;;;
250807;1200;21;;;
250807;1300;18;;;
250807;1400;18;;;
250807;1500;17;;;
250807;1600;16;;;
250807;1700;16;;;
250807;1800;22;;;
250807;1900;28;;;
250807;2000;33;;;
250807;2100;41;;;
250807;2200;42;;;
250807;2300;36;;;
250808;0000;30;;;
250808;0100;28;;;
250808;0200;27;;;
250808;0300;23;;;
250808;0400;21;;;
250808;0500;22;;;
250808;0600;20;;;
250808;0700;21;;;
250808;0800;26;;;
250808;0900;39;;;
250808;1000;35;;;
250808;1100;30;;;
250808;1200;31;;;
250808;1300;35;;;
250808;1400;30;;;
250808;1500;26;;;
250808;1600;30;;;
250808;1700;47;;;
250808;1800;62;;;
250808;1900;82;;;
250808;2000;106;;;
250808;2100;121;;;
250808;2200;122;;;
250808;2300;124;;;
250809;0000;119;;;
250809;0100;122;;;
250809;0200;125;;;
250809;0300;130;;;
250809;0400;120;;;
250809;0500;104;;;
250809;0600;86;;;
250809;0700;71;;;
250809;0800;58;;;
250809;0900;45;;;
250809;1000;35;;;
250809;1100;29;;;
250809;1200;26;;;
250809;1300;25;;;
250809;1400;22;;;
250809;1500;20;;;
250809;1600;22;;;
250809;1700;21;;;
250809;1800;20;;;
250809;1900;25;;;
250809;2000;34;;;
250809;2100;36;;;
250809;2200;31;;;
250809;2300;27;;;
250810;0000;27;;;
250810;0100;27;;;
250810;0200;27;;;
250810;0300;26;;;
250810;0400;23;;;
250810;0500;23;;;
250810;0600;21;;;
250810;0700;17;;;
250810;0800;17;;;
250810;0900;21;;;
250810;1000;21;;;
250810;1100;24;;;
250810;1200;24;;;
250810;1300;21;;;
250810;1400;21;;;
250810;1500;21;;;
250810;1600;20;;;
250810;1700;24;;;
250810;1800;35;;;
250810;1900;45;;;
250810;2000;68;;;
250810;2100;63;;;
250810;2200;71;;;
250810;2300;78;;;
250811;0000;80;;;
250811;0100;70;;;
250811;0200;54;;;
250811;0300;42;;;
250811;0400;33;;;
250811;0500;29;;;
250811;0600;30;;;
250811;0700;29;;;
250811;0800;27;;;
250811;0900;25;;;
250811;1000;30;;;
