Fecha;Hora;ConcentracionMP2_5;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-28;01:00;4;;27.78;55.57;Bueno;127.72;Regular
2025-07-28;02:00;4;;27.78;55.57;Bueno;127.72;Regular
2025-07-28;03:00;2;;27.78;55.57;Bueno;127.72;Regular
2025-07-28;04:00;2;;27.78;55.57;Bueno;127.72;Regular
2025-07-28;05:00;1;;27.78;55.57;Bueno;127.72;Regular
2025-07-28;06:00;3;;27.78;55.57;Bueno;127.72;Regular
2025-07-28;07:00;3;;27.78;55.57;Bueno;127.72;Regular
2025-07-28;08:00;12;;27.78;55.57;Bueno;127.72;Regular
2025-07-28;09:00;12;;27.78;55.57;Bueno;127.72;Regular
2025-07-28;10:00;21;;27.78;55.57;Bueno;127.72;Regular
2025-07-28;11:00;15;;27.78;55.57;Bueno;127.72;Regular
2025-07-28;12:00;14;;27.78;55.57;Bueno;127.72;Regular
2025-07-28;13:00;17;;27.78;55.57;Bueno;127.72;Regular
2025-07-28;14:00;18;;27.78;55.57;Bueno;127.72;Regular
2025-07-28;15:00;18;;27.78;55.57;Bueno;127.72;Regular
2025-07-28;16:00;42;;27.78;55.57;Bueno;127.72;Regular
2025-07-28;17:00;40;;27.78;55.57;Bueno;127.72;Regular
2025-07-28;18:00;55;15.72;27.78;55.57;Bueno;127.72;Regular
2025-07-28;19:00;65;18.32;27.78;55.57;Bueno;127.72;Regular
2025-07-28;20:00;78;21.30;27.78;55.57;Bueno;127.72;Regular
2025-07-28;21:00;78;24.00;27.78;55.57;Bueno;127.72;Regular
2025-07-28;22:00;61;25.68;27.78;55.57;Bueno;127.72;Regular
2025-07-28;23:00;74;27.78;27.78;55.57;Bueno;127.72;Regular
2025-07-29;00:00;90;30.38;68.12;160.42;Regular;216.73;Alerta
2025-07-29;01:00;122;35.29;68.12;160.42;Regular;216.73;Alerta
2025-07-29;02:00;178;42.54;68.12;160.42;Regular;216.73;Alerta
2025-07-29;03:00;68;45.29;68.12;160.42;Regular;216.73;Alerta
2025-07-29;04:00;81;48.58;68.12;160.42;Regular;216.73;Alerta
2025-07-29;05:00;68;51.38;68.12;160.42;Regular;216.73;Alerta
2025-07-29;06:00;64;53.92;68.12;160.42;Regular;216.73;Alerta
2025-07-29;07:00;40;55.46;68.12;160.42;Regular;216.73;Alerta
2025-07-29;08:00;42;56.71;68.12;160.42;Regular;216.73;Alerta
2025-07-29;09:00;44;58.04;68.12;160.42;Regular;216.73;Alerta
2025-07-29;10:00;26;58.25;68.12;160.42;Regular;216.73;Alerta
2025-07-29;11:00;41;59.33;68.12;160.42;Regular;216.73;Alerta
2025-07-29;12:00;32;60.08;68.12;160.42;Regular;216.73;Alerta
2025-07-29;13:00;14;59.96;68.12;160.42;Regular;216.73;Alerta
2025-07-29;14:00;28;60.38;68.12;160.42;Regular;216.73;Alerta
2025-07-29;15:00;22;60.54;68.12;160.42;Regular;216.73;Alerta
2025-07-29;16:00;31;60.08;68.12;160.42;Regular;216.73;Alerta
2025-07-29;17:00;60;60.92;68.12;160.42;Regular;216.73;Alerta
2025-07-29;18:00;98;62.71;68.12;160.42;Regular;216.73;Alerta
2025-07-29;19:00;181;67.54;68.12;160.42;Regular;216.73;Alerta
2025-07-29;20:00;192;72.29;68.12;160.42;Regular;216.73;Alerta
2025-07-29;21:00;52;71.21;68.12;160.42;Regular;216.73;Alerta
2025-07-29;22:00;33;70.04;68.12;160.42;Regular;216.73;Alerta
2025-07-29;23:00;28;68.12;68.12;160.42;Regular;216.73;Alerta
2025-07-30;00:00;33;65.75;15.08;30.17;Bueno;100.18;Regular
2025-07-30;01:00;24;61.67;15.08;30.17;Bueno;100.18;Regular
2025-07-30;02:00;9;54.62;15.08;30.17;Bueno;100.18;Regular
2025-07-30;03:00;17;52.50;15.08;30.17;Bueno;100.18;Regular
2025-07-30;04:00;6;49.38;15.08;30.17;Bueno;100.18;Regular
2025-07-30;05:00;6;46.79;15.08;30.17;Bueno;100.18;Regular
2025-07-30;06:00;6;44.38;15.08;30.17;Bueno;100.18;Regular
2025-07-30;07:00;5;42.92;15.08;30.17;Bueno;100.18;Regular
2025-07-30;08:00;6;41.42;15.08;30.17;Bueno;100.18;Regular
2025-07-30;09:00;12;40.08;15.08;30.17;Bueno;100.18;Regular
2025-07-30;10:00;9;39.38;15.08;30.17;Bueno;100.18;Regular
2025-07-30;11:00;22;38.58;15.08;30.17;Bueno;100.18;Regular
2025-07-30;12:00;10;37.67;15.08;30.17;Bueno;100.18;Regular
2025-07-30;13:00;16;37.75;15.08;30.17;Bueno;100.18;Regular
2025-07-30;14:00;17;37.29;15.08;30.17;Bueno;100.18;Regular
2025-07-30;15:00;12;36.88;15.08;30.17;Bueno;100.18;Regular
2025-07-30;16:00;12;36.08;15.08;30.17;Bueno;100.18;Regular
2025-07-30;17:00;16;34.25;15.08;30.17;Bueno;100.18;Regular
2025-07-30;18:00;30;31.42;15.08;30.17;Bueno;100.18;Regular
2025-07-30;19:00;22;24.79;15.08;30.17;Bueno;100.18;Regular
2025-07-30;20:00;21;17.67;15.08;30.17;Bueno;100.18;Regular
2025-07-30;21:00;26;16.58;15.08;30.17;Bueno;100.18;Regular
2025-07-30;22:00;14;15.79;15.08;30.17;Bueno;100.18;Regular
2025-07-30;23:00;11;15.08;15.08;30.17;Bueno;100.18;Regular
2025-07-31;00:00;6;13.96;5.71;11.42;Bueno;38.06;Bueno
2025-07-31;01:00;6;13.21;5.71;11.42;Bueno;38.06;Bueno
2025-07-31;02:00;5;13.04;5.71;11.42;Bueno;38.06;Bueno
2025-07-31;03:00;3;12.46;5.71;11.42;Bueno;38.06;Bueno
2025-07-31;04:00;2;12.29;5.71;11.42;Bueno;38.06;Bueno
2025-07-31;05:00;2;12.12;5.71;11.42;Bueno;38.06;Bueno
2025-07-31;06:00;4;12.04;5.71;11.42;Bueno;38.06;Bueno
2025-07-31;07:00;3;11.96;5.71;11.42;Bueno;38.06;Bueno
2025-07-31;08:00;4;11.88;5.71;11.42;Bueno;38.06;Bueno
2025-07-31;09:00;4;11.54;5.71;11.42;Bueno;38.06;Bueno
2025-07-31;10:00;2;11.25;5.71;11.42;Bueno;38.06;Bueno
2025-07-31;11:00;4;10.50;5.71;11.42;Bueno;38.06;Bueno
2025-07-31;12:00;5;10.29;5.71;11.42;Bueno;38.06;Bueno
2025-07-31;13:00;8;9.96;5.71;11.42;Bueno;38.06;Bueno
2025-07-31;14:00;12;9.75;5.71;11.42;Bueno;38.06;Bueno
2025-07-31;15:00;9;9.62;5.71;11.42;Bueno;38.06;Bueno
2025-07-31;16:00;6;9.38;5.71;11.42;Bueno;38.06;Bueno
2025-07-31;17:00;8;9.04;5.71;11.42;Bueno;38.06;Bueno
2025-07-31;18:00;8;8.12;5.71;11.42;Bueno;38.06;Bueno
2025-07-31;19:00;11;7.67;5.71;11.42;Bueno;38.06;Bueno
2025-07-31;20:00;8;7.12;5.71;11.42;Bueno;38.06;Bueno
2025-07-31;21:00;9;6.42;5.71;11.42;Bueno;38.06;Bueno
2025-07-31;22:00;5;6.04;5.71;11.42;Bueno;38.06;Bueno
2025-07-31;23:00;3;5.71;5.71;11.42;Bueno;38.06;Bueno
2025-08-01;00:00;1;5.50;7.00;14.00;Bueno;46.67;Bueno
2025-08-01;01:00;1;5.29;7.00;14.00;Bueno;46.67;Bueno
2025-08-01;02:00;2;5.17;7.00;14.00;Bueno;46.67;Bueno
2025-08-01;03:00;1;5.08;7.00;14.00;Bueno;46.67;Bueno
2025-08-01;04:00;2;5.08;7.00;14.00;Bueno;46.67;Bueno
2025-08-01;05:00;1;5.04;7.00;14.00;Bueno;46.67;Bueno
2025-08-01;06:00;3;5.00;7.00;14.00;Bueno;46.67;Bueno
2025-08-01;07:00;4;5.04;7.00;14.00;Bueno;46.67;Bueno
2025-08-01;08:00;4;5.04;7.00;14.00;Bueno;46.67;Bueno
2025-08-01;09:00;4;5.04;7.00;14.00;Bueno;46.67;Bueno
2025-08-01;10:00;4;5.12;7.00;14.00;Bueno;46.67;Bueno
2025-08-01;11:00;7;5.25;7.00;14.00;Bueno;46.67;Bueno
2025-08-01;12:00;4;5.21;7.00;14.00;Bueno;46.67;Bueno
2025-08-01;13:00;5;5.08;7.00;14.00;Bueno;46.67;Bueno
2025-08-01;14:00;6;4.83;7.00;14.00;Bueno;46.67;Bueno
2025-08-01;15:00;14;5.04;7.00;14.00;Bueno;46.67;Bueno
2025-08-01;16:00;15;5.42;7.00;14.00;Bueno;46.67;Bueno
2025-08-01;17:00;9;5.46;7.00;14.00;Bueno;46.67;Bueno
2025-08-01;18:00;15;5.75;7.00;14.00;Bueno;46.67;Bueno
2025-08-01;19:00;15;5.92;7.00;14.00;Bueno;46.67;Bueno
2025-08-01;20:00;11;6.04;7.00;14.00;Bueno;46.67;Bueno
2025-08-01;21:00;13;6.21;7.00;14.00;Bueno;46.67;Bueno
2025-08-01;22:00;21;6.88;7.00;14.00;Bueno;46.67;Bueno
2025-08-01;23:00;6;7.00;7.00;14.00;Bueno;46.67;Bueno
2025-08-02;00:00;9;7.33;16.04;32.08;Bueno;102.25;Regular
2025-08-02;01:00;10;7.71;16.04;32.08;Bueno;102.25;Regular
2025-08-02;02:00;7;7.92;16.04;32.08;Bueno;102.25;Regular
2025-08-02;03:00;2;7.96;16.04;32.08;Bueno;102.25;Regular
2025-08-02;04:00;3;8.00;16.04;32.08;Bueno;102.25;Regular
2025-08-02;05:00;2;8.04;16.04;32.08;Bueno;102.25;Regular
2025-08-02;06:00;2;8.00;16.04;32.08;Bueno;102.25;Regular
2025-08-02;07:00;2;7.92;16.04;32.08;Bueno;102.25;Regular
2025-08-02;08:00;9;8.12;16.04;32.08;Bueno;102.25;Regular
2025-08-02;09:00;6;8.21;16.04;32.08;Bueno;102.25;Regular
2025-08-02;10:00;7;8.33;16.04;32.08;Bueno;102.25;Regular
2025-08-02;11:00;12;8.54;16.04;32.08;Bueno;102.25;Regular
2025-08-02;12:00;9;8.75;16.04;32.08;Bueno;102.25;Regular
2025-08-02;13:00;4;8.71;16.04;32.08;Bueno;102.25;Regular
2025-08-02;14:00;8;8.79;16.04;32.08;Bueno;102.25;Regular
2025-08-02;15:00;13;8.75;16.04;32.08;Bueno;102.25;Regular
2025-08-02;16:00;9;8.50;16.04;32.08;Bueno;102.25;Regular
2025-08-02;17:00;14;8.71;16.04;32.08;Bueno;102.25;Regular
2025-08-02;18:00;26;9.17;16.04;32.08;Bueno;102.25;Regular
2025-08-02;19:00;63;11.17;16.04;32.08;Bueno;102.25;Regular
2025-08-02;20:00;46;12.62;16.04;32.08;Bueno;102.25;Regular
2025-08-02;21:00;49;14.12;16.04;32.08;Bueno;102.25;Regular
2025-08-02;22:00;46;15.17;16.04;32.08;Bueno;102.25;Regular
2025-08-02;23:00;27;16.04;16.04;32.08;Bueno;102.25;Regular
2025-08-03;00:00;46;17.58;31.25;62.50;Bueno;135.28;Regular
2025-08-03;01:00;37;18.71;31.25;62.50;Bueno;135.28;Regular
2025-08-03;02:00;28;19.58;31.25;62.50;Bueno;135.28;Regular
2025-08-03;03:00;27;20.62;31.25;62.50;Bueno;135.28;Regular
2025-08-03;04:00;22;21.42;31.25;62.50;Bueno;135.28;Regular
2025-08-03;05:00;25;22.38;31.25;62.50;Bueno;135.28;Regular
2025-08-03;06:00;28;23.46;31.25;62.50;Bueno;135.28;Regular
2025-08-03;07:00;19;24.17;31.25;62.50;Bueno;135.28;Regular
2025-08-03;08:00;56;26.12;31.25;62.50;Bueno;135.28;Regular
2025-08-03;09:00;26;26.96;31.25;62.50;Bueno;135.28;Regular
2025-08-03;10:00;14;27.25;31.25;62.50;Bueno;135.28;Regular
2025-08-03;11:00;21;27.62;31.25;62.50;Bueno;135.28;Regular
2025-08-03;12:00;19;28.04;31.25;62.50;Bueno;135.28;Regular
2025-08-03;13:00;16;28.54;31.25;62.50;Bueno;135.28;Regular
2025-08-03;14:00;15;28.83;31.25;62.50;Bueno;135.28;Regular
2025-08-03;15:00;11;28.75;31.25;62.50;Bueno;135.28;Regular
2025-08-03;16:00;18;29.12;31.25;62.50;Bueno;135.28;Regular
2025-08-03;17:00;41;30.25;31.25;62.50;Bueno;135.28;Regular
2025-08-03;18:00;57;31.54;31.25;62.50;Bueno;135.28;Regular
2025-08-03;19:00;38;30.50;31.25;62.50;Bueno;135.28;Regular
2025-08-03;20:00;40;30.25;31.25;62.50;Bueno;135.28;Regular
2025-08-03;21:00;66;30.96;31.25;62.50;Bueno;135.28;Regular
2025-08-03;22:00;44;30.88;31.25;62.50;Bueno;135.28;Regular
2025-08-03;23:00;36;31.25;31.25;62.50;Bueno;135.28;Regular
2025-08-04;00:00;56;31.67;75.58;185.28;Regular;233.44;Alerta
