Fecha;Hora;ConcentracionMP10;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-28;01:00;7;;6.65;5.12;Bueno;14.78;Bueno
2025-07-28;02:00;7;;6.65;5.12;Bueno;14.78;Bueno
2025-07-28;03:00;2;;6.65;5.12;Bueno;14.78;Bueno
2025-07-28;04:00;2;;6.65;5.12;Bueno;14.78;Bueno
2025-07-28;05:00;3;;6.65;5.12;Bueno;14.78;Bueno
2025-07-28;06:00;4;;6.65;5.12;Bueno;14.78;Bueno
2025-07-28;07:00;3;;6.65;5.12;Bueno;14.78;Bueno
2025-07-28;08:00;3;;6.65;5.12;Bueno;14.78;Bueno
2025-07-28;09:00;7;;6.65;5.12;Bueno;14.78;Bueno
2025-07-28;10:00;;;6.65;5.12;Bueno;14.78;Bueno
2025-07-28;11:00;;;6.65;5.12;Bueno;14.78;Bueno
2025-07-28;12:00;;;6.65;5.12;Bueno;14.78;Bueno
2025-07-28;13:00;17;;6.65;5.12;Bueno;14.78;Bueno
2025-07-28;14:00;14;;6.65;5.12;Bueno;14.78;Bueno
2025-07-28;15:00;16;;6.65;5.12;Bueno;14.78;Bueno
2025-07-28;16:00;5;;6.65;5.12;Bueno;14.78;Bueno
2025-07-28;17:00;6;;6.65;5.12;Bueno;14.78;Bueno
2025-07-28;18:00;8;;6.65;5.12;Bueno;14.78;Bueno
2025-07-28;19:00;6;;6.65;5.12;Bueno;14.78;Bueno
2025-07-28;20:00;7;;6.65;5.12;Bueno;14.78;Bueno
2025-07-28;21:00;6;6.83;6.65;5.12;Bueno;14.78;Bueno
2025-07-28;22:00;6;6.79;6.65;5.12;Bueno;14.78;Bueno
2025-07-28;23:00;4;6.65;6.65;5.12;Bueno;14.78;Bueno
2025-07-29;00:00;9;6.76;22.88;17.60;Bueno;50.83;Bueno
2025-07-29;01:00;11;6.95;22.88;17.60;Bueno;50.83;Bueno
2025-07-29;02:00;7;6.95;22.88;17.60;Bueno;50.83;Bueno
2025-07-29;03:00;20;7.81;22.88;17.60;Bueno;50.83;Bueno
2025-07-29;04:00;18;8.57;22.88;17.60;Bueno;50.83;Bueno
2025-07-29;05:00;21;9.43;22.88;17.60;Bueno;50.83;Bueno
2025-07-29;06:00;9;9.67;22.88;17.60;Bueno;50.83;Bueno
2025-07-29;07:00;19;10.43;22.88;17.60;Bueno;50.83;Bueno
2025-07-29;08:00;59;13.10;22.88;17.60;Bueno;50.83;Bueno
2025-07-29;09:00;9;13.19;22.88;17.60;Bueno;50.83;Bueno
2025-07-29;10:00;6;12.86;22.88;17.60;Bueno;50.83;Bueno
2025-07-29;11:00;3;12.43;22.88;17.60;Bueno;50.83;Bueno
2025-07-29;12:00;6;12.17;22.88;17.60;Bueno;50.83;Bueno
2025-07-29;13:00;7;11.75;22.88;17.60;Bueno;50.83;Bueno
2025-07-29;14:00;13;11.71;22.88;17.60;Bueno;50.83;Bueno
2025-07-29;15:00;33;12.42;22.88;17.60;Bueno;50.83;Bueno
2025-07-29;16:00;85;15.75;22.88;17.60;Bueno;50.83;Bueno
2025-07-29;17:00;49;17.54;22.88;17.60;Bueno;50.83;Bueno
2025-07-29;18:00;72;20.21;22.88;17.60;Bueno;50.83;Bueno
2025-07-29;19:00;27;21.08;22.88;17.60;Bueno;50.83;Bueno
2025-07-29;20:00;17;21.50;22.88;17.60;Bueno;50.83;Bueno
2025-07-29;21:00;20;22.08;22.88;17.60;Bueno;50.83;Bueno
2025-07-29;22:00;17;22.54;22.88;17.60;Bueno;50.83;Bueno
2025-07-29;23:00;12;22.88;22.88;17.60;Bueno;50.83;Bueno
2025-07-30;00:00;14;23.08;9.67;7.44;Bueno;21.48;Bueno
2025-07-30;01:00;11;23.08;9.67;7.44;Bueno;21.48;Bueno
2025-07-30;02:00;10;23.21;9.67;7.44;Bueno;21.48;Bueno
2025-07-30;03:00;6;22.62;9.67;7.44;Bueno;21.48;Bueno
2025-07-30;04:00;7;22.17;9.67;7.44;Bueno;21.48;Bueno
2025-07-30;05:00;6;21.54;9.67;7.44;Bueno;21.48;Bueno
2025-07-30;06:00;5;21.38;9.67;7.44;Bueno;21.48;Bueno
2025-07-30;07:00;7;20.88;9.67;7.44;Bueno;21.48;Bueno
2025-07-30;08:00;5;18.62;9.67;7.44;Bueno;21.48;Bueno
2025-07-30;09:00;6;18.50;9.67;7.44;Bueno;21.48;Bueno
2025-07-30;10:00;5;18.46;9.67;7.44;Bueno;21.48;Bueno
2025-07-30;11:00;14;18.92;9.67;7.44;Bueno;21.48;Bueno
2025-07-30;12:00;10;19.08;9.67;7.44;Bueno;21.48;Bueno
