Fecha;Hora;ConcentracionMP10;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-28;01:00;8;;27.22;20.94;Bueno;60.48;Bueno
2025-07-28;02:00;5;;27.22;20.94;Bueno;60.48;Bueno
2025-07-28;03:00;2;;27.22;20.94;Bueno;60.48;Bueno
2025-07-28;04:00;2;;27.22;20.94;Bueno;60.48;Bueno
2025-07-28;05:00;4;;27.22;20.94;Bueno;60.48;Bueno
2025-07-28;06:00;5;;27.22;20.94;Bueno;60.48;Bueno
2025-07-28;07:00;7;;27.22;20.94;Bueno;60.48;Bueno
2025-07-28;08:00;12;;27.22;20.94;Bueno;60.48;Bueno
2025-07-28;09:00;20;;27.22;20.94;Bueno;60.48;Bueno
2025-07-28;10:00;8;;27.22;20.94;Bueno;60.48;Bueno
2025-07-28;11:00;16;;27.22;20.94;Bueno;60.48;Bueno
2025-07-28;12:00;10;;27.22;20.94;Bueno;60.48;Bueno
2025-07-28;13:00;21;;27.22;20.94;Bueno;60.48;Bueno
2025-07-28;14:00;19;;27.22;20.94;Bueno;60.48;Bueno
2025-07-28;15:00;21;;27.22;20.94;Bueno;60.48;Bueno
2025-07-28;16:00;26;;27.22;20.94;Bueno;60.48;Bueno
2025-07-28;17:00;29;;27.22;20.94;Bueno;60.48;Bueno
2025-07-28;18:00;34;13.83;27.22;20.94;Bueno;60.48;Bueno
2025-07-28;19:00;53;15.89;27.22;20.94;Bueno;60.48;Bueno
2025-07-28;20:00;123;21.25;27.22;20.94;Bueno;60.48;Bueno
2025-07-28;21:00;111;25.52;27.22;20.94;Bueno;60.48;Bueno
2025-07-28;22:00;47;26.50;27.22;20.94;Bueno;60.48;Bueno
2025-07-28;23:00;43;27.22;27.22;20.94;Bueno;60.48;Bueno
2025-07-29;00:00;28;27.25;32.79;25.22;Bueno;72.87;Bueno
2025-07-29;01:00;20;27.75;32.79;25.22;Bueno;72.87;Bueno
2025-07-29;02:00;16;28.21;32.79;25.22;Bueno;72.87;Bueno
2025-07-29;03:00;8;28.46;32.79;25.22;Bueno;72.87;Bueno
2025-07-29;04:00;7;28.67;32.79;25.22;Bueno;72.87;Bueno
2025-07-29;05:00;8;28.83;32.79;25.22;Bueno;72.87;Bueno
2025-07-29;06:00;13;29.17;32.79;25.22;Bueno;72.87;Bueno
2025-07-29;07:00;12;29.38;32.79;25.22;Bueno;72.87;Bueno
2025-07-29;08:00;28;30.04;32.79;25.22;Bueno;72.87;Bueno
2025-07-29;09:00;27;30.33;32.79;25.22;Bueno;72.87;Bueno
2025-07-29;10:00;16;30.67;32.79;25.22;Bueno;72.87;Bueno
2025-07-29;11:00;26;31.08;32.79;25.22;Bueno;72.87;Bueno
2025-07-29;12:00;21;31.54;32.79;25.22;Bueno;72.87;Bueno
2025-07-29;13:00;13;31.21;32.79;25.22;Bueno;72.87;Bueno
2025-07-29;14:00;13;30.96;32.79;25.22;Bueno;72.87;Bueno
2025-07-29;15:00;9;30.46;32.79;25.22;Bueno;72.87;Bueno
2025-07-29;16:00;18;30.12;32.79;25.22;Bueno;72.87;Bueno
2025-07-29;17:00;44;30.75;32.79;25.22;Bueno;72.87;Bueno
2025-07-29;18:00;62;31.92;32.79;25.22;Bueno;72.87;Bueno
2025-07-29;19:00;77;32.92;32.79;25.22;Bueno;72.87;Bueno
2025-07-29;20:00;90;31.54;32.79;25.22;Bueno;72.87;Bueno
2025-07-29;21:00;89;30.62;32.79;25.22;Bueno;72.87;Bueno
2025-07-29;22:00;62;31.25;32.79;25.22;Bueno;72.87;Bueno
2025-07-29;23:00;80;32.79;32.79;25.22;Bueno;72.87;Bueno
2025-07-30;00:00;58;34.04;13.08;10.06;Bueno;29.07;Bueno
2025-07-30;01:00;7;33.50;13.08;10.06;Bueno;29.07;Bueno
2025-07-30;02:00;5;33.04;13.08;10.06;Bueno;29.07;Bueno
2025-07-30;03:00;6;32.96;13.08;10.06;Bueno;29.07;Bueno
2025-07-30;04:00;3;32.79;13.08;10.06;Bueno;29.07;Bueno
2025-07-30;05:00;2;32.54;13.08;10.06;Bueno;29.07;Bueno
2025-07-30;06:00;3;32.12;13.08;10.06;Bueno;29.07;Bueno
2025-07-30;07:00;4;31.79;13.08;10.06;Bueno;29.07;Bueno
2025-07-30;08:00;4;30.79;13.08;10.06;Bueno;29.07;Bueno
2025-07-30;09:00;9;30.04;13.08;10.06;Bueno;29.07;Bueno
2025-07-30;10:00;12;29.88;13.08;10.06;Bueno;29.07;Bueno
2025-07-30;11:00;12;29.29;13.08;10.06;Bueno;29.07;Bueno
2025-07-30;12:00;19;29.21;13.08;10.06;Bueno;29.07;Bueno
2025-07-30;13:00;19;29.46;13.08;10.06;Bueno;29.07;Bueno
2025-07-30;14:00;12;29.42;13.08;10.06;Bueno;29.07;Bueno
2025-07-30;15:00;23;30.00;13.08;10.06;Bueno;29.07;Bueno
2025-07-30;16:00;31;30.54;13.08;10.06;Bueno;29.07;Bueno
2025-07-30;17:00;16;29.38;13.08;10.06;Bueno;29.07;Bueno
2025-07-30;18:00;11;27.25;13.08;10.06;Bueno;29.07;Bueno
