Fecha;Hora;ConcentracionMP2_5;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-28;01:00;1;;23.22;46.43;Bueno;117.79;Regular
2025-07-28;02:00;1;;23.22;46.43;Bueno;117.79;Regular
2025-07-28;03:00;1;;23.22;46.43;Bueno;117.79;Regular
2025-07-28;04:00;1;;23.22;46.43;Bueno;117.79;Regular
2025-07-28;05:00;3;;23.22;46.43;Bueno;117.79;Regular
2025-07-28;06:00;2;;23.22;46.43;Bueno;117.79;Regular
2025-07-28;07:00;1;;23.22;46.43;Bueno;117.79;Regular
2025-07-28;08:00;11;;23.22;46.43;Bueno;117.79;Regular
2025-07-28;09:00;14;;23.22;46.43;Bueno;117.79;Regular
2025-07-28;10:00;7;;23.22;46.43;Bueno;117.79;Regular
2025-07-28;11:00;15;;23.22;46.43;Bueno;117.79;Regular
2025-07-28;12:00;8;;23.22;46.43;Bueno;117.79;Regular
2025-07-28;13:00;20;;23.22;46.43;Bueno;117.79;Regular
2025-07-28;14:00;15;;23.22;46.43;Bueno;117.79;Regular
2025-07-28;15:00;14;;23.22;46.43;Bueno;117.79;Regular
2025-07-28;16:00;23;;23.22;46.43;Bueno;117.79;Regular
2025-07-28;17:00;27;;23.22;46.43;Bueno;117.79;Regular
2025-07-28;18:00;33;10.94;23.22;46.43;Bueno;117.79;Regular
2025-07-28;19:00;49;12.95;23.22;46.43;Bueno;117.79;Regular
2025-07-28;20:00;111;17.85;23.22;46.43;Bueno;117.79;Regular
2025-07-28;21:00;105;22.00;23.22;46.43;Bueno;117.79;Regular
2025-07-28;22:00;35;22.59;23.22;46.43;Bueno;117.79;Regular
2025-07-28;23:00;37;23.22;23.22;46.43;Bueno;117.79;Regular
2025-07-29;00:00;26;23.33;26.88;53.75;Bueno;125.74;Regular
2025-07-29;01:00;17;24.00;26.88;53.75;Bueno;125.74;Regular
2025-07-29;02:00;15;24.58;26.88;53.75;Bueno;125.74;Regular
2025-07-29;03:00;4;24.71;26.88;53.75;Bueno;125.74;Regular
2025-07-29;04:00;3;24.79;26.88;53.75;Bueno;125.74;Regular
2025-07-29;05:00;5;24.88;26.88;53.75;Bueno;125.74;Regular
2025-07-29;06:00;9;25.17;26.88;53.75;Bueno;125.74;Regular
2025-07-29;07:00;8;25.46;26.88;53.75;Bueno;125.74;Regular
2025-07-29;08:00;24;26.00;26.88;53.75;Bueno;125.74;Regular
2025-07-29;09:00;26;26.50;26.88;53.75;Bueno;125.74;Regular
2025-07-29;10:00;3;26.33;26.88;53.75;Bueno;125.74;Regular
2025-07-29;11:00;25;26.75;26.88;53.75;Bueno;125.74;Regular
2025-07-29;12:00;20;27.25;26.88;53.75;Bueno;125.74;Regular
2025-07-29;13:00;12;26.92;26.88;53.75;Bueno;125.74;Regular
2025-07-29;14:00;7;26.58;26.88;53.75;Bueno;125.74;Regular
2025-07-29;15:00;7;26.29;26.88;53.75;Bueno;125.74;Regular
2025-07-29;16:00;12;25.83;26.88;53.75;Bueno;125.74;Regular
2025-07-29;17:00;35;26.17;26.88;53.75;Bueno;125.74;Regular
2025-07-29;18:00;43;26.58;26.88;53.75;Bueno;125.74;Regular
2025-07-29;19:00;69;27.42;26.88;53.75;Bueno;125.74;Regular
2025-07-29;20:00;78;26.04;26.88;53.75;Bueno;125.74;Regular
2025-07-29;21:00;82;25.08;26.88;53.75;Bueno;125.74;Regular
2025-07-29;22:00;52;25.79;26.88;53.75;Bueno;125.74;Regular
2025-07-29;23:00;63;26.88;26.88;53.75;Bueno;125.74;Regular
2025-07-30;00:00;45;27.67;10.88;21.75;Bueno;72.50;Bueno
2025-07-30;01:00;2;27.04;10.88;21.75;Bueno;72.50;Bueno
2025-07-30;02:00;1;26.46;10.88;21.75;Bueno;72.50;Bueno
2025-07-30;03:00;2;26.38;10.88;21.75;Bueno;72.50;Bueno
2025-07-30;04:00;2;26.33;10.88;21.75;Bueno;72.50;Bueno
2025-07-30;05:00;1;26.17;10.88;21.75;Bueno;72.50;Bueno
