Fecha;Hora;ConcentracionMP10;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-28;01:00;7;;10.39;7.99;Bueno;23.09;Bueno
2025-07-28;02:00;8;;10.39;7.99;Bueno;23.09;Bueno
2025-07-28;03:00;11;;10.39;7.99;Bueno;23.09;Bueno
2025-07-28;04:00;7;;10.39;7.99;Bueno;23.09;Bueno
2025-07-28;05:00;3;;10.39;7.99;Bueno;23.09;Bueno
2025-07-28;06:00;6;;10.39;7.99;Bueno;23.09;Bueno
2025-07-28;07:00;8;;10.39;7.99;Bueno;23.09;Bueno
2025-07-28;08:00;8;;10.39;7.99;Bueno;23.09;Bueno
2025-07-28;09:00;18;;10.39;7.99;Bueno;23.09;Bueno
2025-07-28;10:00;14;;10.39;7.99;Bueno;23.09;Bueno
2025-07-28;11:00;13;;10.39;7.99;Bueno;23.09;Bueno
2025-07-28;12:00;8;;10.39;7.99;Bueno;23.09;Bueno
2025-07-28;13:00;3;;10.39;7.99;Bueno;23.09;Bueno
2025-07-28;14:00;5;;10.39;7.99;Bueno;23.09;Bueno
2025-07-28;15:00;12;;10.39;7.99;Bueno;23.09;Bueno
2025-07-28;16:00;13;;10.39;7.99;Bueno;23.09;Bueno
2025-07-28;17:00;13;;10.39;7.99;Bueno;23.09;Bueno
2025-07-28;18:00;20;9.83;10.39;7.99;Bueno;23.09;Bueno
2025-07-28;19:00;16;10.16;10.39;7.99;Bueno;23.09;Bueno
2025-07-28;20:00;17;10.50;10.39;7.99;Bueno;23.09;Bueno
2025-07-28;21:00;13;10.62;10.39;7.99;Bueno;23.09;Bueno
2025-07-28;22:00;9;10.55;10.39;7.99;Bueno;23.09;Bueno
2025-07-28;23:00;7;10.39;10.39;7.99;Bueno;23.09;Bueno
2025-07-29;00:00;19;10.75;22.46;17.28;Bueno;49.91;Bueno
2025-07-29;01:00;10;10.88;22.46;17.28;Bueno;49.91;Bueno
2025-07-29;02:00;9;10.92;22.46;17.28;Bueno;49.91;Bueno
2025-07-29;03:00;8;10.79;22.46;17.28;Bueno;49.91;Bueno
2025-07-29;04:00;15;11.12;22.46;17.28;Bueno;49.91;Bueno
2025-07-29;05:00;11;11.46;22.46;17.28;Bueno;49.91;Bueno
2025-07-29;06:00;6;11.46;22.46;17.28;Bueno;49.91;Bueno
2025-07-29;07:00;2;11.21;22.46;17.28;Bueno;49.91;Bueno
2025-07-29;08:00;2;10.96;22.46;17.28;Bueno;49.91;Bueno
2025-07-29;09:00;19;11.00;22.46;17.28;Bueno;49.91;Bueno
2025-07-29;10:00;54;12.67;22.46;17.28;Bueno;49.91;Bueno
2025-07-29;11:00;30;13.38;22.46;17.28;Bueno;49.91;Bueno
2025-07-29;12:00;44;14.88;22.46;17.28;Bueno;49.91;Bueno
2025-07-29;13:00;27;15.88;22.46;17.28;Bueno;49.91;Bueno
2025-07-29;14:00;50;17.75;22.46;17.28;Bueno;49.91;Bueno
2025-07-29;15:00;71;20.21;22.46;17.28;Bueno;49.91;Bueno
2025-07-29;16:00;28;20.83;22.46;17.28;Bueno;49.91;Bueno
2025-07-29;17:00;25;21.33;22.46;17.28;Bueno;49.91;Bueno
2025-07-29;18:00;17;21.21;22.46;17.28;Bueno;49.91;Bueno
2025-07-29;19:00;16;21.21;22.46;17.28;Bueno;49.91;Bueno
2025-07-29;20:00;16;21.17;22.46;17.28;Bueno;49.91;Bueno
2025-07-29;21:00;16;21.29;22.46;17.28;Bueno;49.91;Bueno
2025-07-29;22:00;21;21.79;22.46;17.28;Bueno;49.91;Bueno
2025-07-29;23:00;23;22.46;22.46;17.28;Bueno;49.91;Bueno
2025-07-30;00:00;17;22.38;9.58;7.37;Bueno;21.30;Bueno
2025-07-30;01:00;10;22.38;9.58;7.37;Bueno;21.30;Bueno
2025-07-30;02:00;7;22.29;9.58;7.37;Bueno;21.30;Bueno
2025-07-30;03:00;7;22.25;9.58;7.37;Bueno;21.30;Bueno
2025-07-30;04:00;6;21.88;9.58;7.37;Bueno;21.30;Bueno
2025-07-30;05:00;2;21.50;9.58;7.37;Bueno;21.30;Bueno
2025-07-30;06:00;2;21.33;9.58;7.37;Bueno;21.30;Bueno
2025-07-30;07:00;2;21.33;9.58;7.37;Bueno;21.30;Bueno
2025-07-30;08:00;4;21.42;9.58;7.37;Bueno;21.30;Bueno
2025-07-30;09:00;2;20.71;9.58;7.37;Bueno;21.30;Bueno
2025-07-30;10:00;2;18.54;9.58;7.37;Bueno;21.30;Bueno
2025-07-30;11:00;3;17.42;9.58;7.37;Bueno;21.30;Bueno
2025-07-30;12:00;4;15.75;9.58;7.37;Bueno;21.30;Bueno
2025-07-30;13:00;2;14.71;9.58;7.37;Bueno;21.30;Bueno
2025-07-30;14:00;2;12.71;9.58;7.37;Bueno;21.30;Bueno
2025-07-30;15:00;4;9.92;9.58;7.37;Bueno;21.30;Bueno
2025-07-30;16:00;7;9.04;9.58;7.37;Bueno;21.30;Bueno
2025-07-30;17:00;20;8.83;9.58;7.37;Bueno;21.30;Bueno
2025-07-30;18:00;24;9.12;9.58;7.37;Bueno;21.30;Bueno
2025-07-30;19:00;14;9.04;9.58;7.37;Bueno;21.30;Bueno
2025-07-30;20:00;24;9.38;9.58;7.37;Bueno;21.30;Bueno
2025-07-30;21:00;24;9.71;9.58;7.37;Bueno;21.30;Bueno
2025-07-30;22:00;14;9.42;9.58;7.37;Bueno;21.30;Bueno
2025-07-30;23:00;27;9.58;9.58;7.37;Bueno;21.30;Bueno
2025-07-31;00:00;10;9.29;17.83;13.72;Bueno;39.63;Bueno
2025-07-31;01:00;18;9.62;17.83;13.72;Bueno;39.63;Bueno
2025-07-31;02:00;5;9.54;17.83;13.72;Bueno;39.63;Bueno
2025-07-31;03:00;18;10.00;17.83;13.72;Bueno;39.63;Bueno
2025-07-31;04:00;2;9.83;17.83;13.72;Bueno;39.63;Bueno
2025-07-31;05:00;2;9.83;17.83;13.72;Bueno;39.63;Bueno
2025-07-31;06:00;3;9.88;17.83;13.72;Bueno;39.63;Bueno
