Fecha;Hora;ConcentracionMP2_5;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-28;01:00;1;;2.52;5.04;Bueno;16.81;Bueno
2025-07-28;02:00;1;;2.52;5.04;Bueno;16.81;Bueno
2025-07-28;03:00;1;;2.52;5.04;Bueno;16.81;Bueno
2025-07-28;04:00;1;;2.52;5.04;Bueno;16.81;Bueno
2025-07-28;05:00;1;;2.52;5.04;Bueno;16.81;Bueno
2025-07-28;06:00;1;;2.52;5.04;Bueno;16.81;Bueno
2025-07-28;07:00;1;;2.52;5.04;Bueno;16.81;Bueno
2025-07-28;08:00;1;;2.52;5.04;Bueno;16.81;Bueno
2025-07-28;09:00;1;;2.52;5.04;Bueno;16.81;Bueno
2025-07-28;10:00;1;;2.52;5.04;Bueno;16.81;Bueno
2025-07-28;11:00;2;;2.52;5.04;Bueno;16.81;Bueno
2025-07-28;12:00;2;;2.52;5.04;Bueno;16.81;Bueno
2025-07-28;13:00;1;;2.52;5.04;Bueno;16.81;Bueno
2025-07-28;14:00;1;;2.52;5.04;Bueno;16.81;Bueno
2025-07-28;15:00;1;;2.52;5.04;Bueno;16.81;Bueno
2025-07-28;16:00;1;;2.52;5.04;Bueno;16.81;Bueno
2025-07-28;17:00;1;;2.52;5.04;Bueno;16.81;Bueno
2025-07-28;18:00;15;1.89;2.52;5.04;Bueno;16.81;Bueno
2025-07-28;19:00;6;2.11;2.52;5.04;Bueno;16.81;Bueno
2025-07-28;20:00;6;2.30;2.52;5.04;Bueno;16.81;Bueno
2025-07-28;21:00;7;2.52;2.52;5.04;Bueno;16.81;Bueno
2025-07-28;22:00;4;2.59;2.52;5.04;Bueno;16.81;Bueno
2025-07-28;23:00;1;2.52;2.52;5.04;Bueno;16.81;Bueno
2025-07-29;00:00;3;2.54;10.08;20.17;Bueno;67.22;Bueno
2025-07-29;01:00;6;2.75;10.08;20.17;Bueno;67.22;Bueno
2025-07-29;02:00;4;2.88;10.08;20.17;Bueno;67.22;Bueno
2025-07-29;03:00;4;3.00;10.08;20.17;Bueno;67.22;Bueno
2025-07-29;04:00;4;3.12;10.08;20.17;Bueno;67.22;Bueno
2025-07-29;05:00;2;3.17;10.08;20.17;Bueno;67.22;Bueno
2025-07-29;06:00;1;3.17;10.08;20.17;Bueno;67.22;Bueno
2025-07-29;07:00;1;3.17;10.08;20.17;Bueno;67.22;Bueno
2025-07-29;08:00;1;3.17;10.08;20.17;Bueno;67.22;Bueno
2025-07-29;09:00;18;3.88;10.08;20.17;Bueno;67.22;Bueno
2025-07-29;10:00;34;5.25;10.08;20.17;Bueno;67.22;Bueno
2025-07-29;11:00;17;5.88;10.08;20.17;Bueno;67.22;Bueno
2025-07-29;12:00;25;6.83;10.08;20.17;Bueno;67.22;Bueno
2025-07-29;13:00;7;7.08;10.08;20.17;Bueno;67.22;Bueno
2025-07-29;14:00;19;7.83;10.08;20.17;Bueno;67.22;Bueno
2025-07-29;15:00;39;9.42;10.08;20.17;Bueno;67.22;Bueno
2025-07-29;16:00;12;9.88;10.08;20.17;Bueno;67.22;Bueno
2025-07-29;17:00;12;10.33;10.08;20.17;Bueno;67.22;Bueno
2025-07-29;18:00;7;10.00;10.08;20.17;Bueno;67.22;Bueno
2025-07-29;19:00;6;10.00;10.08;20.17;Bueno;67.22;Bueno
2025-07-29;20:00;8;10.08;10.08;20.17;Bueno;67.22;Bueno
2025-07-29;21:00;6;10.04;10.08;20.17;Bueno;67.22;Bueno
2025-07-29;22:00;3;10.00;10.08;20.17;Bueno;67.22;Bueno
2025-07-29;23:00;3;10.08;10.08;20.17;Bueno;67.22;Bueno
2025-07-30;00:00;2;10.04;1.17;2.33;Bueno;7.78;Bueno
2025-07-30;01:00;1;9.83;1.17;2.33;Bueno;7.78;Bueno
2025-07-30;02:00;1;9.71;1.17;2.33;Bueno;7.78;Bueno
2025-07-30;03:00;1;9.58;1.17;2.33;Bueno;7.78;Bueno
2025-07-30;04:00;1;9.46;1.17;2.33;Bueno;7.78;Bueno
2025-07-30;05:00;1;9.42;1.17;2.33;Bueno;7.78;Bueno
2025-07-30;06:00;1;9.42;1.17;2.33;Bueno;7.78;Bueno
2025-07-30;07:00;1;9.42;1.17;2.33;Bueno;7.78;Bueno
2025-07-30;08:00;1;9.42;1.17;2.33;Bueno;7.78;Bueno
2025-07-30;09:00;1;8.71;1.17;2.33;Bueno;7.78;Bueno
2025-07-30;10:00;1;7.33;1.17;2.33;Bueno;7.78;Bueno
2025-07-30;11:00;2;6.71;1.17;2.33;Bueno;7.78;Bueno
2025-07-30;12:00;3;5.79;1.17;2.33;Bueno;7.78;Bueno
2025-07-30;13:00;1;5.54;1.17;2.33;Bueno;7.78;Bueno
2025-07-30;14:00;1;4.79;1.17;2.33;Bueno;7.78;Bueno
2025-07-30;15:00;1;3.21;1.17;2.33;Bueno;7.78;Bueno
2025-07-30;16:00;1;2.75;1.17;2.33;Bueno;7.78;Bueno
2025-07-30;17:00;1;2.29;1.17;2.33;Bueno;7.78;Bueno
2025-07-30;18:00;1;2.04;1.17;2.33;Bueno;7.78;Bueno
2025-07-30;19:00;1;1.83;1.17;2.33;Bueno;7.78;Bueno
2025-07-30;20:00;1;1.54;1.17;2.33;Bueno;7.78;Bueno
2025-07-30;21:00;1;1.33;1.17;2.33;Bueno;7.78;Bueno
2025-07-30;22:00;1;1.25;1.17;2.33;Bueno;7.78;Bueno
2025-07-30;23:00;1;1.17;1.17;2.33;Bueno;7.78;Bueno
2025-07-31;00:00;1;1.12;1.42;2.83;Bueno;9.44;Bueno
2025-07-31;01:00;1;1.12;1.42;2.83;Bueno;9.44;Bueno
2025-07-31;02:00;1;1.12;1.42;2.83;Bueno;9.44;Bueno
2025-07-31;03:00;1;1.12;1.42;2.83;Bueno;9.44;Bueno
2025-07-31;04:00;1;1.12;1.42;2.83;Bueno;9.44;Bueno
2025-07-31;05:00;1;1.12;1.42;2.83;Bueno;9.44;Bueno
2025-07-31;06:00;1;1.12;1.42;2.83;Bueno;9.44;Bueno
2025-07-31;07:00;1;1.12;1.42;2.83;Bueno;9.44;Bueno
2025-07-31;08:00;1;1.12;1.42;2.83;Bueno;9.44;Bueno
2025-07-31;09:00;1;1.12;1.42;2.83;Bueno;9.44;Bueno
2025-07-31;10:00;1;1.12;1.42;2.83;Bueno;9.44;Bueno
2025-07-31;11:00;1;1.08;1.42;2.83;Bueno;9.44;Bueno
2025-07-31;12:00;5;1.17;1.42;2.83;Bueno;9.44;Bueno
2025-07-31;13:00;2;1.21;1.42;2.83;Bueno;9.44;Bueno
2025-07-31;14:00;1;1.21;1.42;2.83;Bueno;9.44;Bueno
2025-07-31;15:00;2;1.25;1.42;2.83;Bueno;9.44;Bueno
2025-07-31;16:00;2;1.29;1.42;2.83;Bueno;9.44;Bueno
2025-07-31;17:00;2;1.33;1.42;2.83;Bueno;9.44;Bueno
2025-07-31;18:00;1;1.33;1.42;2.83;Bueno;9.44;Bueno
2025-07-31;19:00;1;1.33;1.42;2.83;Bueno;9.44;Bueno
2025-07-31;20:00;1;1.33;1.42;2.83;Bueno;9.44;Bueno
2025-07-31;21:00;3;1.42;1.42;2.83;Bueno;9.44;Bueno
2025-07-31;22:00;1;1.42;1.42;2.83;Bueno;9.44;Bueno
2025-07-31;23:00;1;1.42;1.42;2.83;Bueno;9.44;Bueno
2025-08-01;00:00;1;1.42;2.04;4.08;Bueno;13.61;Bueno
2025-08-01;01:00;1;1.42;2.04;4.08;Bueno;13.61;Bueno
2025-08-01;02:00;1;1.42;2.04;4.08;Bueno;13.61;Bueno
2025-08-01;03:00;3;1.50;2.04;4.08;Bueno;13.61;Bueno
2025-08-01;04:00;2;1.54;2.04;4.08;Bueno;13.61;Bueno
2025-08-01;05:00;1;1.54;2.04;4.08;Bueno;13.61;Bueno
2025-08-01;06:00;1;1.54;2.04;4.08;Bueno;13.61;Bueno
2025-08-01;07:00;3;1.62;2.04;4.08;Bueno;13.61;Bueno
2025-08-01;08:00;5;1.79;2.04;4.08;Bueno;13.61;Bueno
2025-08-01;09:00;6;2.00;2.04;4.08;Bueno;13.61;Bueno
