Fecha;Hora;ConcentracionMP10;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-28;01:00;2;;29.00;22.31;Bueno;64.44;Bueno
2025-07-28;02:00;2;;29.00;22.31;Bueno;64.44;Bueno
2025-07-28;03:00;2;;29.00;22.31;Bueno;64.44;Bueno
2025-07-28;04:00;4;;29.00;22.31;Bueno;64.44;Bueno
2025-07-28;05:00;4;;29.00;22.31;Bueno;64.44;Bueno
2025-07-28;06:00;3;;29.00;22.31;Bueno;64.44;Bueno
2025-07-28;07:00;3;;29.00;22.31;Bueno;64.44;Bueno
2025-07-28;08:00;4;;29.00;22.31;Bueno;64.44;Bueno
2025-07-28;09:00;7;;29.00;22.31;Bueno;64.44;Bueno
2025-07-28;10:00;7;;29.00;22.31;Bueno;64.44;Bueno
2025-07-28;11:00;9;;29.00;22.31;Bueno;64.44;Bueno
2025-07-28;12:00;9;;29.00;22.31;Bueno;64.44;Bueno
2025-07-28;13:00;6;;29.00;22.31;Bueno;64.44;Bueno
2025-07-28;14:00;14;;29.00;22.31;Bueno;64.44;Bueno
2025-07-28;15:00;11;;29.00;22.31;Bueno;64.44;Bueno
2025-07-28;16:00;10;;29.00;22.31;Bueno;64.44;Bueno
2025-07-28;17:00;13;;29.00;22.31;Bueno;64.44;Bueno
2025-07-28;18:00;50;8.89;29.00;22.31;Bueno;64.44;Bueno
2025-07-28;19:00;162;16.95;29.00;22.31;Bueno;64.44;Bueno
2025-07-28;20:00;103;21.25;29.00;22.31;Bueno;64.44;Bueno
2025-07-28;21:00;71;23.62;29.00;22.31;Bueno;64.44;Bueno
2025-07-28;22:00;78;26.09;29.00;22.31;Bueno;64.44;Bueno
2025-07-28;23:00;93;29.00;29.00;22.31;Bueno;64.44;Bueno
2025-07-29;00:00;37;29.33;23.04;17.72;Bueno;51.20;Bueno
2025-07-29;01:00;27;30.38;23.04;17.72;Bueno;51.20;Bueno
2025-07-29;02:00;15;30.92;23.04;17.72;Bueno;51.20;Bueno
2025-07-29;03:00;25;31.88;23.04;17.72;Bueno;51.20;Bueno
2025-07-29;04:00;7;32.00;23.04;17.72;Bueno;51.20;Bueno
2025-07-29;05:00;7;32.12;23.04;17.72;Bueno;51.20;Bueno
2025-07-29;06:00;15;32.62;23.04;17.72;Bueno;51.20;Bueno
2025-07-29;07:00;37;34.04;23.04;17.72;Bueno;51.20;Bueno
2025-07-29;08:00;25;34.92;23.04;17.72;Bueno;51.20;Bueno
2025-07-29;09:00;23;35.58;23.04;17.72;Bueno;51.20;Bueno
2025-07-29;10:00;29;36.50;23.04;17.72;Bueno;51.20;Bueno
2025-07-29;11:00;11;36.58;23.04;17.72;Bueno;51.20;Bueno
2025-07-29;12:00;9;36.58;23.04;17.72;Bueno;51.20;Bueno
2025-07-29;13:00;19;37.12;23.04;17.72;Bueno;51.20;Bueno
2025-07-29;14:00;24;37.54;23.04;17.72;Bueno;51.20;Bueno
2025-07-29;15:00;29;38.29;23.04;17.72;Bueno;51.20;Bueno
2025-07-29;16:00;38;39.46;23.04;17.72;Bueno;51.20;Bueno
2025-07-29;17:00;56;41.25;23.04;17.72;Bueno;51.20;Bueno
2025-07-29;18:00;32;40.50;23.04;17.72;Bueno;51.20;Bueno
2025-07-29;19:00;35;35.21;23.04;17.72;Bueno;51.20;Bueno
2025-07-29;20:00;22;31.83;23.04;17.72;Bueno;51.20;Bueno
2025-07-29;21:00;14;29.46;23.04;17.72;Bueno;51.20;Bueno
2025-07-29;22:00;8;26.54;23.04;17.72;Bueno;51.20;Bueno
2025-07-29;23:00;9;23.04;23.04;17.72;Bueno;51.20;Bueno
2025-07-30;00:00;11;21.96;5.96;4.58;Bueno;13.24;Bueno
2025-07-30;01:00;9;21.21;5.96;4.58;Bueno;13.24;Bueno
2025-07-30;02:00;5;20.79;5.96;4.58;Bueno;13.24;Bueno
2025-07-30;03:00;2;19.83;5.96;4.58;Bueno;13.24;Bueno
2025-07-30;04:00;2;19.62;5.96;4.58;Bueno;13.24;Bueno
2025-07-30;05:00;2;19.42;5.96;4.58;Bueno;13.24;Bueno
2025-07-30;06:00;2;18.88;5.96;4.58;Bueno;13.24;Bueno
2025-07-30;07:00;2;17.42;5.96;4.58;Bueno;13.24;Bueno
2025-07-30;08:00;6;16.62;5.96;4.58;Bueno;13.24;Bueno
2025-07-30;09:00;6;15.92;5.96;4.58;Bueno;13.24;Bueno
2025-07-30;10:00;2;14.79;5.96;4.58;Bueno;13.24;Bueno
2025-07-30;11:00;11;14.79;5.96;4.58;Bueno;13.24;Bueno
2025-07-30;12:00;8;14.75;5.96;4.58;Bueno;13.24;Bueno
2025-07-30;13:00;5;14.17;5.96;4.58;Bueno;13.24;Bueno
2025-07-30;14:00;8;13.50;5.96;4.58;Bueno;13.24;Bueno
2025-07-30;15:00;6;12.54;5.96;4.58;Bueno;13.24;Bueno
2025-07-30;16:00;4;11.12;5.96;4.58;Bueno;13.24;Bueno
2025-07-30;17:00;10;9.21;5.96;4.58;Bueno;13.24;Bueno
2025-07-30;18:00;8;8.21;5.96;4.58;Bueno;13.24;Bueno
2025-07-30;19:00;9;7.12;5.96;4.58;Bueno;13.24;Bueno
2025-07-30;20:00;8;6.54;5.96;4.58;Bueno;13.24;Bueno
2025-07-30;21:00;5;6.17;5.96;4.58;Bueno;13.24;Bueno
2025-07-30;22:00;7;6.12;5.96;4.58;Bueno;13.24;Bueno
2025-07-30;23:00;5;5.96;5.96;4.58;Bueno;13.24;Bueno
2025-07-31;00:00;7;5.79;14.38;11.06;Bueno;31.94;Bueno
2025-07-31;01:00;5;5.62;14.38;11.06;Bueno;31.94;Bueno
