Fecha;Hora;ConcentracionMP2_5;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-28;01:00;1;;25.70;51.39;Bueno;123.18;Regular
2025-07-28;02:00;1;;25.70;51.39;Bueno;123.18;Regular
2025-07-28;03:00;1;;25.70;51.39;Bueno;123.18;Regular
2025-07-28;04:00;3;;25.70;51.39;Bueno;123.18;Regular
2025-07-28;05:00;3;;25.70;51.39;Bueno;123.18;Regular
2025-07-28;06:00;2;;25.70;51.39;Bueno;123.18;Regular
2025-07-28;07:00;2;;25.70;51.39;Bueno;123.18;Regular
2025-07-28;08:00;3;;25.70;51.39;Bueno;123.18;Regular
2025-07-28;09:00;6;;25.70;51.39;Bueno;123.18;Regular
2025-07-28;10:00;6;;25.70;51.39;Bueno;123.18;Regular
2025-07-28;11:00;7;;25.70;51.39;Bueno;123.18;Regular
2025-07-28;12:00;8;;25.70;51.39;Bueno;123.18;Regular
2025-07-28;13:00;5;;25.70;51.39;Bueno;123.18;Regular
2025-07-28;14:00;13;;25.70;51.39;Bueno;123.18;Regular
2025-07-28;15:00;10;;25.70;51.39;Bueno;123.18;Regular
2025-07-28;16:00;9;;25.70;51.39;Bueno;123.18;Regular
2025-07-28;17:00;12;;25.70;51.39;Bueno;123.18;Regular
2025-07-28;18:00;42;7.44;25.70;51.39;Bueno;123.18;Regular
2025-07-28;19:00;157;15.32;25.70;51.39;Bueno;123.18;Regular
2025-07-28;20:00;86;18.85;25.70;51.39;Bueno;123.18;Regular
2025-07-28;21:00;65;21.05;25.70;51.39;Bueno;123.18;Regular
2025-07-28;22:00;65;23.05;25.70;51.39;Bueno;123.18;Regular
2025-07-28;23:00;84;25.70;25.70;51.39;Bueno;123.18;Regular
2025-07-29;00:00;32;25.96;18.67;37.33;Bueno;107.93;Regular
2025-07-29;01:00;24;26.92;18.67;37.33;Bueno;107.93;Regular
2025-07-29;02:00;12;27.38;18.67;37.33;Bueno;107.93;Regular
2025-07-29;03:00;24;28.33;18.67;37.33;Bueno;107.93;Regular
2025-07-29;04:00;6;28.46;18.67;37.33;Bueno;107.93;Regular
2025-07-29;05:00;6;28.58;18.67;37.33;Bueno;107.93;Regular
2025-07-29;06:00;9;28.88;18.67;37.33;Bueno;107.93;Regular
2025-07-29;07:00;34;30.21;18.67;37.33;Bueno;107.93;Regular
2025-07-29;08:00;21;30.96;18.67;37.33;Bueno;107.93;Regular
2025-07-29;09:00;22;31.62;18.67;37.33;Bueno;107.93;Regular
2025-07-29;10:00;25;32.42;18.67;37.33;Bueno;107.93;Regular
2025-07-29;11:00;9;32.50;18.67;37.33;Bueno;107.93;Regular
2025-07-29;12:00;7;32.46;18.67;37.33;Bueno;107.93;Regular
2025-07-29;13:00;17;32.96;18.67;37.33;Bueno;107.93;Regular
2025-07-29;14:00;19;33.21;18.67;37.33;Bueno;107.93;Regular
2025-07-29;15:00;27;33.92;18.67;37.33;Bueno;107.93;Regular
2025-07-29;16:00;32;34.88;18.67;37.33;Bueno;107.93;Regular
2025-07-29;17:00;46;36.29;18.67;37.33;Bueno;107.93;Regular
2025-07-29;18:00;20;35.38;18.67;37.33;Bueno;107.93;Regular
2025-07-29;19:00;22;29.75;18.67;37.33;Bueno;107.93;Regular
2025-07-29;20:00;15;26.79;18.67;37.33;Bueno;107.93;Regular
2025-07-29;21:00;7;24.38;18.67;37.33;Bueno;107.93;Regular
2025-07-29;22:00;7;21.96;18.67;37.33;Bueno;107.93;Regular
2025-07-29;23:00;5;18.67;18.67;37.33;Bueno;107.93;Regular
2025-07-30;00:00;6;17.58;4.75;9.50;Bueno;31.67;Bueno
2025-07-30;01:00;8;16.92;4.75;9.50;Bueno;31.67;Bueno
2025-07-30;02:00;4;16.58;4.75;9.50;Bueno;31.67;Bueno
2025-07-30;03:00;1;15.62;4.75;9.50;Bueno;31.67;Bueno
2025-07-30;04:00;1;15.42;4.75;9.50;Bueno;31.67;Bueno
2025-07-30;05:00;1;15.21;4.75;9.50;Bueno;31.67;Bueno
2025-07-30;06:00;1;14.88;4.75;9.50;Bueno;31.67;Bueno
2025-07-30;07:00;1;13.50;4.75;9.50;Bueno;31.67;Bueno
2025-07-30;08:00;5;12.83;4.75;9.50;Bueno;31.67;Bueno
2025-07-30;09:00;5;12.12;4.75;9.50;Bueno;31.67;Bueno
2025-07-30;10:00;1;11.12;4.75;9.50;Bueno;31.67;Bueno
2025-07-30;11:00;10;11.17;4.75;9.50;Bueno;31.67;Bueno
2025-07-30;12:00;7;11.17;4.75;9.50;Bueno;31.67;Bueno
2025-07-30;13:00;4;10.62;4.75;9.50;Bueno;31.67;Bueno
2025-07-30;14:00;7;10.12;4.75;9.50;Bueno;31.67;Bueno
2025-07-30;15:00;4;9.17;4.75;9.50;Bueno;31.67;Bueno
2025-07-30;16:00;3;7.96;4.75;9.50;Bueno;31.67;Bueno
2025-07-30;17:00;9;6.42;4.75;9.50;Bueno;31.67;Bueno
2025-07-30;18:00;7;5.88;4.75;9.50;Bueno;31.67;Bueno
2025-07-30;19:00;8;5.29;4.75;9.50;Bueno;31.67;Bueno
2025-07-30;20:00;7;4.96;4.75;9.50;Bueno;31.67;Bueno
2025-07-30;21:00;4;4.83;4.75;9.50;Bueno;31.67;Bueno
2025-07-30;22:00;6;4.79;4.75;9.50;Bueno;31.67;Bueno
2025-07-30;23:00;4;4.75;4.75;9.50;Bueno;31.67;Bueno
2025-07-31;00:00;6;4.75;7.04;14.08;Bueno;46.94;Bueno
2025-07-31;01:00;4;4.58;7.04;14.08;Bueno;46.94;Bueno
2025-07-31;02:00;1;4.46;7.04;14.08;Bueno;46.94;Bueno
2025-07-31;03:00;1;4.46;7.04;14.08;Bueno;46.94;Bueno
2025-07-31;04:00;1;4.46;7.04;14.08;Bueno;46.94;Bueno
2025-07-31;05:00;2;4.50;7.04;14.08;Bueno;46.94;Bueno
2025-07-31;06:00;3;4.58;7.04;14.08;Bueno;46.94;Bueno
2025-07-31;07:00;2;4.62;7.04;14.08;Bueno;46.94;Bueno
2025-07-31;08:00;2;4.50;7.04;14.08;Bueno;46.94;Bueno
2025-07-31;09:00;2;4.38;7.04;14.08;Bueno;46.94;Bueno
2025-07-31;10:00;5;4.54;7.04;14.08;Bueno;46.94;Bueno
2025-07-31;11:00;10;4.54;7.04;14.08;Bueno;46.94;Bueno
2025-07-31;12:00;8;4.58;7.04;14.08;Bueno;46.94;Bueno
2025-07-31;13:00;17;5.12;7.04;14.08;Bueno;46.94;Bueno
2025-07-31;14:00;9;5.21;7.04;14.08;Bueno;46.94;Bueno
2025-07-31;15:00;9;5.42;7.04;14.08;Bueno;46.94;Bueno
2025-07-31;16:00;8;5.62;7.04;14.08;Bueno;46.94;Bueno
2025-07-31;17:00;12;5.75;7.04;14.08;Bueno;46.94;Bueno
2025-07-31;18:00;13;6.00;7.04;14.08;Bueno;46.94;Bueno
2025-07-31;19:00;13;6.21;7.04;14.08;Bueno;46.94;Bueno
2025-07-31;20:00;10;6.33;7.04;14.08;Bueno;46.94;Bueno
2025-07-31;21:00;13;6.71;7.04;14.08;Bueno;46.94;Bueno
2025-07-31;22:00;10;6.88;7.04;14.08;Bueno;46.94;Bueno
2025-07-31;23:00;8;7.04;7.04;14.08;Bueno;46.94;Bueno
2025-08-01;00:00;4;6.96;9.33;18.67;Bueno;62.22;Bueno
