Fecha;Hora;ConcentracionMP10;PromedioMovil24h_MP10;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;ConcentracionMP2_5;PromedioMovil24h_MP2_5;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-28;01:00;6;;30.91;23.78;Bueno;68.70;Bueno;4;;27.78;55.57;Bueno;127.72;Regular;Bueno;Regular
2025-07-28;02:00;5;;30.91;23.78;Bueno;68.70;Bueno;4;;27.78;55.57;Bueno;127.72;Regular;Bueno;Regular
2025-07-28;03:00;3;;30.91;23.78;Bueno;68.70;Bueno;2;;27.78;55.57;Bueno;127.72;Regular;Bueno;Regular
2025-07-28;04:00;4;;30.91;23.78;Bueno;68.70;Bueno;2;;27.78;55.57;Bueno;127.72;Regular;Bueno;Regular
2025-07-28;05:00;4;;30.91;23.78;Bueno;68.70;Bueno;1;;27.78;55.57;Bueno;127.72;Regular;Bueno;Regular
2025-07-28;06:00;6;;30.91;23.78;Bueno;68.70;Bueno;3;;27.78;55.57;Bueno;127.72;Regular;Bueno;Regular
2025-07-28;07:00;5;;30.91;23.78;Bueno;68.70;Bueno;3;;27.78;55.57;Bueno;127.72;Regular;Bueno;Regular
2025-07-28;08:00;14;;30.91;23.78;Bueno;68.70;Bueno;12;;27.78;55.57;Bueno;127.72;Regular;Bueno;Regular
2025-07-28;09:00;18;;30.91;23.78;Bueno;68.70;Bueno;12;;27.78;55.57;Bueno;127.72;Regular;Bueno;Regular
2025-07-28;10:00;22;;30.91;23.78;Bueno;68.70;Bueno;21;;27.78;55.57;Bueno;127.72;Regular;Bueno;Regular
2025-07-28;11:00;22;;30.91;23.78;Bueno;68.70;Bueno;15;;27.78;55.57;Bueno;127.72;Regular;Bueno;Regular
2025-07-28;12:00;19;;30.91;23.78;Bueno;68.70;Bueno;14;;27.78;55.57;Bueno;127.72;Regular;Bueno;Regular
2025-07-28;13:00;21;;30.91;23.78;Bueno;68.70;Bueno;17;;27.78;55.57;Bueno;127.72;Regular;Bueno;Regular
2025-07-28;14:00;21;;30.91;23.78;Bueno;68.70;Bueno;18;;27.78;55.57;Bueno;127.72;Regular;Bueno;Regular
2025-07-28;15:00;24;;30.91;23.78;Bueno;68.70;Bueno;18;;27.78;55.57;Bueno;127.72;Regular;Bueno;Regular
2025-07-28;16:00;44;;30.91;23.78;Bueno;68.70;Bueno;42;;27.78;55.57;Bueno;127.72;Regular;Bueno;Regular
2025-07-28;17:00;47;;30.91;23.78;Bueno;68.70;Bueno;40;;27.78;55.57;Bueno;127.72;Regular;Bueno;Regular
