Fecha;Hora;ConcentracionMP10;PromedioMovil24h_MP10;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;ConcentracionMP2_5;PromedioMovil24h_MP2_5;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-28;01:00;;;;;;;;3;;15.48;30.96;Bueno;101.03;Regular;Bueno;Regular
2025-07-28;02:00;;;;;;;;1;;15.48;30.96;Bueno;101.03;Regular;Bueno;Regular
2025-07-28;03:00;;;;;;;;1;;15.48;30.96;Bueno;101.03;Regular;Bueno;Regular
2025-07-28;04:00;;;;;;;;1;;15.48;30.96;Bueno;101.03;Regular;Bueno;Regular
2025-07-28;05:00;;;;;;;;1;;15.48;30.96;Bueno;101.03;Regular;Bueno;Regular
2025-07-28;06:00;;;;;;;;1;;15.48;30.96;Bueno;101.03;Regular;Bueno;Regular
2025-07-28;07:00;;;;;;;;4;;15.48;30.96;Bueno;101.03;Regular;Bueno;Regular
2025-07-28;08:00;;;;;;;;4;;15.48;30.96;Bueno;101.03;Regular;Bueno;Regular
2025-07-28;09:00;;;;;;;;4;;15.48;30.96;Bueno;101.03;Regular;Bueno;Regular
2025-07-28;10:00;;;;;;;;8;;15.48;30.96;Bueno;101.03;Regular;Bueno;Regular
2025-07-28;11:00;;;;;;;;8;;15.48;30.96;Bueno;101.03;Regular;Bueno;Regular
2025-07-28;12:00;;;;;;;;16;;15.48;30.96;Bueno;101.03;Regular;Bueno;Regular
2025-07-28;13:00;;;;;;;;15;;15.48;30.96;Bueno;101.03;Regular;Bueno;Regular
2025-07-28;14:00;;;;;;;;18;;15.48;30.96;Bueno;101.03;Regular;Bueno;Regular
2025-07-28;15:00;;;;;;;;25;;15.48;30.96;Bueno;101.03;Regular;Bueno;Regular
2025-07-28;16:00;;;;;;;;30;;15.48;30.96;Bueno;101.03;Regular;Bueno;Regular
2025-07-28;17:00;;;;;;;;25;;15.48;30.96;Bueno;101.03;Regular;Bueno;Regular
2025-07-28;18:00;;;;;;;;42;11.50;15.48;30.96;Bueno;101.03;Regular;Bueno;Regular
2025-07-28;19:00;;;;;;;;43;13.16;15.48;30.96;Bueno;101.03;Regular;Bueno;Regular
2025-07-28;20:00;;;;;;;;23;13.65;15.48;30.96;Bueno;101.03;Regular;Bueno;Regular
2025-07-28;21:00;;;;;;;;35;14.67;15.48;30.96;Bueno;101.03;Regular;Bueno;Regular
2025-07-28;22:00;;;;;;;;19;14.86;15.48;30.96;Bueno;101.03;Regular;Bueno;Regular
2025-07-28;23:00;;;;;;;;29;15.48;15.48;30.96;Bueno;101.03;Regular;Bueno;Regular
2025-07-29;00:00;;;;;;;;14;15.42;27.43;54.87;Bueno;126.96;Regular;Bueno;Regular
