Fecha;Hora;ConcentracionMP10;PromedioMovil24h_MP10;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;ConcentracionMP2_5;PromedioMovil24h_MP2_5;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-28;01:00;7;;6.65;5.12;Bueno;14.78;Bueno;1;;1.50;3.00;Bueno;10.00;Bueno;Bueno;Bueno
2025-07-28;02:00;7;;6.65;5.12;Bueno;14.78;Bueno;1;;1.50;3.00;Bueno;10.00;Bueno;Bueno;Bueno
2025-07-28;03:00;2;;6.65;5.12;Bueno;14.78;Bueno;1;;1.50;3.00;Bueno;10.00;Bueno;Bueno;Bueno
2025-07-28;04:00;2;;6.65;5.12;Bueno;14.78;Bueno;1;;1.50;3.00;Bueno;10.00;Bueno;Bueno;Bueno
2025-07-28;05:00;3;;6.65;5.12;Bueno;14.78;Bueno;1;;1.50;3.00;Bueno;10.00;Bueno;Bueno;Bueno
2025-07-28;06:00;4;;6.65;5.12;Bueno;14.78;Bueno;1;;1.50;3.00;Bueno;10.00;Bueno;Bueno;Bueno
2025-07-28;07:00;3;;6.65;5.12;Bueno;14.78;Bueno;1;;1.50;3.00;Bueno;10.00;Bueno;Bueno;Bueno
2025-07-28;08:00;3;;6.65;5.12;Bueno;14.78;Bueno;1;;1.50;3.00;Bueno;10.00;Bueno;Bueno;Bueno
2025-07-28;09:00;7;;6.65;5.12;Bueno;14.78;Bueno;1;;1.50;3.00;Bueno;10.00;Bueno;Bueno;Bueno
2025-07-28;10:00;;;6.65;5.12;Bueno;14.78;Bueno;;;1.50;3.00;Bueno;10.00;Bueno;Bueno;Bueno
2025-07-28;11:00;;;6.65;5.12;Bueno;14.78;Bueno;;;1.50;3.00;Bueno;10.00;Bueno;Bueno;Bueno
2025-07-28;12:00;;;6.65;5.12;Bueno;14.78;Bueno;;;1.50;3.00;Bueno;10.00;Bueno;Bueno;Bueno
2025-07-28;13:00;17;;6.65;5.12;Bueno;14.78;Bueno;3;;1.50;3.00;Bueno;10.00;Bueno;Bueno;Bueno
