Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-28;6.65;5.12;Bueno;14.78;Bueno;1.50;3.00;Bueno;10.00;Bueno;Bueno;Bueno
2025-07-29;22.88;17.60;Bueno;50.83;Bueno;9.62;19.25;Bueno;64.17;Bueno;Bueno;Bueno
2025-07-30;9.67;7.44;Bueno;21.48;Bueno;2.71;5.42;Bueno;18.06;Bueno;Bueno;Bueno
2025-07-31;14.00;10.77;Bueno;31.11;Bueno;3.75;7.50;Bueno;25.00;Bueno;Bueno;Bueno
2025-08-01;22.54;17.34;Bueno;50.09;Bueno;9.08;18.17;Bueno;60.56;Bueno;Bueno;Bueno
2025-08-02;23.58;18.14;Bueno;52.41;Bueno;12.17;24.33;Bueno;81.11;Bueno;Bueno;Bueno
2025-08-03;13.83;10.64;Bueno;30.74;Bueno;8.21;16.42;Bueno;54.72;Bueno;Bueno;Bueno
2025-08-04;66.62;51.25;Bueno;135.55;Regular;30.71;61.42;Bueno;134.10;Regular;Bueno;Regular
2025-08-05;44.92;34.55;Bueno;99.81;Bueno;22.33;44.67;Bueno;115.88;Regular;Bueno;Regular
2025-08-06;30.62;23.56;Bueno;68.06;Bueno;12.54;25.08;Bueno;83.61;Bueno;Bueno;Bueno
2025-08-07;41.21;31.70;Bueno;91.57;Bueno;20.42;40.83;Bueno;111.72;Regular;Bueno;Regular
2025-08-08;53.92;41.47;Bueno;114.62;Regular;28.17;56.33;Bueno;128.56;Regular;Bueno;Regular
2025-08-09;21.67;16.67;Bueno;48.15;Bueno;9.83;19.67;Bueno;65.56;Bueno;Bueno;Bueno
2025-08-10;21.29;16.38;Bueno;47.31;Bueno;10.88;21.75;Bueno;72.50;Bueno;Bueno;Bueno
2025-08-11;22.62;17.40;Bueno;50.28;Bueno;10.42;20.83;Bueno;69.44;Bueno;Bueno;Bueno
2025-08-12;26.12;20.10;Bueno;58.06;Bueno;10.38;20.75;Bueno;69.17;Bueno;Bueno;Bueno
2025-08-13;54.12;41.63;Bueno;114.96;Regular;26.17;52.33;Bueno;124.20;Regular;Bueno;Regular
2025-08-14;50.62;38.94;Bueno;109.22;Regular;25.88;51.75;Bueno;123.57;Regular;Bueno;Regular
2025-08-15;19.17;14.74;Bueno;42.59;Bueno;9.00;18.00;Bueno;60.00;Bueno;Bueno;Bueno
2025-08-16;13.88;10.67;Bueno;30.83;Bueno;4.62;9.25;Bueno;30.83;Bueno;Bueno;Bueno
2025-08-17;26.50;20.38;Bueno;58.89;Bueno;15.46;30.92;Bueno;100.99;Regular;Bueno;Regular
2025-08-18;35.29;27.15;Bueno;78.43;Bueno;19.58;39.17;Bueno;109.91;Regular;Bueno;Regular
2025-08-19;22.88;17.60;Bueno;50.83;Bueno;10.29;20.58;Bueno;68.61;Bueno;Bueno;Bueno
2025-08-20;16.04;12.34;Bueno;35.65;Bueno;5.83;11.65;Bueno;38.84;Bueno;Bueno;Bueno
2025-08-21;25.00;19.23;Bueno;55.56;Bueno;14.58;29.17;Bueno;97.22;Bueno;Bueno;Bueno
2025-08-22;15.12;11.63;Bueno;33.61;Bueno;7.00;14.00;Bueno;46.67;Bueno;Bueno;Bueno
2025-08-23;10.83;8.33;Bueno;24.07;Bueno;3.79;7.58;Bueno;25.28;Bueno;Bueno;Bueno
2025-08-24;22.00;16.92;Bueno;48.89;Bueno;10.58;21.17;Bueno;70.56;Bueno;Bueno;Bueno
2025-08-25;27.54;21.19;Bueno;61.20;Bueno;11.88;23.75;Bueno;79.17;Bueno;Bueno;Bueno
2025-08-26;55.29;42.53;Bueno;116.88;Regular;20.33;40.67;Bueno;111.54;Regular;Bueno;Regular
2025-08-27;44.36;34.13;Bueno;98.59;Bueno;18.39;36.78;Bueno;107.33;Regular;Bueno;Regular
2025-08-28;31.96;24.58;Bueno;71.02;Bueno;17.96;35.92;Bueno;106.40;Regular;Bueno;Regular
2025-08-29;30.83;23.72;Bueno;68.52;Bueno;15.50;31.00;Bueno;101.08;Regular;Bueno;Regular
2025-08-30;46.21;35.54;Bueno;101.98;Regular;23.67;47.33;Bueno;118.77;Regular;Bueno;Regular
2025-08-31;24.71;19.01;Bueno;54.91;Bueno;12.96;25.92;Bueno;86.39;Bueno;Bueno;Bueno
2025-09-01;26.88;20.67;Bueno;59.72;Bueno;15.50;31.00;Bueno;101.08;Regular;Bueno;Regular
2025-09-02;20.42;15.71;Bueno;45.37;Bueno;8.42;16.83;Bueno;56.11;Bueno;Bueno;Bueno
2025-09-03;20.62;15.87;Bueno;45.83;Bueno;6.79;13.58;Bueno;45.28;Bueno;Bueno;Bueno
2025-09-04;30.08;23.14;Bueno;66.85;Bueno;13.29;26.58;Bueno;88.61;Bueno;Bueno;Bueno
2025-09-05;44.38;34.13;Bueno;98.61;Bueno;17.67;35.33;Bueno;105.76;Regular;Bueno;Regular
2025-09-06;26.46;20.35;Bueno;58.80;Bueno;10.12;20.25;Bueno;67.50;Bueno;Bueno;Bueno
2025-09-07;9.75;7.50;Bueno;21.67;Bueno;2.79;5.58;Bueno;18.61;Bueno;Bueno;Bueno
2025-09-08;12.67;9.74;Bueno;28.15;Bueno;1.50;3.00;Bueno;10.00;Bueno;Bueno;Bueno
2025-09-09;14.05;10.80;Bueno;31.21;Bueno;3.24;6.48;Bueno;21.59;Bueno;Bueno;Bueno
2025-09-10;46.38;35.67;Bueno;102.25;Regular;16.12;32.25;Bueno;102.43;Regular;Bueno;Regular
2025-09-11;38.83;29.87;Bueno;86.30;Bueno;13.08;26.17;Bueno;87.22;Bueno;Bueno;Bueno
2025-09-12;25.00;19.23;Bueno;55.56;Bueno;8.88;17.75;Bueno;59.17;Bueno;Bueno;Bueno
2025-09-13;24.46;18.81;Bueno;54.35;Bueno;7.71;15.42;Bueno;51.39;Bueno;Bueno;Bueno
2025-09-14;28.79;22.15;Bueno;63.98;Bueno;6.83;13.67;Bueno;45.56;Bueno;Bueno;Bueno
2025-09-15;35.00;26.92;Bueno;77.78;Bueno;10.38;20.75;Bueno;69.17;Bueno;Bueno;Bueno
2025-09-16;39.54;30.42;Bueno;87.87;Bueno;10.50;21.00;Bueno;70.00;Bueno;Bueno;Bueno
2025-09-17;13.62;10.48;Bueno;30.28;Bueno;4.29;8.58;Bueno;28.61;Bueno;Bueno;Bueno
2025-09-18;15.04;11.57;Bueno;33.43;Bueno;5.17;10.33;Bueno;34.44;Bueno;Bueno;Bueno
2025-09-19;12.17;9.36;Bueno;27.04;Bueno;3.42;6.83;Bueno;22.78;Bueno;Bueno;Bueno
2025-09-20;14.83;11.41;Bueno;32.96;Bueno;4.96;9.92;Bueno;33.06;Bueno;Bueno;Bueno
2025-09-21;19.88;15.29;Bueno;44.17;Bueno;6.12;12.25;Bueno;40.83;Bueno;Bueno;Bueno
2025-09-22;18.42;14.17;Bueno;40.93;Bueno;5.42;10.83;Bueno;36.11;Bueno;Bueno;Bueno
2025-09-23;26.08;20.06;Bueno;57.96;Bueno;9.17;18.33;Bueno;61.11;Bueno;Bueno;Bueno
2025-09-24;42.04;32.34;Bueno;93.43;Bueno;13.50;27.00;Bueno;90.00;Bueno;Bueno;Bueno
