Fecha;Hora;ConcentracionMP10;PromedioMovil24h_MP10;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;ConcentracionMP2_5;PromedioMovil24h_MP2_5;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-28;01:00;11;;12.91;9.93;Bueno;28.69;Bueno;1;;6.36;12.73;Bueno;42.42;Bueno;Bueno;Bueno
2025-07-28;02:00;9;;12.91;9.93;Bueno;28.69;Bueno;1;;6.36;12.73;Bueno;42.42;Bueno;Bueno;Bueno
2025-07-28;03:00;8;;12.91;9.93;Bueno;28.69;Bueno;1;;6.36;12.73;Bueno;42.42;Bueno;Bueno;Bueno
2025-07-28;04:00;5;;12.91;9.93;Bueno;28.69;Bueno;1;;6.36;12.73;Bueno;42.42;Bueno;Bueno;Bueno
2025-07-28;05:00;3;;12.91;9.93;Bueno;28.69;Bueno;1;;6.36;12.73;Bueno;42.42;Bueno;Bueno;Bueno
2025-07-28;06:00;8;;12.91;9.93;Bueno;28.69;Bueno;1;;6.36;12.73;Bueno;42.42;Bueno;Bueno;Bueno
2025-07-28;07:00;6;;12.91;9.93;Bueno;28.69;Bueno;1;;6.36;12.73;Bueno;42.42;Bueno;Bueno;Bueno
2025-07-28;08:00;4;;12.91;9.93;Bueno;28.69;Bueno;2;;6.36;12.73;Bueno;42.42;Bueno;Bueno;Bueno
2025-07-28;09:00;4;;12.91;9.93;Bueno;28.69;Bueno;1;;6.36;12.73;Bueno;42.42;Bueno;Bueno;Bueno
2025-07-28;10:00;5;;12.91;9.93;Bueno;28.69;Bueno;1;;6.36;12.73;Bueno;42.42;Bueno;Bueno;Bueno
2025-07-28;11:00;9;;12.91;9.93;Bueno;28.69;Bueno;5;;6.36;12.73;Bueno;42.42;Bueno;Bueno;Bueno
