Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-28;12.91;9.93;Bueno;28.69;Bueno;6.36;12.73;Bueno;42.42;Bueno;Bueno;Bueno
2025-07-29;31.71;24.39;Bueno;70.46;Bueno;16.21;32.42;Bueno;102.61;Regular;Bueno;Regular
2025-07-30;7.25;5.58;Bueno;16.11;Bueno;2.75;5.50;Bueno;18.33;Bueno;Bueno;Bueno
2025-07-31;17.74;13.65;Bueno;39.42;Bueno;4.96;9.91;Bueno;33.04;Bueno;Bueno;Bueno
2025-08-01;16.67;12.82;Bueno;37.04;Bueno;6.29;12.58;Bueno;41.94;Bueno;Bueno;Bueno
2025-08-02;44.92;34.55;Bueno;99.81;Bueno;33.67;67.33;Bueno;140.56;Regular;Bueno;Regular
2025-08-03;;;;;;;;;;;;
2025-08-04;55.58;42.76;Bueno;117.36;Regular;31.17;62.33;Bueno;135.10;Regular;Bueno;Regular
2025-08-05;71.22;54.78;Bueno;143.14;Regular;45.61;91.22;Bueno;166.76;Regular;Bueno;Regular
2025-08-06;19.57;15.05;Bueno;43.48;Bueno;9.13;18.26;Bueno;60.87;Bueno;Bueno;Bueno
2025-08-07;35.26;27.12;Bueno;78.36;Bueno;17.43;34.87;Bueno;105.26;Regular;Bueno;Regular
2025-08-08;58.91;45.32;Bueno;122.84;Regular;31.13;62.26;Bueno;135.02;Regular;Bueno;Regular
2025-08-09;19.74;15.18;Bueno;43.86;Bueno;9.83;19.65;Bueno;65.51;Bueno;Bueno;Bueno
2025-08-10;21.27;16.36;Bueno;47.27;Bueno;12.14;24.27;Bueno;80.91;Bueno;Bueno;Bueno
2025-08-11;24.39;18.76;Bueno;54.20;Bueno;11.70;23.39;Bueno;77.97;Bueno;Bueno;Bueno
