Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-28;27.22;20.94;Bueno;60.48;Bueno;23.22;46.43;Bueno;117.79;Regular;Bueno;Regular
2025-07-29;32.79;25.22;Bueno;72.87;Bueno;26.88;53.75;Bueno;125.74;Regular;Bueno;Regular
2025-07-30;13.08;10.06;Bueno;29.07;Bueno;10.88;21.75;Bueno;72.50;Bueno;Bueno;Bueno
2025-07-31;11.75;9.04;Bueno;26.11;Bueno;6.83;13.67;Bueno;45.56;Bueno;Bueno;Bueno
2025-08-01;13.88;10.67;Bueno;30.83;Bueno;10.50;21.00;Bueno;70.00;Bueno;Bueno;Bueno
2025-08-02;27.75;21.35;Bueno;61.67;Bueno;23.62;47.25;Bueno;118.68;Regular;Bueno;Regular
2025-08-03;31.25;24.04;Bueno;69.44;Bueno;27.62;55.25;Bueno;127.38;Regular;Bueno;Regular
2025-08-04;39.46;30.35;Bueno;87.69;Bueno;32.67;65.33;Bueno;138.37;Regular;Bueno;Regular
2025-08-05;38.08;29.29;Bueno;84.63;Bueno;32.54;65.08;Bueno;138.10;Regular;Bueno;Regular
2025-08-06;27.08;20.83;Bueno;60.19;Bueno;22.58;45.17;Bueno;116.42;Regular;Bueno;Regular
2025-08-07;30.50;23.46;Bueno;67.78;Bueno;25.71;51.42;Bueno;123.21;Regular;Bueno;Regular
2025-08-08;45.08;34.68;Bueno;100.14;Regular;40.00;80.00;Bueno;154.43;Regular;Bueno;Regular
2025-08-09;49.46;38.04;Bueno;107.30;Regular;44.54;89.08;Bueno;164.41;Regular;Bueno;Regular
2025-08-10;45.71;35.16;Bueno;101.16;Regular;41.17;82.33;Bueno;156.99;Regular;Bueno;Regular
2025-08-11;24.38;18.75;Bueno;54.17;Bueno;21.29;42.58;Bueno;113.62;Regular;Bueno;Regular
2025-08-12;21.96;16.89;Bueno;48.80;Bueno;17.04;34.08;Bueno;104.41;Regular;Bueno;Regular
2025-08-13;35.71;27.47;Bueno;79.35;Bueno;29.58;59.17;Bueno;131.64;Regular;Bueno;Regular
2025-08-14;34.71;26.70;Bueno;77.13;Bueno;27.17;54.33;Bueno;126.38;Regular;Bueno;Regular
2025-08-15;36.92;28.40;Bueno;82.04;Bueno;30.67;61.33;Bueno;134.01;Regular;Bueno;Regular
2025-08-16;31.92;24.55;Bueno;70.93;Bueno;26.42;52.83;Bueno;124.75;Regular;Bueno;Regular
2025-08-17;35.58;27.37;Bueno;79.07;Bueno;30.17;60.33;Bueno;132.92;Regular;Bueno;Regular
2025-08-18;27.42;21.09;Bueno;60.93;Bueno;22.42;44.83;Bueno;116.06;Regular;Bueno;Regular
2025-08-19;22.21;17.08;Bueno;49.35;Bueno;17.38;34.75;Bueno;105.13;Regular;Bueno;Regular
2025-08-20;16.04;12.34;Bueno;35.65;Bueno;12.50;25.00;Bueno;83.33;Bueno;Bueno;Bueno
2025-08-21;15.46;11.89;Bueno;34.35;Bueno;12.25;24.50;Bueno;81.67;Bueno;Bueno;Bueno
2025-08-22;14.88;11.44;Bueno;33.06;Bueno;11.38;22.75;Bueno;75.83;Bueno;Bueno;Bueno
2025-08-23;26.33;20.26;Bueno;58.52;Bueno;23.25;46.50;Bueno;117.86;Regular;Bueno;Regular
2025-08-24;19.50;15.00;Bueno;43.33;Bueno;15.33;30.67;Bueno;100.72;Regular;Bueno;Regular
2025-08-25;24.92;19.17;Bueno;55.37;Bueno;20.08;40.17;Bueno;111.00;Regular;Bueno;Regular
2025-08-26;31.92;24.55;Bueno;70.93;Bueno;25.71;51.42;Bueno;123.21;Regular;Bueno;Regular
2025-08-27;43.83;33.72;Bueno;97.41;Bueno;36.62;73.25;Bueno;147.03;Regular;Bueno;Regular
2025-08-28;25.70;19.77;Bueno;57.10;Bueno;20.64;41.27;Bueno;112.19;Regular;Bueno;Regular
2025-08-29;48.21;37.08;Bueno;105.25;Regular;40.71;81.42;Bueno;155.99;Regular;Bueno;Regular
2025-08-30;46.58;35.83;Bueno;102.59;Regular;41.67;83.33;Bueno;158.09;Regular;Bueno;Regular
2025-08-31;32.21;24.78;Bueno;71.57;Bueno;28.42;56.83;Bueno;129.10;Regular;Bueno;Regular
2025-09-01;21.67;16.67;Bueno;48.15;Bueno;17.46;34.92;Bueno;105.31;Regular;Bueno;Regular
2025-09-02;20.25;15.58;Bueno;45.00;Bueno;16.92;33.83;Bueno;104.14;Regular;Bueno;Regular
2025-09-03;20.46;15.74;Bueno;45.46;Bueno;16.79;33.58;Bueno;103.87;Regular;Bueno;Regular
2025-09-04;35.46;27.28;Bueno;78.80;Bueno;29.46;58.92;Bueno;131.37;Regular;Bueno;Regular
2025-09-05;48.21;37.08;Bueno;105.25;Regular;41.04;82.08;Bueno;156.72;Regular;Bueno;Regular
2025-09-06;42.38;32.60;Bueno;94.17;Bueno;33.08;66.17;Bueno;139.28;Regular;Bueno;Regular
2025-09-07;17.96;13.81;Bueno;39.91;Bueno;15.50;31.00;Bueno;101.08;Regular;Bueno;Regular
2025-09-08;15.00;11.54;Bueno;33.33;Bueno;10.33;20.67;Bueno;68.89;Bueno;Bueno;Bueno
2025-09-09;7.71;5.93;Bueno;17.13;Bueno;4.21;8.42;Bueno;28.06;Bueno;Bueno;Bueno
2025-09-10;28.75;22.12;Bueno;63.89;Bueno;18.58;37.17;Bueno;107.75;Regular;Bueno;Regular
2025-09-11;27.04;20.80;Bueno;60.09;Bueno;20.21;40.42;Bueno;111.27;Regular;Bueno;Regular
2025-09-12;22.25;17.12;Bueno;49.44;Bueno;17.58;35.17;Bueno;105.58;Regular;Bueno;Regular
2025-09-13;18.54;14.26;Bueno;41.20;Bueno;13.29;26.58;Bueno;88.61;Bueno;Bueno;Bueno
2025-09-14;20.00;15.38;Bueno;44.44;Bueno;12.38;24.75;Bueno;82.50;Bueno;Bueno;Bueno
2025-09-15;22.46;17.28;Bueno;49.91;Bueno;14.58;29.17;Bueno;97.22;Bueno;Bueno;Bueno
2025-09-16;27.96;21.51;Bueno;62.13;Bueno;19.62;39.25;Bueno;110.00;Regular;Bueno;Regular
2025-09-17;25.12;19.33;Bueno;55.83;Bueno;19.29;38.58;Bueno;109.28;Regular;Bueno;Regular
2025-09-18;14.79;11.38;Bueno;32.87;Bueno;12.54;25.08;Bueno;83.61;Bueno;Bueno;Bueno
2025-09-19;13.62;10.48;Bueno;30.28;Bueno;9.71;19.42;Bueno;64.72;Bueno;Bueno;Bueno
2025-09-20;12.62;9.71;Bueno;28.06;Bueno;10.00;20.00;Bueno;66.67;Bueno;Bueno;Bueno
2025-09-21;13.08;10.06;Bueno;29.07;Bueno;9.25;18.50;Bueno;61.67;Bueno;Bueno;Bueno
2025-09-22;12.29;9.45;Bueno;27.30;Bueno;9.23;18.45;Bueno;61.52;Bueno;Bueno;Bueno
2025-09-23;14.62;11.25;Bueno;32.50;Bueno;9.92;19.83;Bueno;66.11;Bueno;Bueno;Bueno
2025-09-24;20.79;15.99;Bueno;46.20;Bueno;13.54;27.08;Bueno;90.28;Bueno;Bueno;Bueno
2025-09-25;14.62;11.25;Bueno;32.50;Bueno;10.04;20.08;Bueno;66.94;Bueno;Bueno;Bueno
2025-09-26;15.38;11.83;Bueno;34.17;Bueno;9.21;18.42;Bueno;61.39;Bueno;Bueno;Bueno
2025-09-27;14.62;11.25;Bueno;32.50;Bueno;10.00;20.00;Bueno;66.67;Bueno;Bueno;Bueno
2025-09-28;17.96;13.81;Bueno;39.91;Bueno;13.62;27.25;Bueno;90.83;Bueno;Bueno;Bueno
2025-09-29;22.17;17.05;Bueno;49.26;Bueno;14.50;29.00;Bueno;96.67;Bueno;Bueno;Bueno
2025-09-30;21.83;16.79;Bueno;48.52;Bueno;15.50;31.00;Bueno;101.08;Regular;Bueno;Regular
