Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-28;14.48;11.14;Bueno;32.17;Bueno;10.39;20.78;Bueno;69.28;Bueno;Bueno;Bueno
2025-07-29;22.52;17.33;Bueno;50.05;Bueno;16.81;33.62;Bueno;103.91;Regular;Bueno;Regular
2025-07-30;7.92;6.09;Bueno;17.59;Bueno;2.92;5.83;Bueno;19.44;Bueno;Bueno;Bueno
2025-07-31;14.29;10.99;Bueno;31.76;Bueno;4.83;9.67;Bueno;32.22;Bueno;Bueno;Bueno
2025-08-01;14.50;11.15;Bueno;32.22;Bueno;4.67;9.33;Bueno;31.11;Bueno;Bueno;Bueno
2025-08-02;27.58;21.22;Bueno;61.30;Bueno;21.25;42.50;Bueno;113.53;Regular;Bueno;Regular
2025-08-03;18.12;13.94;Bueno;40.28;Bueno;14.42;28.83;Bueno;96.11;Bueno;Bueno;Bueno
2025-08-04;38.75;29.81;Bueno;86.11;Bueno;27.67;55.33;Bueno;127.47;Regular;Bueno;Regular
2025-08-05;34.21;26.31;Bueno;76.02;Bueno;24.62;49.25;Bueno;120.85;Regular;Bueno;Regular
2025-08-06;25.75;19.81;Bueno;57.22;Bueno;14.79;29.58;Bueno;98.61;Bueno;Bueno;Bueno
2025-08-07;37.88;29.13;Bueno;84.17;Bueno;25.12;50.25;Bueno;121.94;Regular;Bueno;Regular
2025-08-08;27.25;20.96;Bueno;60.56;Bueno;17.21;34.42;Bueno;104.77;Regular;Bueno;Regular
2025-08-09;17.00;13.08;Bueno;37.78;Bueno;13.08;26.17;Bueno;87.22;Bueno;Bueno;Bueno
2025-08-10;16.33;12.56;Bueno;36.30;Bueno;12.29;24.58;Bueno;81.94;Bueno;Bueno;Bueno
2025-08-11;15.04;11.57;Bueno;33.43;Bueno;10.21;20.42;Bueno;68.06;Bueno;Bueno;Bueno
2025-08-12;26.25;20.19;Bueno;58.33;Bueno;14.29;28.58;Bueno;95.28;Bueno;Bueno;Bueno
2025-08-13;34.12;26.25;Bueno;75.83;Bueno;19.50;39.00;Bueno;109.73;Regular;Bueno;Regular
2025-08-14;21.79;16.76;Bueno;48.43;Bueno;12.08;24.17;Bueno;80.56;Bueno;Bueno;Bueno
2025-08-15;15.42;11.86;Bueno;34.26;Bueno;7.71;15.42;Bueno;51.39;Bueno;Bueno;Bueno
2025-08-16;18.79;14.46;Bueno;41.76;Bueno;13.42;26.83;Bueno;89.44;Bueno;Bueno;Bueno
2025-08-17;21.88;16.83;Bueno;48.61;Bueno;17.62;35.25;Bueno;105.67;Regular;Bueno;Regular
2025-08-18;27.50;21.15;Bueno;61.11;Bueno;16.83;33.67;Bueno;103.96;Regular;Bueno;Regular
2025-08-19;16.62;12.79;Bueno;36.94;Bueno;8.25;16.50;Bueno;55.00;Bueno;Bueno;Bueno
2025-08-20;10.00;7.69;Bueno;22.22;Bueno;2.79;5.58;Bueno;18.61;Bueno;Bueno;Bueno
2025-08-21;11.75;9.04;Bueno;26.11;Bueno;6.00;12.00;Bueno;40.00;Bueno;Bueno;Bueno
2025-08-22;20.62;15.87;Bueno;45.83;Bueno;16.33;32.67;Bueno;102.88;Regular;Bueno;Regular
2025-08-23;24.54;18.88;Bueno;54.54;Bueno;20.25;40.50;Bueno;111.36;Regular;Bueno;Regular
2025-08-24;26.88;20.67;Bueno;59.72;Bueno;19.12;38.25;Bueno;108.92;Regular;Bueno;Regular
2025-08-25;28.90;22.23;Bueno;64.23;Bueno;19.09;38.18;Bueno;108.85;Regular;Bueno;Regular
2025-08-26;37.54;28.88;Bueno;83.43;Bueno;20.46;40.92;Bueno;111.81;Regular;Bueno;Regular
2025-08-27;18.00;13.85;Bueno;40.00;Bueno;13.08;26.17;Bueno;87.22;Bueno;Bueno;Bueno
2025-08-28;13.83;10.64;Bueno;30.74;Bueno;7.12;14.25;Bueno;47.50;Bueno;Bueno;Bueno
2025-08-29;34.58;26.60;Bueno;76.85;Bueno;25.29;50.58;Bueno;122.30;Regular;Bueno;Regular
2025-08-30;29.88;22.98;Bueno;66.39;Bueno;19.79;39.58;Bueno;110.36;Regular;Bueno;Regular
2025-08-31;16.62;12.79;Bueno;36.94;Bueno;11.50;23.00;Bueno;76.67;Bueno;Bueno;Bueno
2025-09-01;16.54;12.72;Bueno;36.76;Bueno;11.17;22.33;Bueno;74.44;Bueno;Bueno;Bueno
2025-09-02;19.75;15.19;Bueno;43.89;Bueno;14.17;28.33;Bueno;94.44;Bueno;Bueno;Bueno
2025-09-03;16.71;12.85;Bueno;37.13;Bueno;9.58;19.17;Bueno;63.89;Bueno;Bueno;Bueno
2025-09-04;37.79;29.07;Bueno;83.98;Bueno;23.21;46.42;Bueno;117.77;Regular;Bueno;Regular
2025-09-05;24.25;18.65;Bueno;53.89;Bueno;13.25;26.50;Bueno;88.33;Bueno;Bueno;Bueno
2025-09-06;16.42;12.63;Bueno;36.48;Bueno;8.58;17.17;Bueno;57.22;Bueno;Bueno;Bueno
2025-09-07;10.92;8.40;Bueno;24.26;Bueno;7.00;14.00;Bueno;46.67;Bueno;Bueno;Bueno
2025-09-08;6.54;5.03;Bueno;14.54;Bueno;2.88;5.75;Bueno;19.17;Bueno;Bueno;Bueno
2025-09-09;9.67;7.44;Bueno;21.48;Bueno;2.96;5.92;Bueno;19.72;Bueno;Bueno;Bueno
2025-09-10;31.83;24.49;Bueno;70.74;Bueno;12.29;24.58;Bueno;81.94;Bueno;Bueno;Bueno
2025-09-11;34.00;26.15;Bueno;75.56;Bueno;17.88;35.75;Bueno;106.21;Regular;Bueno;Regular
2025-09-12;18.25;14.04;Bueno;40.56;Bueno;10.46;20.92;Bueno;69.72;Bueno;Bueno;Bueno
2025-09-13;13.04;10.03;Bueno;28.98;Bueno;7.21;14.42;Bueno;48.06;Bueno;Bueno;Bueno
2025-09-14;19.25;14.81;Bueno;42.78;Bueno;9.04;18.08;Bueno;60.28;Bueno;Bueno;Bueno
2025-09-15;24.50;18.85;Bueno;54.44;Bueno;11.50;23.00;Bueno;76.67;Bueno;Bueno;Bueno
2025-09-16;27.46;21.12;Bueno;61.02;Bueno;12.21;24.42;Bueno;81.39;Bueno;Bueno;Bueno
2025-09-17;12.54;9.65;Bueno;27.87;Bueno;8.25;16.50;Bueno;55.00;Bueno;Bueno;Bueno
2025-09-18;7.42;5.71;Bueno;16.48;Bueno;4.21;8.42;Bueno;28.06;Bueno;Bueno;Bueno
2025-09-19;7.12;5.48;Bueno;15.83;Bueno;3.62;7.25;Bueno;24.17;Bueno;Bueno;Bueno
2025-09-20;10.00;7.69;Bueno;22.22;Bueno;4.12;8.25;Bueno;27.50;Bueno;Bueno;Bueno
2025-09-21;16.96;13.04;Bueno;37.69;Bueno;10.71;21.42;Bueno;71.39;Bueno;Bueno;Bueno
2025-09-22;14.12;10.87;Bueno;31.39;Bueno;7.75;15.50;Bueno;51.67;Bueno;Bueno;Bueno
2025-09-23;21.38;16.44;Bueno;47.50;Bueno;12.42;24.83;Bueno;82.78;Bueno;Bueno;Bueno
2025-09-24;25.05;19.27;Bueno;55.66;Bueno;11.61;23.22;Bueno;77.39;Bueno;Bueno;Bueno
2025-09-25;10.90;8.39;Bueno;24.23;Bueno;4.90;9.81;Bueno;32.70;Bueno;Bueno;Bueno
2025-09-26;12.79;9.84;Bueno;28.43;Bueno;4.04;8.08;Bueno;26.94;Bueno;Bueno;Bueno
2025-09-27;15.00;11.54;Bueno;33.33;Bueno;8.12;16.25;Bueno;54.17;Bueno;Bueno;Bueno
2025-09-28;14.54;11.19;Bueno;32.31;Bueno;9.38;18.75;Bueno;62.50;Bueno;Bueno;Bueno
2025-09-29;21.00;16.15;Bueno;46.67;Bueno;7.92;15.83;Bueno;52.78;Bueno;Bueno;Bueno
2025-09-30;21.13;16.25;Bueno;46.96;Bueno;7.74;15.48;Bueno;51.59;Bueno;Bueno;Bueno
2025-10-01;24.88;19.13;Bueno;55.28;Bueno;8.04;16.08;Bueno;53.61;Bueno;Bueno;Bueno
2025-10-02;23.33;17.95;Bueno;51.85;Bueno;9.25;18.50;Bueno;61.67;Bueno;Bueno;Bueno
2025-10-03;13.33;10.26;Bueno;29.63;Bueno;4.62;9.25;Bueno;30.83;Bueno;Bueno;Bueno
2025-10-04;8.62;6.63;Bueno;19.17;Bueno;4.17;8.33;Bueno;27.78;Bueno;Bueno;Bueno
2025-10-05;10.46;8.04;Bueno;23.24;Bueno;5.21;10.42;Bueno;34.72;Bueno;Bueno;Bueno
2025-10-06;15.00;11.54;Bueno;33.33;Bueno;5.54;11.08;Bueno;36.94;Bueno;Bueno;Bueno
2025-10-07;21.00;16.15;Bueno;46.67;Bueno;9.21;18.42;Bueno;61.39;Bueno;Bueno;Bueno
2025-10-08;21.42;16.47;Bueno;47.59;Bueno;6.54;13.08;Bueno;43.61;Bueno;Bueno;Bueno
2025-10-09;20.29;15.61;Bueno;45.09;Bueno;7.96;15.92;Bueno;53.06;Bueno;Bueno;Bueno
2025-10-10;12.83;9.87;Bueno;28.52;Bueno;5.83;11.67;Bueno;38.89;Bueno;Bueno;Bueno
2025-10-11;14.00;10.77;Bueno;31.11;Bueno;5.75;11.50;Bueno;38.33;Bueno;Bueno;Bueno
2025-10-12;11.38;8.75;Bueno;25.28;Bueno;4.57;9.13;Bueno;30.43;Bueno;Bueno;Bueno
2025-10-13;16.88;12.98;Bueno;37.50;Bueno;6.00;12.00;Bueno;40.00;Bueno;Bueno;Bueno
2025-10-14;13.65;10.50;Bueno;30.34;Bueno;4.96;9.92;Bueno;33.06;Bueno;Bueno;Bueno
2025-10-15;10.38;7.99;Bueno;23.07;Bueno;3.21;6.42;Bueno;21.40;Bueno;Bueno;Bueno
2025-10-16;22.04;16.96;Bueno;48.98;Bueno;7.50;15.00;Bueno;50.00;Bueno;Bueno;Bueno
2025-10-17;29.75;22.88;Bueno;66.11;Bueno;9.04;18.08;Bueno;60.28;Bueno;Bueno;Bueno
2025-10-18;26.29;20.22;Bueno;58.43;Bueno;10.17;20.33;Bueno;67.78;Bueno;Bueno;Bueno
2025-10-19;13.83;10.64;Bueno;30.74;Bueno;5.92;11.83;Bueno;39.44;Bueno;Bueno;Bueno
2025-10-20;12.17;9.36;Bueno;27.04;Bueno;6.17;12.33;Bueno;41.11;Bueno;Bueno;Bueno
2025-10-21;20.58;15.83;Bueno;45.74;Bueno;7.79;15.58;Bueno;51.94;Bueno;Bueno;Bueno
2025-10-22;23.08;17.76;Bueno;51.30;Bueno;6.83;13.67;Bueno;45.56;Bueno;Bueno;Bueno
2025-10-23;15.08;11.60;Bueno;33.52;Bueno;3.96;7.92;Bueno;26.39;Bueno;Bueno;Bueno
2025-10-24;25.46;19.58;Bueno;56.57;Bueno;5.96;11.92;Bueno;39.72;Bueno;Bueno;Bueno
