Fecha;Hora;ConcentracionMP10;PromedioMovil24h_MP10;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;ConcentracionMP2_5;PromedioMovil24h_MP2_5;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-28;01:00;9;;13.39;10.30;Bueno;29.76;Bueno;1;;9.70;19.39;Bueno;64.64;Bueno;Bueno;Bueno
2025-07-28;02:00;7;;13.39;10.30;Bueno;29.76;Bueno;1;;9.70;19.39;Bueno;64.64;Bueno;Bueno;Bueno
2025-07-28;03:00;6;;13.39;10.30;Bueno;29.76;Bueno;1;;9.70;19.39;Bueno;64.64;Bueno;Bueno;Bueno
2025-07-28;04:00;4;;13.39;10.30;Bueno;29.76;Bueno;1;;9.70;19.39;Bueno;64.64;Bueno;Bueno;Bueno
2025-07-28;05:00;6;;13.39;10.30;Bueno;29.76;Bueno;1;;9.70;19.39;Bueno;64.64;Bueno;Bueno;Bueno
2025-07-28;06:00;5;;13.39;10.30;Bueno;29.76;Bueno;1;;9.70;19.39;Bueno;64.64;Bueno;Bueno;Bueno
2025-07-28;07:00;2;;13.39;10.30;Bueno;29.76;Bueno;1;;9.70;19.39;Bueno;64.64;Bueno;Bueno;Bueno
2025-07-28;08:00;2;;13.39;10.30;Bueno;29.76;Bueno;1;;9.70;19.39;Bueno;64.64;Bueno;Bueno;Bueno
2025-07-28;09:00;3;;13.39;10.30;Bueno;29.76;Bueno;1;;9.70;19.39;Bueno;64.64;Bueno;Bueno;Bueno
2025-07-28;10:00;8;;13.39;10.30;Bueno;29.76;Bueno;3;;9.70;19.39;Bueno;64.64;Bueno;Bueno;Bueno
2025-07-28;11:00;7;;13.39;10.30;Bueno;29.76;Bueno;3;;9.70;19.39;Bueno;64.64;Bueno;Bueno;Bueno
2025-07-28;12:00;7;;13.39;10.30;Bueno;29.76;Bueno;6;;9.70;19.39;Bueno;64.64;Bueno;Bueno;Bueno
2025-07-28;13:00;10;;13.39;10.30;Bueno;29.76;Bueno;4;;9.70;19.39;Bueno;64.64;Bueno;Bueno;Bueno
2025-07-28;14:00;10;;13.39;10.30;Bueno;29.76;Bueno;3;;9.70;19.39;Bueno;64.64;Bueno;Bueno;Bueno
2025-07-28;15:00;9;;13.39;10.30;Bueno;29.76;Bueno;7;;9.70;19.39;Bueno;64.64;Bueno;Bueno;Bueno
2025-07-28;16:00;14;;13.39;10.30;Bueno;29.76;Bueno;13;;9.70;19.39;Bueno;64.64;Bueno;Bueno;Bueno
2025-07-28;17:00;15;;13.39;10.30;Bueno;29.76;Bueno;12;;9.70;19.39;Bueno;64.64;Bueno;Bueno;Bueno
2025-07-28;18:00;23;8.17;13.39;10.30;Bueno;29.76;Bueno;22;4.56;9.70;19.39;Bueno;64.64;Bueno;Bueno;Bueno
2025-07-28;19:00;30;9.32;13.39;10.30;Bueno;29.76;Bueno;29;5.84;9.70;19.39;Bueno;64.64;Bueno;Bueno;Bueno
2025-07-28;20:00;32;10.45;13.39;10.30;Bueno;29.76;Bueno;27;6.90;9.70;19.39;Bueno;64.64;Bueno;Bueno;Bueno
