Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-28;13.39;10.30;Bueno;29.76;Bueno;9.70;19.39;Bueno;64.64;Bueno;Bueno;Bueno
2025-07-29;39.54;30.42;Bueno;87.87;Bueno;24.46;48.92;Bueno;120.49;Regular;Bueno;Regular
2025-07-30;14.50;11.15;Bueno;32.22;Bueno;6.88;13.75;Bueno;45.83;Bueno;Bueno;Bueno
2025-07-31;3.71;2.85;Bueno;8.24;Bueno;1.62;3.25;Bueno;10.83;Bueno;Bueno;Bueno
2025-08-01;4.38;3.37;Bueno;9.72;Bueno;1.54;3.08;Bueno;10.28;Bueno;Bueno;Bueno
2025-08-02;15.08;11.60;Bueno;33.52;Bueno;4.42;8.83;Bueno;29.44;Bueno;Bueno;Bueno
2025-08-03;28.54;21.96;Bueno;63.43;Bueno;15.29;30.58;Bueno;100.63;Regular;Bueno;Regular
2025-08-04;42.46;32.66;Bueno;94.35;Bueno;23.58;47.17;Bueno;118.59;Regular;Bueno;Regular
2025-08-05;81.54;62.72;Bueno;160.26;Regular;54.04;113.47;Regular;185.39;Regular;Regular;Regular
2025-08-06;22.92;17.63;Bueno;50.93;Bueno;9.50;19.00;Bueno;63.33;Bueno;Bueno;Bueno
2025-08-07;18.96;14.58;Bueno;42.13;Bueno;8.21;16.42;Bueno;54.72;Bueno;Bueno;Bueno
2025-08-08;47.42;36.47;Bueno;103.96;Regular;29.42;58.83;Bueno;131.28;Regular;Bueno;Regular
2025-08-09;56.38;43.37;Bueno;118.66;Regular;33.75;67.50;Bueno;140.74;Regular;Bueno;Regular
2025-08-10;31.88;24.52;Bueno;70.83;Bueno;25.12;50.25;Bueno;121.94;Regular;Bueno;Regular
2025-08-11;33.17;25.51;Bueno;73.70;Bueno;15.00;30.00;Bueno;100.00;Bueno;Bueno;Bueno
2025-08-12;13.00;10.00;Bueno;28.89;Bueno;6.91;13.82;Bueno;46.06;Bueno;Bueno;Bueno
2025-08-13;27.21;20.93;Bueno;60.46;Bueno;14.33;28.67;Bueno;95.56;Bueno;Bueno;Bueno
2025-08-14;46.75;35.96;Bueno;102.87;Regular;23.62;47.25;Bueno;118.68;Regular;Bueno;Regular
2025-08-15;26.71;20.54;Bueno;59.35;Bueno;14.38;28.75;Bueno;95.83;Bueno;Bueno;Bueno
2025-08-16;21.00;16.15;Bueno;46.67;Bueno;14.29;28.58;Bueno;95.28;Bueno;Bueno;Bueno
2025-08-17;53.75;41.35;Bueno;114.35;Regular;38.50;77.00;Bueno;151.14;Regular;Bueno;Regular
2025-08-18;33.92;26.09;Bueno;75.37;Bueno;22.25;44.50;Bueno;115.69;Regular;Bueno;Regular
2025-08-19;23.12;17.79;Bueno;51.39;Bueno;15.38;30.75;Bueno;100.81;Regular;Bueno;Regular
2025-08-20;13.71;10.54;Bueno;30.46;Bueno;8.08;16.17;Bueno;53.89;Bueno;Bueno;Bueno
2025-08-21;14.21;10.93;Bueno;31.57;Bueno;10.00;20.00;Bueno;66.67;Bueno;Bueno;Bueno
2025-08-22;12.46;9.58;Bueno;27.69;Bueno;8.71;17.42;Bueno;58.06;Bueno;Bueno;Bueno
2025-08-23;20.79;15.99;Bueno;46.20;Bueno;15.17;30.33;Bueno;100.36;Regular;Bueno;Regular
2025-08-24;28.21;21.70;Bueno;62.69;Bueno;19.12;38.25;Bueno;108.92;Regular;Bueno;Regular
2025-08-25;17.08;13.14;Bueno;37.96;Bueno;7.70;15.39;Bueno;51.30;Bueno;Bueno;Bueno
2025-08-26;19.83;15.25;Bueno;44.06;Bueno;8.83;17.65;Bueno;58.84;Bueno;Bueno;Bueno
2025-08-27;49.79;38.30;Bueno;107.85;Regular;26.58;53.17;Bueno;125.11;Regular;Bueno;Regular
2025-08-28;37.54;28.88;Bueno;83.43;Bueno;23.33;46.67;Bueno;118.05;Regular;Bueno;Regular
2025-08-29;28.91;22.24;Bueno;64.25;Bueno;23.35;46.70;Bueno;118.08;Regular;Bueno;Regular
2025-08-30;32.88;25.29;Bueno;73.06;Bueno;21.25;42.50;Bueno;113.53;Regular;Bueno;Regular
2025-08-31;21.46;16.51;Bueno;47.69;Bueno;14.29;28.58;Bueno;95.28;Bueno;Bueno;Bueno
2025-09-01;18.62;14.33;Bueno;41.39;Bueno;10.08;20.17;Bueno;67.22;Bueno;Bueno;Bueno
2025-09-02;16.21;12.47;Bueno;36.02;Bueno;10.17;20.33;Bueno;67.78;Bueno;Bueno;Bueno
2025-09-03;26.42;20.32;Bueno;58.70;Bueno;14.67;29.33;Bueno;97.78;Bueno;Bueno;Bueno
2025-09-04;19.21;14.78;Bueno;42.69;Bueno;11.04;22.08;Bueno;73.61;Bueno;Bueno;Bueno
2025-09-05;49.33;37.95;Bueno;107.10;Regular;28.17;56.33;Bueno;128.56;Regular;Bueno;Regular
