Fecha;Hora;ConcentracionMP10;PromedioMovil24h_MP10;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;ConcentracionMP2_5;PromedioMovil24h_MP2_5;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-28;01:00;2;;29.00;22.31;Bueno;64.44;Bueno;1;;25.70;51.39;Bueno;123.18;Regular;Bueno;Regular
2025-07-28;02:00;2;;29.00;22.31;Bueno;64.44;Bueno;1;;25.70;51.39;Bueno;123.18;Regular;Bueno;Regular
2025-07-28;03:00;2;;29.00;22.31;Bueno;64.44;Bueno;1;;25.70;51.39;Bueno;123.18;Regular;Bueno;Regular
2025-07-28;04:00;4;;29.00;22.31;Bueno;64.44;Bueno;3;;25.70;51.39;Bueno;123.18;Regular;Bueno;Regular
2025-07-28;05:00;4;;29.00;22.31;Bueno;64.44;Bueno;3;;25.70;51.39;Bueno;123.18;Regular;Bueno;Regular
2025-07-28;06:00;3;;29.00;22.31;Bueno;64.44;Bueno;2;;25.70;51.39;Bueno;123.18;Regular;Bueno;Regular
2025-07-28;07:00;3;;29.00;22.31;Bueno;64.44;Bueno;2;;25.70;51.39;Bueno;123.18;Regular;Bueno;Regular
2025-07-28;08:00;4;;29.00;22.31;Bueno;64.44;Bueno;3;;25.70;51.39;Bueno;123.18;Regular;Bueno;Regular
2025-07-28;09:00;7;;29.00;22.31;Bueno;64.44;Bueno;6;;25.70;51.39;Bueno;123.18;Regular;Bueno;Regular
2025-07-28;10:00;7;;29.00;22.31;Bueno;64.44;Bueno;6;;25.70;51.39;Bueno;123.18;Regular;Bueno;Regular
2025-07-28;11:00;9;;29.00;22.31;Bueno;64.44;Bueno;7;;25.70;51.39;Bueno;123.18;Regular;Bueno;Regular
2025-07-28;12:00;9;;29.00;22.31;Bueno;64.44;Bueno;8;;25.70;51.39;Bueno;123.18;Regular;Bueno;Regular
2025-07-28;13:00;6;;29.00;22.31;Bueno;64.44;Bueno;5;;25.70;51.39;Bueno;123.18;Regular;Bueno;Regular
2025-07-28;14:00;14;;29.00;22.31;Bueno;64.44;Bueno;13;;25.70;51.39;Bueno;123.18;Regular;Bueno;Regular
2025-07-28;15:00;11;;29.00;22.31;Bueno;64.44;Bueno;10;;25.70;51.39;Bueno;123.18;Regular;Bueno;Regular
2025-07-28;16:00;10;;29.00;22.31;Bueno;64.44;Bueno;9;;25.70;51.39;Bueno;123.18;Regular;Bueno;Regular
2025-07-28;17:00;13;;29.00;22.31;Bueno;64.44;Bueno;12;;25.70;51.39;Bueno;123.18;Regular;Bueno;Regular
2025-07-28;18:00;50;8.89;29.00;22.31;Bueno;64.44;Bueno;42;7.44;25.70;51.39;Bueno;123.18;Regular;Bueno;Regular
2025-07-28;19:00;162;16.95;29.00;22.31;Bueno;64.44;Bueno;157;15.32;25.70;51.39;Bueno;123.18;Regular;Bueno;Regular
2025-07-28;20:00;103;21.25;29.00;22.31;Bueno;64.44;Bueno;86;18.85;25.70;51.39;Bueno;123.18;Regular;Bueno;Regular
2025-07-28;21:00;71;23.62;29.00;22.31;Bueno;64.44;Bueno;65;21.05;25.70;51.39;Bueno;123.18;Regular;Bueno;Regular
2025-07-28;22:00;78;26.09;29.00;22.31;Bueno;64.44;Bueno;65;23.05;25.70;51.39;Bueno;123.18;Regular;Bueno;Regular
2025-07-28;23:00;93;29.00;29.00;22.31;Bueno;64.44;Bueno;84;25.70;25.70;51.39;Bueno;123.18;Regular;Bueno;Regular
