Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-28;29.00;22.31;Bueno;64.44;Bueno;25.70;51.39;Bueno;123.18;Regular;Bueno;Regular
2025-07-29;23.04;17.72;Bueno;51.20;Bueno;18.67;37.33;Bueno;107.93;Regular;Bueno;Regular
2025-07-30;5.96;4.58;Bueno;13.24;Bueno;4.75;9.50;Bueno;31.67;Bueno;Bueno;Bueno
2025-07-31;14.38;11.06;Bueno;31.94;Bueno;7.04;14.08;Bueno;46.94;Bueno;Bueno;Bueno
2025-08-01;15.36;11.82;Bueno;34.14;Bueno;9.33;18.67;Bueno;62.22;Bueno;Bueno;Bueno
2025-08-02;25.54;19.65;Bueno;56.76;Bueno;23.00;46.00;Bueno;117.32;Regular;Bueno;Regular
2025-08-03;41.54;31.96;Bueno;92.31;Bueno;37.75;75.50;Bueno;149.50;Regular;Bueno;Regular
2025-08-04;30.58;23.53;Bueno;67.96;Bueno;24.00;48.00;Bueno;119.49;Regular;Bueno;Regular
2025-08-05;45.59;35.07;Bueno;100.97;Regular;42.29;84.58;Bueno;159.46;Regular;Bueno;Regular
2025-08-06;38.12;29.33;Bueno;84.72;Bueno;32.08;64.17;Bueno;137.10;Regular;Bueno;Regular
2025-08-07;28.54;21.96;Bueno;63.43;Bueno;25.88;51.75;Bueno;123.57;Regular;Bueno;Regular
2025-08-08;22.88;17.60;Bueno;50.83;Bueno;17.54;35.08;Bueno;105.49;Regular;Bueno;Regular
2025-08-09;26.79;20.61;Bueno;59.54;Bueno;23.54;47.08;Bueno;118.50;Regular;Bueno;Regular
2025-08-10;27.33;21.03;Bueno;60.74;Bueno;24.83;49.67;Bueno;121.30;Regular;Bueno;Regular
2025-08-11;25.96;19.97;Bueno;57.69;Bueno;21.96;43.92;Bueno;115.06;Regular;Bueno;Regular
2025-08-12;16.04;12.34;Bueno;35.65;Bueno;11.62;23.25;Bueno;77.50;Bueno;Bueno;Bueno
2025-08-13;19.50;15.00;Bueno;43.33;Bueno;15.79;31.58;Bueno;101.71;Regular;Bueno;Regular
2025-08-14;21.21;16.31;Bueno;47.13;Bueno;14.92;29.83;Bueno;99.44;Bueno;Bueno;Bueno
2025-08-15;25.00;19.23;Bueno;55.56;Bueno;17.33;34.67;Bueno;105.04;Regular;Bueno;Regular
2025-08-16;23.08;17.76;Bueno;51.30;Bueno;19.42;38.83;Bueno;109.55;Regular;Bueno;Regular
2025-08-17;26.38;20.29;Bueno;58.61;Bueno;23.29;46.58;Bueno;117.96;Regular;Bueno;Regular
2025-08-18;23.46;18.04;Bueno;52.13;Bueno;19.58;39.17;Bueno;109.91;Regular;Bueno;Regular
2025-08-19;25.64;19.72;Bueno;56.97;Bueno;19.77;39.55;Bueno;110.32;Regular;Bueno;Regular
2025-08-20;6.29;4.84;Bueno;13.98;Bueno;5.08;10.17;Bueno;33.89;Bueno;Bueno;Bueno
2025-08-21;11.12;8.56;Bueno;24.72;Bueno;8.33;16.67;Bueno;55.56;Bueno;Bueno;Bueno
2025-08-22;17.75;13.65;Bueno;39.44;Bueno;15.62;31.25;Bueno;101.35;Regular;Bueno;Regular
2025-08-23;16.29;12.53;Bueno;36.20;Bueno;14.50;29.00;Bueno;96.67;Bueno;Bueno;Bueno
2025-08-24;34.12;26.25;Bueno;75.83;Bueno;29.88;59.75;Bueno;132.28;Regular;Bueno;Regular
2025-08-25;14.75;11.35;Bueno;32.78;Bueno;10.88;21.75;Bueno;72.50;Bueno;Bueno;Bueno
2025-08-26;16.75;12.88;Bueno;37.22;Bueno;13.33;26.67;Bueno;88.89;Bueno;Bueno;Bueno
2025-08-27;18.54;14.26;Bueno;41.20;Bueno;14.79;29.58;Bueno;98.61;Bueno;Bueno;Bueno
2025-08-28;12.54;9.65;Bueno;27.87;Bueno;9.79;19.58;Bueno;65.28;Bueno;Bueno;Bueno
2025-08-29;29.79;22.92;Bueno;66.20;Bueno;25.42;50.83;Bueno;122.57;Regular;Bueno;Regular
2025-08-30;35.00;26.92;Bueno;77.78;Bueno;27.42;54.83;Bueno;126.92;Regular;Bueno;Regular
2025-08-31;26.58;20.45;Bueno;59.07;Bueno;22.00;44.00;Bueno;115.15;Regular;Bueno;Regular
2025-09-01;13.75;10.58;Bueno;30.56;Bueno;12.17;24.33;Bueno;81.11;Bueno;Bueno;Bueno
2025-09-02;18.42;14.17;Bueno;40.93;Bueno;14.75;29.50;Bueno;98.33;Bueno;Bueno;Bueno
2025-09-03;16.62;12.79;Bueno;36.94;Bueno;14.54;29.08;Bueno;96.94;Bueno;Bueno;Bueno
2025-09-04;29.88;22.98;Bueno;66.39;Bueno;24.79;49.58;Bueno;121.21;Regular;Bueno;Regular
2025-09-05;28.21;21.70;Bueno;62.69;Bueno;19.29;38.58;Bueno;109.28;Regular;Bueno;Regular
2025-09-06;23.25;17.88;Bueno;51.67;Bueno;15.71;31.42;Bueno;101.53;Regular;Bueno;Regular
2025-09-07;19.00;14.62;Bueno;42.22;Bueno;16.96;33.92;Bueno;104.23;Regular;Bueno;Regular
2025-09-08;13.75;10.58;Bueno;30.56;Bueno;11.33;22.67;Bueno;75.56;Bueno;Bueno;Bueno
2025-09-09;6.33;4.87;Bueno;14.07;Bueno;4.29;8.58;Bueno;28.61;Bueno;Bueno;Bueno
2025-09-10;49.50;38.08;Bueno;107.37;Regular;21.46;42.92;Bueno;113.98;Regular;Bueno;Regular
2025-09-11;28.38;21.83;Bueno;63.06;Bueno;20.75;41.50;Bueno;112.44;Regular;Bueno;Regular
2025-09-12;28.62;22.02;Bueno;63.61;Bueno;22.88;45.75;Bueno;117.05;Regular;Bueno;Regular
2025-09-13;12.54;9.65;Bueno;27.87;Bueno;8.75;17.50;Bueno;58.33;Bueno;Bueno;Bueno
2025-09-14;16.96;13.04;Bueno;37.69;Bueno;12.58;25.17;Bueno;83.89;Bueno;Bueno;Bueno
