FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250727;0100;10;;;
250727;0200;12;;;
250727;0300;8;;;
250727;0400;9;;;
250727;0500;4;;;
250727;0600;4;;;
250727;0700;5;;;
250727;0800;20;;;
250727;0900;21;;;
250727;1000;12;;;
250727;1100;16;;;
250727;1200;27;;;
250727;1300;14;;;
250727;1400;12;;;
250727;1500;19;;;
250727;1600;21;;;
250727;1700;14;;;
250727;1800;39;;;
250727;1900;58;;;
250727;2000;60;;;
250727;2100;60;;;
250727;2200;61;;;
250727;2300;54;;;
250728;0000;56;;;
250728;0100;40;;;
250728;0200;30;;;
250728;0300;27;;;
250728;0400;30;;;
250728;0500;29;;;
250728;0600;40;;;
250728;0700;63;;;
250728;0800;256;;;
250728;0900;213;;;
250728;1000;136;;;
250728;1100;55;;;
250728;1200;28;;;
250728;1300;23;;;
250728;1400;17;;;
250728;1500;18;;;
250728;1600;21;;;
250728;1700;29;;;
250728;1800;58;;;
250728;1900;105;;;
250728;2000;111;;;
250728;2100;113;;;
250728;2200;85;;;
250728;2300;71;;;
250729;0000;51;;;
250729;0100;63;;;
250729;0200;56;;;
250729;0300;46;;;
250729;0400;40;;;
250729;0500;35;;;
250729;0600;39;;;
250729;0700;69;;;
250729;0800;245;;;
250729;0900;274;;;
250729;1000;158;;;
250729;1100;67;;;
250729;1200;15;;;
250729;1300;14;;;
250729;1400;28;;;
250729;1500;28;;;
250729;1600;18;;;
250729;1700;16;;;
250729;1800;55;;;
250729;1900;63;;;
250729;2000;119;;;
250729;2100;136;;;
250729;2200;113;;;
250729;2300;83;;;
250730;0000;81;;;
250730;0100;72;;;
250730;0200;54;;;
250730;0300;40;;;
250730;0400;36;;;
250730;0500;57;;;
250730;0600;38;;;
250730;0700;25;;;
250730;0800;64;;;
250730;0900;69;;;
250730;1000;64;;;
250730;1100;27;;;
250730;1200;23;;;
250730;1300;14;;;
250730;1400;14;;;
250730;1500;21;;;
250730;1600;14;;;
250730;1700;5;;;
250730;1800;19;;;
250730;1900;24;;;
250730;2000;19;;;
250730;2100;13;;;
250730;2200;4;;;
250730;2300;11;;;
250731;0000;9;;;
250731;0100;6;;;
250731;0200;4;;;
250731;0300;8;;;
250731;0400;6;;;
250731;0500;2;;;
