FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250727;0100;13;;;
250727;0200;14;;;
250727;0300;16;;;
250727;0400;13;;;
250727;0500;11;;;
250727;0600;23;;;
250727;0700;19;;;
250727;0800;13;;;
250727;0900;25;;;
250727;1000;22;;;
250727;1100;19;;;
250727;1200;21;;;
250727;1300;15;;;
250727;1400;24;;;
250727;1500;13;;;
250727;1600;11;;;
250727;1700;19;;;
250727;1800;17;;;
250727;1900;24;;;
250727;2000;24;;;
250727;2100;31;;;
250727;2200;21;;;
250727;2300;20;;;
250728;0000;20;;;
250728;0100;2;;;
250728;0200;6;;;
250728;0300;8;;;
250728;0400;5;;;
250728;0500;10;;;
250728;0600;2;;;
250728;0700;9;;;
250728;0800;15;;;
250728;0900;26;;;
250728;1000;4;;;
250728;1100;5;;;
250728;1200;5;;;
250728;1300;2;;;
250728;1400;6;;;
250728;1500;2;;;
250728;1600;2;;;
250728;1700;8;;;
250728;1800;44;;;
250728;1900;27;;;
250728;2000;19;;;
250728;2100;20;;;
250728;2200;16;;;
250728;2300;11;;;
250729;0000;8;;;
250729;0100;2;;;
250729;0200;14;;;
250729;0300;13;;;
250729;0400;7;;;
250729;0500;6;;;
250729;0600;6;;;
250729;0700;16;;;
250729;0800;39;;;
250729;0900;43;;;
250729;1000;18;;;
250729;1100;14;;;
250729;1200;12;;;
250729;1300;13;;;
250729;1400;6;;;
250729;1500;16;;;
250729;1600;8;;;
250729;1700;10;;;
250729;1800;21;;;
250729;1900;13;;;
250729;2000;26;;;
250729;2100;28;;;
250729;2200;30;;;
250729;2300;36;;;
250730;0000;26;;;
250730;0100;31;;;
250730;0200;11;;;
250730;0300;16;;;
250730;0400;10;;;
250730;0500;6;;;
250730;0600;9;;;
250730;0700;9;;;
250730;0800;21;;;
250730;0900;23;;;
250730;1000;21;;;
250730;1100;14;;;
250730;1200;22;;;
250730;1300;15;;;
250730;1400;22;;;
250730;1500;15;;;
250730;1600;15;;;
250730;1700;14;;;
250730;1800;37;;;
250730;1900;38;;;
250730;2000;38;;;
250730;2100;24;;;
250730;2200;19;;;
250730;2300;17;;;
250731;0000;16;;;
250731;0100;17;;;
250731;0200;8;;;
250731;0300;9;;;
250731;0400;12;;;
250731;0500;14;;;
250731;0600;9;;;
250731;0700;5;;;
250731;0800;12;;;
250731;0900;2;;;
250731;1000;2;;;
250731;1100;2;;;
250731;1200;20;;;
250731;1300;2;;;
250731;1400;2;;;
250731;1500;2;;;
250731;1600;10;;;
250731;1700;16;;;
250731;1800;7;;;
250731;1900;3;;;
250731;2000;7;;;
250731;2100;2;;;
250731;2200;7;;;
250731;2300;9;;;
250801;0000;2;;;
250801;0100;2;;;
250801;0200;5;;;
250801;0300;2;;;
250801;0400;2;;;
250801;0500;5;;;
250801;0600;2;;;
250801;0700;2;;;
250801;0800;5;;;
250801;0900;4;;;
250801;1000;2;;;
250801;1100;3;;;
250801;1200;9;;;
250801;1300;9;;;
250801;1400;3;;;
250801;1500;2;;;
250801;1600;2;;;
250801;1700;2;;;
250801;1800;2;;;
250801;1900;3;;;
250801;2000;6;;;
250801;2100;7;;;
250801;2200;7;;;
250801;2300;8;;;
250802;0000;4;;;
250802;0100;2;;;
250802;0200;2;;;
250802;0300;4;;;
250802;0400;2;;;
250802;0500;2;;;
250802;0600;6;;;
250802;0700;10;;;
250802;0800;9;;;
250802;0900;7;;;
250802;1000;3;;;
250802;1100;3;;;
250802;1200;2;;;
250802;1300;2;;;
250802;1400;2;;;
250802;1500;2;;;
250802;1600;4;;;
250802;1700;4;;;
250802;1800;7;;;
250802;1900;7;;;
250802;2000;10;;;
250802;2100;4;;;
250802;2200;1;;;
250802;2300;2;;;
250803;0000;4;;;
250803;0100;2;;;
250803;0200;7;;;
250803;0300;14;;;
250803;0400;8;;;
250803;0500;2;;;
250803;0600;5;;;
250803;0700;2;;;
250803;0800;2;;;
250803;0900;2;;;
250803;1000;4;;;
250803;1100;;;0;
250803;1200;;;0;
250803;1300;;;0;
250803;1400;2;;;
250803;1500;28;;;
250803;1600;4;;;
250803;1700;4;;;
250803;1800;2;;;
250803;1900;3;;;
250803;2000;4;;;
250803;2100;2;;;
250803;2200;3;;;
250803;2300;2;;;
250804;0000;3;;;
250804;0100;2;;;
250804;0200;2;;;
250804;0300;2;;;
250804;0400;2;;;
250804;0500;2;;;
250804;0600;4;;;
250804;0700;11;;;
250804;0800;11;;;
250804;0900;13;;;
250804;1000;8;;;
250804;1100;;;0;
250804;1200;5;;;
250804;1300;8;;;
250804;1400;8;;;
250804;1500;19;;;
250804;1600;10;;;
250804;1700;;;0;
250804;1800;10;;;
250804;1900;19;;;
250804;2000;6;;;
250804;2100;13;;;
250804;2200;17;;;
250804;2300;4;;;
250805;0000;8;;;
250805;0100;9;;;
250805;0200;4;;;
250805;0300;4;;;
250805;0400;9;;;
250805;0500;9;;;
250805;0600;6;;;
250805;0700;13;;;
250805;0800;39;;;
250805;0900;29;;;
250805;1000;21;;;
250805;1100;9;;;
250805;1200;23;;;
250805;1300;4;;;
250805;1400;21;;;
250805;1500;;;0;
250805;1600;14;;;
250805;1700;17;;;
250805;1800;16;;;
250805;1900;20;;;
250805;2000;11;;;
250805;2100;15;;;
250805;2200;7;;;
250805;2300;9;;;
250806;0000;8;;;
250806;0100;8;;;
250806;0200;7;;;
250806;0300;8;;;
250806;0400;8;;;
250806;0500;8;;;
250806;0600;8;;;
250806;0700;21;;;
250806;0800;27;;;
250806;0900;31;;;
250806;1000;17;;;
250806;1100;18;;;
250806;1200;17;;;
250806;1300;7;;;
250806;1400;15;;;
250806;1500;7;;;
250806;1600;18;;;
250806;1700;2;;;
250806;1800;4;;;
250806;1900;10;;;
250806;2000;21;;;
250806;2100;14;;;
250806;2200;12;;;
250806;2300;12;;;
250807;0000;11;;;
250807;0100;8;;;
250807;0200;8;;;
250807;0300;6;;;
250807;0400;7;;;
250807;0500;2;;;
250807;0600;2;;;
250807;0700;14;;;
250807;0800;25;;;
250807;0900;32;;;
250807;1000;34;;;
250807;1100;15;;;
250807;1200;;;0;
250807;1300;;;0;
250807;1400;2;;;
250807;1500;2;;;
250807;1600;6;;;
250807;1700;15;;;
250807;1800;12;;;
250807;1900;15;;;
250807;2000;20;;;
250807;2100;18;;;
250807;2200;10;;;
250807;2300;13;;;
250808;0000;7;;;
250808;0100;2;;;
250808;0200;17;;;
250808;0300;22;;;
250808;0400;26;;;
250808;0500;15;;;
250808;0600;13;;;
250808;0700;17;;;
250808;0800;36;;;
250808;0900;31;;;
250808;1000;39;;;
250808;1100;38;;;
250808;1200;41;;;
250808;1300;10;;;
250808;1400;7;;;
250808;1500;2;;;
250808;1600;10;;;
250808;1700;17;;;
250808;1800;27;;;
250808;1900;17;;;
250808;2000;19;;;
250808;2100;17;;;
250808;2200;4;;;
250808;2300;15;;;
250809;0000;16;;;
250809;0100;30;;;
250809;0200;16;;;
250809;0300;15;;;
250809;0400;19;;;
250809;0500;1;;;
250809;0600;20;;;
250809;0700;19;;;
250809;0800;28;;;
250809;0900;11;;;
250809;1000;18;;;
250809;1100;13;;;
250809;1200;23;;;
250809;1300;7;;;
250809;1400;12;;;
250809;1500;3;;;
250809;1600;4;;;
250809;1700;;;0;
250809;1800;11;;;
250809;1900;26;;;
250809;2000;13;;;
250809;2100;18;;;
250809;2200;24;;;
250809;2300;11;;;
250810;0000;9;;;
250810;0100;23;;;
250810;0200;23;;;
250810;0300;18;;;
250810;0400;13;;;
250810;0500;12;;;
250810;0600;7;;;
250810;0700;8;;;
250810;0800;22;;;
250810;0900;10;;;
250810;1000;9;;;
250810;1100;13;;;
250810;1200;12;;;
250810;1300;8;;;
250810;1400;2;;;
250810;1500;2;;;
250810;1600;7;;;
250810;1700;3;;;
250810;1800;16;;;
250810;1900;24;;;
250810;2000;36;;;
250810;2100;23;;;
250810;2200;5;;;
250810;2300;2;;;
250811;0000;3;;;
250811;0100;32;;;
250811;0200;22;;;
250811;0300;31;;;
250811;0400;17;;;
250811;0500;15;;;
250811;0600;15;;;
250811;0700;13;;;
250811;0800;26;;;
250811;0900;13;;;
250811;1000;8;;;
250811;1100;17;;;
250811;1200;42;;;
250811;1300;7;;;
250811;1400;7;;;
250811;1500;2;;;
250811;1600;31;;;
250811;1700;10;;;
250811;1800;6;;;
250811;1900;32;;;
250811;2000;13;;;
250811;2100;8;;;
250811;2200;1;;;
250811;2300;19;;;
250812;0000;11;;;
250812;0100;6;;;
250812;0200;4;;;
250812;0300;7;;;
250812;0400;3;;;
250812;0500;11;;;
250812;0600;2;;;
250812;0700;15;;;
250812;0800;28;;;
250812;0900;25;;;
250812;1000;21;;;
250812;1100;19;;;
250812;1200;61;;;
250812;1300;40;;;
250812;1400;8;;;
250812;1500;20;;;
250812;1600;65;;;
250812;1700;;;0;
250812;1800;22;;;
250812;1900;22;;;
250812;2000;14;;;
250812;2100;13;;;
250812;2200;12;;;
250812;2300;13;;;
250813;0000;17;;;
250813;0100;14;;;
250813;0200;4;;;
250813;0300;8;;;
250813;0400;2;;;
250813;0500;2;;;
250813;0600;12;;;
250813;0700;18;;;
250813;0800;37;;;
250813;0900;34;;;
250813;1000;26;;;
250813;1100;18;;;
250813;1200;28;;;
250813;1300;8;;;
250813;1400;2;;;
250813;1500;14;;;
250813;1600;16;;;
250813;1700;2;;;
250813;1800;13;;;
250813;1900;23;;;
250813;2000;13;;;
250813;2100;9;;;
250813;2200;8;;;
250813;2300;1;;;
250814;0000;10;;;
250814;0100;4;;;
250814;0200;8;;;
250814;0300;3;;;
250814;0400;5;;;
250814;0500;1;;;
250814;0600;1;;;
250814;0700;17;;;
250814;0800;27;;;
250814;0900;15;;;
250814;1000;12;;;
250814;1100;7;;;
250814;1200;7;;;
250814;1300;24;;;
250814;1400;16;;;
250814;1500;6;;;
250814;1600;29;;;
250814;1700;22;;;
250814;1800;11;;;
250814;1900;8;;;
250814;2000;12;;;
250814;2100;9;;;
250814;2200;10;;;
250814;2300;21;;;
250815;0000;25;;;
250815;0100;10;;;
250815;0200;6;;;
250815;0300;8;;;
250815;0400;4;;;
250815;0500;2;;;
250815;0600;2;;;
250815;0700;2;;;
250815;0800;3;;;
250815;0900;;;0;
250815;1000;8;;;
250815;1100;4;;;
250815;1200;;;0;
250815;1300;7;;;
250815;1400;;;0;
250815;1500;6;;;
250815;1600;2;;;
250815;1700;13;;;
250815;1800;2;;;
