Fecha;Hora;ConcentracionMP10;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;10;;24.35;18.73;Bueno;54.11;Bueno
2025-07-27;02:00;12;;24.35;18.73;Bueno;54.11;Bueno
2025-07-27;03:00;8;;24.35;18.73;Bueno;54.11;Bueno
2025-07-27;04:00;9;;24.35;18.73;Bueno;54.11;Bueno
2025-07-27;05:00;4;;24.35;18.73;Bueno;54.11;Bueno
2025-07-27;06:00;4;;24.35;18.73;Bueno;54.11;Bueno
2025-07-27;07:00;5;;24.35;18.73;Bueno;54.11;Bueno
2025-07-27;08:00;20;;24.35;18.73;Bueno;54.11;Bueno
2025-07-27;09:00;21;;24.35;18.73;Bueno;54.11;Bueno
2025-07-27;10:00;12;;24.35;18.73;Bueno;54.11;Bueno
2025-07-27;11:00;16;;24.35;18.73;Bueno;54.11;Bueno
2025-07-27;12:00;27;;24.35;18.73;Bueno;54.11;Bueno
2025-07-27;13:00;14;;24.35;18.73;Bueno;54.11;Bueno
2025-07-27;14:00;12;;24.35;18.73;Bueno;54.11;Bueno
2025-07-27;15:00;19;;24.35;18.73;Bueno;54.11;Bueno
2025-07-27;16:00;21;;24.35;18.73;Bueno;54.11;Bueno
2025-07-27;17:00;14;;24.35;18.73;Bueno;54.11;Bueno
2025-07-27;18:00;39;14.83;24.35;18.73;Bueno;54.11;Bueno
2025-07-27;19:00;58;17.11;24.35;18.73;Bueno;54.11;Bueno
2025-07-27;20:00;60;19.25;24.35;18.73;Bueno;54.11;Bueno
2025-07-27;21:00;60;21.19;24.35;18.73;Bueno;54.11;Bueno
2025-07-27;22:00;61;23.00;24.35;18.73;Bueno;54.11;Bueno
2025-07-27;23:00;54;24.35;24.35;18.73;Bueno;54.11;Bueno
2025-07-28;00:00;56;25.67;68.92;53.01;Bueno;139.34;Regular
2025-07-28;01:00;40;26.92;68.92;53.01;Bueno;139.34;Regular
2025-07-28;02:00;30;27.67;68.92;53.01;Bueno;139.34;Regular
2025-07-28;03:00;27;28.46;68.92;53.01;Bueno;139.34;Regular
2025-07-28;04:00;30;29.33;68.92;53.01;Bueno;139.34;Regular
2025-07-28;05:00;29;30.38;68.92;53.01;Bueno;139.34;Regular
2025-07-28;06:00;40;31.88;68.92;53.01;Bueno;139.34;Regular
2025-07-28;07:00;63;34.29;68.92;53.01;Bueno;139.34;Regular
2025-07-28;08:00;256;44.12;68.92;53.01;Bueno;139.34;Regular
2025-07-28;09:00;213;52.12;68.92;53.01;Bueno;139.34;Regular
2025-07-28;10:00;136;57.29;68.92;53.01;Bueno;139.34;Regular
2025-07-28;11:00;55;58.92;68.92;53.01;Bueno;139.34;Regular
2025-07-28;12:00;28;58.96;68.92;53.01;Bueno;139.34;Regular
2025-07-28;13:00;23;59.33;68.92;53.01;Bueno;139.34;Regular
2025-07-28;14:00;17;59.54;68.92;53.01;Bueno;139.34;Regular
2025-07-28;15:00;18;59.50;68.92;53.01;Bueno;139.34;Regular
2025-07-28;16:00;21;59.50;68.92;53.01;Bueno;139.34;Regular
2025-07-28;17:00;29;60.12;68.92;53.01;Bueno;139.34;Regular
2025-07-28;18:00;58;60.92;68.92;53.01;Bueno;139.34;Regular
2025-07-28;19:00;105;62.88;68.92;53.01;Bueno;139.34;Regular
2025-07-28;20:00;111;65.00;68.92;53.01;Bueno;139.34;Regular
2025-07-28;21:00;113;67.21;68.92;53.01;Bueno;139.34;Regular
2025-07-28;22:00;85;68.21;68.92;53.01;Bueno;139.34;Regular
2025-07-28;23:00;71;68.92;68.92;53.01;Bueno;139.34;Regular
2025-07-29;00:00;51;68.71;76.29;58.69;Bueno;151.54;Regular
2025-07-29;01:00;63;69.67;76.29;58.69;Bueno;151.54;Regular
2025-07-29;02:00;56;70.75;76.29;58.69;Bueno;151.54;Regular
2025-07-29;03:00;46;71.54;76.29;58.69;Bueno;151.54;Regular
2025-07-29;04:00;40;71.96;76.29;58.69;Bueno;151.54;Regular
2025-07-29;05:00;35;72.21;76.29;58.69;Bueno;151.54;Regular
2025-07-29;06:00;39;72.17;76.29;58.69;Bueno;151.54;Regular
2025-07-29;07:00;69;72.42;76.29;58.69;Bueno;151.54;Regular
2025-07-29;08:00;245;71.96;76.29;58.69;Bueno;151.54;Regular
2025-07-29;09:00;274;74.50;76.29;58.69;Bueno;151.54;Regular
2025-07-29;10:00;158;75.42;76.29;58.69;Bueno;151.54;Regular
2025-07-29;11:00;67;75.92;76.29;58.69;Bueno;151.54;Regular
2025-07-29;12:00;15;75.38;76.29;58.69;Bueno;151.54;Regular
2025-07-29;13:00;14;75.00;76.29;58.69;Bueno;151.54;Regular
2025-07-29;14:00;28;75.46;76.29;58.69;Bueno;151.54;Regular
2025-07-29;15:00;28;75.88;76.29;58.69;Bueno;151.54;Regular
2025-07-29;16:00;18;75.75;76.29;58.69;Bueno;151.54;Regular
2025-07-29;17:00;16;75.21;76.29;58.69;Bueno;151.54;Regular
2025-07-29;18:00;55;75.08;76.29;58.69;Bueno;151.54;Regular
2025-07-29;19:00;63;73.33;76.29;58.69;Bueno;151.54;Regular
2025-07-29;20:00;119;73.67;76.29;58.69;Bueno;151.54;Regular
2025-07-29;21:00;136;74.62;76.29;58.69;Bueno;151.54;Regular
2025-07-29;22:00;113;75.79;76.29;58.69;Bueno;151.54;Regular
2025-07-29;23:00;83;76.29;76.29;58.69;Bueno;151.54;Regular
2025-07-30;00:00;81;77.54;33.67;25.90;Bueno;74.81;Bueno
2025-07-30;01:00;72;77.92;33.67;25.90;Bueno;74.81;Bueno
2025-07-30;02:00;54;77.83;33.67;25.90;Bueno;74.81;Bueno
2025-07-30;03:00;40;77.58;33.67;25.90;Bueno;74.81;Bueno
2025-07-30;04:00;36;77.42;33.67;25.90;Bueno;74.81;Bueno
2025-07-30;05:00;57;78.33;33.67;25.90;Bueno;74.81;Bueno
2025-07-30;06:00;38;78.29;33.67;25.90;Bueno;74.81;Bueno
2025-07-30;07:00;25;76.46;33.67;25.90;Bueno;74.81;Bueno
2025-07-30;08:00;64;68.92;33.67;25.90;Bueno;74.81;Bueno
2025-07-30;09:00;69;60.38;33.67;25.90;Bueno;74.81;Bueno
2025-07-30;10:00;64;56.46;33.67;25.90;Bueno;74.81;Bueno
2025-07-30;11:00;27;54.79;33.67;25.90;Bueno;74.81;Bueno
2025-07-30;12:00;23;55.12;33.67;25.90;Bueno;74.81;Bueno
2025-07-30;13:00;14;55.12;33.67;25.90;Bueno;74.81;Bueno
2025-07-30;14:00;14;54.54;33.67;25.90;Bueno;74.81;Bueno
2025-07-30;15:00;21;54.25;33.67;25.90;Bueno;74.81;Bueno
2025-07-30;16:00;14;54.08;33.67;25.90;Bueno;74.81;Bueno
2025-07-30;17:00;5;53.62;33.67;25.90;Bueno;74.81;Bueno
2025-07-30;18:00;19;52.12;33.67;25.90;Bueno;74.81;Bueno
2025-07-30;19:00;24;50.50;33.67;25.90;Bueno;74.81;Bueno
2025-07-30;20:00;19;46.33;33.67;25.90;Bueno;74.81;Bueno
2025-07-30;21:00;13;41.21;33.67;25.90;Bueno;74.81;Bueno
2025-07-30;22:00;4;36.67;33.67;25.90;Bueno;74.81;Bueno
2025-07-30;23:00;11;33.67;33.67;25.90;Bueno;74.81;Bueno
2025-07-31;00:00;9;30.67;9.83;7.56;Bueno;21.85;Bueno
2025-07-31;01:00;6;27.92;9.83;7.56;Bueno;21.85;Bueno
2025-07-31;02:00;4;25.83;9.83;7.56;Bueno;21.85;Bueno
2025-07-31;03:00;8;24.50;9.83;7.56;Bueno;21.85;Bueno
2025-07-31;04:00;6;23.25;9.83;7.56;Bueno;21.85;Bueno
2025-07-31;05:00;2;20.96;9.83;7.56;Bueno;21.85;Bueno
2025-07-31;06:00;2;19.46;9.83;7.56;Bueno;21.85;Bueno
2025-07-31;07:00;4;18.58;9.83;7.56;Bueno;21.85;Bueno
2025-07-31;08:00;6;16.17;9.83;7.56;Bueno;21.85;Bueno
2025-07-31;09:00;12;13.79;9.83;7.56;Bueno;21.85;Bueno
2025-07-31;10:00;14;11.71;9.83;7.56;Bueno;21.85;Bueno
2025-07-31;11:00;17;11.29;9.83;7.56;Bueno;21.85;Bueno
2025-07-31;12:00;13;10.88;9.83;7.56;Bueno;21.85;Bueno
2025-07-31;13:00;7;10.58;9.83;7.56;Bueno;21.85;Bueno
2025-07-31;14:00;14;10.58;9.83;7.56;Bueno;21.85;Bueno
2025-07-31;15:00;14;10.29;9.83;7.56;Bueno;21.85;Bueno
2025-07-31;16:00;15;10.33;9.83;7.56;Bueno;21.85;Bueno
2025-07-31;17:00;5;10.33;9.83;7.56;Bueno;21.85;Bueno
2025-07-31;18:00;15;10.17;9.83;7.56;Bueno;21.85;Bueno
2025-07-31;19:00;17;9.88;9.83;7.56;Bueno;21.85;Bueno
2025-07-31;20:00;11;9.54;9.83;7.56;Bueno;21.85;Bueno
2025-07-31;21:00;15;9.62;9.83;7.56;Bueno;21.85;Bueno
2025-07-31;22:00;13;10.00;9.83;7.56;Bueno;21.85;Bueno
2025-07-31;23:00;7;9.83;9.83;7.56;Bueno;21.85;Bueno
2025-08-01;00:00;3;9.58;7.79;5.99;Bueno;17.31;Bueno
2025-08-01;01:00;4;9.50;7.79;5.99;Bueno;17.31;Bueno
2025-08-01;02:00;2;9.42;7.79;5.99;Bueno;17.31;Bueno
2025-08-01;03:00;5;9.29;7.79;5.99;Bueno;17.31;Bueno
2025-08-01;04:00;6;9.29;7.79;5.99;Bueno;17.31;Bueno
2025-08-01;05:00;2;9.29;7.79;5.99;Bueno;17.31;Bueno
2025-08-01;06:00;3;9.33;7.79;5.99;Bueno;17.31;Bueno
2025-08-01;07:00;3;9.29;7.79;5.99;Bueno;17.31;Bueno
2025-08-01;08:00;3;9.17;7.79;5.99;Bueno;17.31;Bueno
2025-08-01;09:00;4;8.83;7.79;5.99;Bueno;17.31;Bueno
2025-08-01;10:00;3;8.38;7.79;5.99;Bueno;17.31;Bueno
2025-08-01;11:00;4;7.83;7.79;5.99;Bueno;17.31;Bueno
2025-08-01;12:00;16;7.96;7.79;5.99;Bueno;17.31;Bueno
2025-08-01;13:00;12;8.17;7.79;5.99;Bueno;17.31;Bueno
2025-08-01;14:00;9;7.96;7.79;5.99;Bueno;17.31;Bueno
2025-08-01;15:00;11;7.83;7.79;5.99;Bueno;17.31;Bueno
2025-08-01;16:00;6;7.46;7.79;5.99;Bueno;17.31;Bueno
2025-08-01;17:00;6;7.50;7.79;5.99;Bueno;17.31;Bueno
2025-08-01;18:00;5;7.08;7.79;5.99;Bueno;17.31;Bueno
2025-08-01;19:00;8;6.71;7.79;5.99;Bueno;17.31;Bueno
2025-08-01;20:00;6;6.50;7.79;5.99;Bueno;17.31;Bueno
2025-08-01;21:00;8;6.21;7.79;5.99;Bueno;17.31;Bueno
2025-08-01;22:00;27;6.79;7.79;5.99;Bueno;17.31;Bueno
2025-08-01;23:00;31;7.79;7.79;5.99;Bueno;17.31;Bueno
2025-08-02;00:00;29;8.88;20.79;15.99;Bueno;46.20;Bueno
2025-08-02;01:00;27;9.83;20.79;15.99;Bueno;46.20;Bueno
2025-08-02;02:00;17;10.46;20.79;15.99;Bueno;46.20;Bueno
2025-08-02;03:00;19;11.04;20.79;15.99;Bueno;46.20;Bueno
2025-08-02;04:00;11;11.25;20.79;15.99;Bueno;46.20;Bueno
2025-08-02;05:00;8;11.50;20.79;15.99;Bueno;46.20;Bueno
2025-08-02;06:00;15;12.00;20.79;15.99;Bueno;46.20;Bueno
2025-08-02;07:00;13;12.42;20.79;15.99;Bueno;46.20;Bueno
