Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;24.35;18.73;Bueno;54.11;Bueno;;;;;;Bueno;Bueno
2025-07-28;68.92;53.01;Bueno;139.34;Regular;;;;;;Bueno;Regular
2025-07-29;76.29;58.69;Bueno;151.54;Regular;;;;;;Bueno;Regular
2025-07-30;33.67;25.90;Bueno;74.81;Bueno;;;;;;Bueno;Bueno
2025-07-31;9.83;7.56;Bueno;21.85;Bueno;;;;;;Bueno;Bueno
2025-08-01;7.79;5.99;Bueno;17.31;Bueno;;;;;;Bueno;Bueno
2025-08-02;20.79;15.99;Bueno;46.20;Bueno;;;;;;Bueno;Bueno
2025-08-03;41.38;31.83;Bueno;91.94;Bueno;;;;;;Bueno;Bueno
2025-08-04;63.29;48.69;Bueno;130.05;Regular;;;;;;Bueno;Regular
2025-08-05;51.50;39.62;Bueno;110.65;Regular;;;;;;Bueno;Regular
2025-08-06;51.08;39.29;Bueno;109.97;Regular;;;;;;Bueno;Regular
2025-08-07;44.21;34.01;Bueno;98.24;Bueno;;;;;;Bueno;Bueno
2025-08-08;52.79;40.61;Bueno;112.77;Regular;;;;;;Bueno;Regular
2025-08-09;46.54;35.80;Bueno;102.52;Regular;;;;;;Bueno;Regular
2025-08-10;47.58;36.60;Bueno;104.23;Regular;;;;;;Bueno;Regular
2025-08-11;73.25;56.35;Bueno;146.50;Regular;;;;;;Bueno;Regular
2025-08-12;55.33;42.56;Bueno;116.95;Regular;;;;;;Bueno;Regular
2025-08-13;59.71;45.93;Bueno;124.14;Regular;;;;;;Bueno;Regular
2025-08-14;33.75;25.96;Bueno;75.00;Bueno;;;;;;Bueno;Bueno
2025-08-15;11.62;8.94;Bueno;25.83;Bueno;;;;;;Bueno;Bueno
2025-08-16;27.62;21.25;Bueno;61.39;Bueno;;;;;;Bueno;Bueno
2025-08-17;34.04;26.19;Bueno;75.65;Bueno;;;;;;Bueno;Bueno
2025-08-18;15.29;11.76;Bueno;33.98;Bueno;;;;;;Bueno;Bueno
2025-08-19;16.75;12.88;Bueno;37.22;Bueno;;;;;;Bueno;Bueno
2025-08-20;29.00;22.31;Bueno;64.44;Bueno;;;;;;Bueno;Bueno
2025-08-21;13.79;10.61;Bueno;30.65;Bueno;;;;;;Bueno;Bueno
2025-08-22;6.25;4.81;Bueno;13.89;Bueno;;;;;;Bueno;Bueno
2025-08-23;16.83;12.95;Bueno;37.41;Bueno;;;;;;Bueno;Bueno
2025-08-24;31.00;23.85;Bueno;68.89;Bueno;;;;;;Bueno;Bueno
2025-08-25;55.09;42.38;Bueno;116.55;Regular;;;;;;Bueno;Regular
