Fecha;Hora;ConcentracionMP10;PromedioMovil24h_MP10;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;ConcentracionMP2_5;PromedioMovil24h_MP2_5;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;01:00;13;;18.61;14.31;Bueno;41.35;Bueno;;;;;;;;Bueno;Bueno
2025-07-27;02:00;14;;18.61;14.31;Bueno;41.35;Bueno;;;;;;;;Bueno;Bueno
2025-07-27;03:00;16;;18.61;14.31;Bueno;41.35;Bueno;;;;;;;;Bueno;Bueno
2025-07-27;04:00;13;;18.61;14.31;Bueno;41.35;Bueno;;;;;;;;Bueno;Bueno
2025-07-27;05:00;11;;18.61;14.31;Bueno;41.35;Bueno;;;;;;;;Bueno;Bueno
2025-07-27;06:00;23;;18.61;14.31;Bueno;41.35;Bueno;;;;;;;;Bueno;Bueno
2025-07-27;07:00;19;;18.61;14.31;Bueno;41.35;Bueno;;;;;;;;Bueno;Bueno
2025-07-27;08:00;13;;18.61;14.31;Bueno;41.35;Bueno;;;;;;;;Bueno;Bueno
2025-07-27;09:00;25;;18.61;14.31;Bueno;41.35;Bueno;;;;;;;;Bueno;Bueno
2025-07-27;10:00;22;;18.61;14.31;Bueno;41.35;Bueno;;;;;;;;Bueno;Bueno
2025-07-27;11:00;19;;18.61;14.31;Bueno;41.35;Bueno;;;;;;;;Bueno;Bueno
2025-07-27;12:00;21;;18.61;14.31;Bueno;41.35;Bueno;;;;;;;;Bueno;Bueno
2025-07-27;13:00;15;;18.61;14.31;Bueno;41.35;Bueno;;;;;;;;Bueno;Bueno
2025-07-27;14:00;24;;18.61;14.31;Bueno;41.35;Bueno;;;;;;;;Bueno;Bueno
2025-07-27;15:00;13;;18.61;14.31;Bueno;41.35;Bueno;;;;;;;;Bueno;Bueno
2025-07-27;16:00;11;;18.61;14.31;Bueno;41.35;Bueno;;;;;;;;Bueno;Bueno
2025-07-27;17:00;19;;18.61;14.31;Bueno;41.35;Bueno;;;;;;;;Bueno;Bueno
2025-07-27;18:00;17;17.11;18.61;14.31;Bueno;41.35;Bueno;;;;;;;;Bueno;Bueno
2025-07-27;19:00;24;17.47;18.61;14.31;Bueno;41.35;Bueno;;;;;;;;Bueno;Bueno
2025-07-27;20:00;24;17.80;18.61;14.31;Bueno;41.35;Bueno;;;;;;;;Bueno;Bueno
2025-07-27;21:00;31;18.43;18.61;14.31;Bueno;41.35;Bueno;;;;;;;;Bueno;Bueno
2025-07-27;22:00;21;18.55;18.61;14.31;Bueno;41.35;Bueno;;;;;;;;Bueno;Bueno
2025-07-27;23:00;20;18.61;18.61;14.31;Bueno;41.35;Bueno;;;;;;;;Bueno;Bueno
2025-07-28;00:00;20;18.67;11.42;8.78;Bueno;25.37;Bueno;;;;;;;;Bueno;Bueno
2025-07-28;01:00;2;18.21;11.42;8.78;Bueno;25.37;Bueno;;;;;;;;Bueno;Bueno
2025-07-28;02:00;6;17.88;11.42;8.78;Bueno;25.37;Bueno;;;;;;;;Bueno;Bueno
2025-07-28;03:00;8;17.54;11.42;8.78;Bueno;25.37;Bueno;;;;;;;;Bueno;Bueno
2025-07-28;04:00;5;17.21;11.42;8.78;Bueno;25.37;Bueno;;;;;;;;Bueno;Bueno
2025-07-28;05:00;10;17.17;11.42;8.78;Bueno;25.37;Bueno;;;;;;;;Bueno;Bueno
2025-07-28;06:00;2;16.29;11.42;8.78;Bueno;25.37;Bueno;;;;;;;;Bueno;Bueno
2025-07-28;07:00;9;15.88;11.42;8.78;Bueno;25.37;Bueno;;;;;;;;Bueno;Bueno
2025-07-28;08:00;15;15.96;11.42;8.78;Bueno;25.37;Bueno;;;;;;;;Bueno;Bueno
2025-07-28;09:00;26;16.00;11.42;8.78;Bueno;25.37;Bueno;;;;;;;;Bueno;Bueno
2025-07-28;10:00;4;15.25;11.42;8.78;Bueno;25.37;Bueno;;;;;;;;Bueno;Bueno
2025-07-28;11:00;5;14.67;11.42;8.78;Bueno;25.37;Bueno;;;;;;;;Bueno;Bueno
2025-07-28;12:00;5;14.00;11.42;8.78;Bueno;25.37;Bueno;;;;;;;;Bueno;Bueno
2025-07-28;13:00;2;13.46;11.42;8.78;Bueno;25.37;Bueno;;;;;;;;Bueno;Bueno
2025-07-28;14:00;6;12.71;11.42;8.78;Bueno;25.37;Bueno;;;;;;;;Bueno;Bueno
2025-07-28;15:00;2;12.25;11.42;8.78;Bueno;25.37;Bueno;;;;;;;;Bueno;Bueno
2025-07-28;16:00;2;11.88;11.42;8.78;Bueno;25.37;Bueno;;;;;;;;Bueno;Bueno
2025-07-28;17:00;8;11.42;11.42;8.78;Bueno;25.37;Bueno;;;;;;;;Bueno;Bueno
2025-07-28;18:00;44;12.54;11.42;8.78;Bueno;25.37;Bueno;;;;;;;;Bueno;Bueno
2025-07-28;19:00;27;12.67;11.42;8.78;Bueno;25.37;Bueno;;;;;;;;Bueno;Bueno
2025-07-28;20:00;19;12.46;11.42;8.78;Bueno;25.37;Bueno;;;;;;;;Bueno;Bueno
2025-07-28;21:00;20;12.00;11.42;8.78;Bueno;25.37;Bueno;;;;;;;;Bueno;Bueno
2025-07-28;22:00;16;11.79;11.42;8.78;Bueno;25.37;Bueno;;;;;;;;Bueno;Bueno
2025-07-28;23:00;11;11.42;11.42;8.78;Bueno;25.37;Bueno;;;;;;;;Bueno;Bueno
2025-07-29;00:00;8;10.92;16.88;12.98;Bueno;37.50;Bueno;;;;;;;;Bueno;Bueno
2025-07-29;01:00;2;10.92;16.88;12.98;Bueno;37.50;Bueno;;;;;;;;Bueno;Bueno
2025-07-29;02:00;14;11.25;16.88;12.98;Bueno;37.50;Bueno;;;;;;;;Bueno;Bueno
2025-07-29;03:00;13;11.46;16.88;12.98;Bueno;37.50;Bueno;;;;;;;;Bueno;Bueno
2025-07-29;04:00;7;11.54;16.88;12.98;Bueno;37.50;Bueno;;;;;;;;Bueno;Bueno
2025-07-29;05:00;6;11.38;16.88;12.98;Bueno;37.50;Bueno;;;;;;;;Bueno;Bueno
2025-07-29;06:00;6;11.54;16.88;12.98;Bueno;37.50;Bueno;;;;;;;;Bueno;Bueno
2025-07-29;07:00;16;11.83;16.88;12.98;Bueno;37.50;Bueno;;;;;;;;Bueno;Bueno
2025-07-29;08:00;39;12.83;16.88;12.98;Bueno;37.50;Bueno;;;;;;;;Bueno;Bueno
2025-07-29;09:00;43;13.54;16.88;12.98;Bueno;37.50;Bueno;;;;;;;;Bueno;Bueno
2025-07-29;10:00;18;14.12;16.88;12.98;Bueno;37.50;Bueno;;;;;;;;Bueno;Bueno
2025-07-29;11:00;14;14.50;16.88;12.98;Bueno;37.50;Bueno;;;;;;;;Bueno;Bueno
2025-07-29;12:00;12;14.79;16.88;12.98;Bueno;37.50;Bueno;;;;;;;;Bueno;Bueno
2025-07-29;13:00;13;15.25;16.88;12.98;Bueno;37.50;Bueno;;;;;;;;Bueno;Bueno
2025-07-29;14:00;6;15.25;16.88;12.98;Bueno;37.50;Bueno;;;;;;;;Bueno;Bueno
2025-07-29;15:00;16;15.83;16.88;12.98;Bueno;37.50;Bueno;;;;;;;;Bueno;Bueno
2025-07-29;16:00;8;16.08;16.88;12.98;Bueno;37.50;Bueno;;;;;;;;Bueno;Bueno
2025-07-29;17:00;10;16.17;16.88;12.98;Bueno;37.50;Bueno;;;;;;;;Bueno;Bueno
2025-07-29;18:00;21;15.21;16.88;12.98;Bueno;37.50;Bueno;;;;;;;;Bueno;Bueno
2025-07-29;19:00;13;14.62;16.88;12.98;Bueno;37.50;Bueno;;;;;;;;Bueno;Bueno
2025-07-29;20:00;26;14.92;16.88;12.98;Bueno;37.50;Bueno;;;;;;;;Bueno;Bueno
2025-07-29;21:00;28;15.25;16.88;12.98;Bueno;37.50;Bueno;;;;;;;;Bueno;Bueno
2025-07-29;22:00;30;15.83;16.88;12.98;Bueno;37.50;Bueno;;;;;;;;Bueno;Bueno
2025-07-29;23:00;36;16.88;16.88;12.98;Bueno;37.50;Bueno;;;;;;;;Bueno;Bueno
2025-07-30;00:00;26;17.62;19.71;15.16;Bueno;43.80;Bueno;;;;;;;;Bueno;Bueno
2025-07-30;01:00;31;18.83;19.71;15.16;Bueno;43.80;Bueno;;;;;;;;Bueno;Bueno
2025-07-30;02:00;11;18.71;19.71;15.16;Bueno;43.80;Bueno;;;;;;;;Bueno;Bueno
2025-07-30;03:00;16;18.83;19.71;15.16;Bueno;43.80;Bueno;;;;;;;;Bueno;Bueno
2025-07-30;04:00;10;18.96;19.71;15.16;Bueno;43.80;Bueno;;;;;;;;Bueno;Bueno
2025-07-30;05:00;6;18.96;19.71;15.16;Bueno;43.80;Bueno;;;;;;;;Bueno;Bueno
2025-07-30;06:00;9;19.08;19.71;15.16;Bueno;43.80;Bueno;;;;;;;;Bueno;Bueno
2025-07-30;07:00;9;18.79;19.71;15.16;Bueno;43.80;Bueno;;;;;;;;Bueno;Bueno
2025-07-30;08:00;21;18.04;19.71;15.16;Bueno;43.80;Bueno;;;;;;;;Bueno;Bueno
2025-07-30;09:00;23;17.21;19.71;15.16;Bueno;43.80;Bueno;;;;;;;;Bueno;Bueno
2025-07-30;10:00;21;17.33;19.71;15.16;Bueno;43.80;Bueno;;;;;;;;Bueno;Bueno
2025-07-30;11:00;14;17.33;19.71;15.16;Bueno;43.80;Bueno;;;;;;;;Bueno;Bueno
2025-07-30;12:00;22;17.75;19.71;15.16;Bueno;43.80;Bueno;;;;;;;;Bueno;Bueno
2025-07-30;13:00;15;17.83;19.71;15.16;Bueno;43.80;Bueno;;;;;;;;Bueno;Bueno
2025-07-30;14:00;22;18.50;19.71;15.16;Bueno;43.80;Bueno;;;;;;;;Bueno;Bueno
2025-07-30;15:00;15;18.46;19.71;15.16;Bueno;43.80;Bueno;;;;;;;;Bueno;Bueno
