Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;18.61;14.31;Bueno;41.35;Bueno;;;;;;Bueno;Bueno
2025-07-28;11.42;8.78;Bueno;25.37;Bueno;;;;;;Bueno;Bueno
2025-07-29;16.88;12.98;Bueno;37.50;Bueno;;;;;;Bueno;Bueno
2025-07-30;19.71;15.16;Bueno;43.80;Bueno;;;;;;Bueno;Bueno
2025-07-31;8.12;6.25;Bueno;18.06;Bueno;;;;;;Bueno;Bueno
2025-08-01;4.00;3.08;Bueno;8.89;Bueno;;;;;;Bueno;Bueno
2025-08-02;4.21;3.24;Bueno;9.35;Bueno;;;;;;Bueno;Bueno
2025-08-03;5.05;3.88;Bueno;11.22;Bueno;;;;;;Bueno;Bueno
2025-08-04;8.14;6.26;Bueno;18.08;Bueno;;;;;;Bueno;Bueno
2025-08-05;13.78;10.60;Bueno;30.63;Bueno;;;;;;Bueno;Bueno
2025-08-06;12.83;9.87;Bueno;28.52;Bueno;;;;;;Bueno;Bueno
2025-08-07;12.59;9.69;Bueno;27.98;Bueno;;;;;;Bueno;Bueno
2025-08-08;18.71;14.39;Bueno;41.57;Bueno;;;;;;Bueno;Bueno
2025-08-09;15.57;11.97;Bueno;34.59;Bueno;;;;;;Bueno;Bueno
2025-08-10;12.79;9.84;Bueno;28.43;Bueno;;;;;;Bueno;Bueno
2025-08-11;16.25;12.50;Bueno;36.11;Bueno;;;;;;Bueno;Bueno
2025-08-12;19.22;14.78;Bueno;42.71;Bueno;;;;;;Bueno;Bueno
2025-08-13;13.71;10.54;Bueno;30.46;Bueno;;;;;;Bueno;Bueno
2025-08-14;11.88;9.13;Bueno;26.39;Bueno;;;;;;Bueno;Bueno
2025-08-15;7.00;5.38;Bueno;15.56;Bueno;;;;;;Bueno;Bueno
2025-08-16;10.00;7.69;Bueno;22.22;Bueno;;;;;;Bueno;Bueno
2025-08-17;8.43;6.48;Bueno;18.73;Bueno;;;;;;Bueno;Bueno
2025-08-18;9.90;7.62;Bueno;22.01;Bueno;;;;;;Bueno;Bueno
2025-08-19;4.67;3.59;Bueno;10.37;Bueno;;;;;;Bueno;Bueno
2025-08-20;11.67;8.97;Bueno;25.93;Bueno;;;;;;Bueno;Bueno
2025-08-21;8.76;6.74;Bueno;19.47;Bueno;;;;;;Bueno;Bueno
2025-08-22;5.57;4.29;Bueno;12.38;Bueno;;;;;;Bueno;Bueno
2025-08-23;;;;;;;;;;;;
2025-08-24;;;;;;;;;;;;
2025-08-25;15.50;11.92;Bueno;34.44;Bueno;;;;;;Bueno;Bueno
2025-08-26;30.33;23.33;Bueno;67.41;Bueno;;;;;;Bueno;Bueno
2025-08-27;24.50;18.85;Bueno;54.44;Bueno;;;;;;Bueno;Bueno
2025-08-28;14.58;11.22;Bueno;32.41;Bueno;;;;;;Bueno;Bueno
2025-08-29;5.08;3.91;Bueno;11.30;Bueno;;;;;;Bueno;Bueno
2025-08-30;4.71;3.62;Bueno;10.46;Bueno;;;;;;Bueno;Bueno
2025-08-31;5.83;4.49;Bueno;12.96;Bueno;;;;;;Bueno;Bueno
2025-09-01;19.54;15.03;Bueno;43.43;Bueno;;;;;;Bueno;Bueno
2025-09-02;14.29;10.99;Bueno;31.76;Bueno;;;;;;Bueno;Bueno
2025-09-03;11.96;9.20;Bueno;26.57;Bueno;;;;;;Bueno;Bueno
2025-09-04;16.50;12.69;Bueno;36.67;Bueno;;;;;;Bueno;Bueno
2025-09-05;13.87;10.67;Bueno;30.82;Bueno;;;;;;Bueno;Bueno
2025-09-06;19.00;14.62;Bueno;42.22;Bueno;;;;;;Bueno;Bueno
2025-09-07;5.12;3.94;Bueno;11.39;Bueno;;;;;;Bueno;Bueno
2025-09-08;10.00;7.69;Bueno;22.22;Bueno;;;;;;Bueno;Bueno
2025-09-09;13.12;10.10;Bueno;29.17;Bueno;;;;;;Bueno;Bueno
2025-09-10;16.54;12.72;Bueno;36.76;Bueno;;;;;;Bueno;Bueno
2025-09-11;30.29;23.30;Bueno;67.31;Bueno;;;;;;Bueno;Bueno
2025-09-12;21.38;16.44;Bueno;47.50;Bueno;;;;;;Bueno;Bueno
2025-09-13;15.83;12.18;Bueno;35.19;Bueno;;;;;;Bueno;Bueno
2025-09-14;20.12;15.48;Bueno;44.72;Bueno;;;;;;Bueno;Bueno
2025-09-15;18.16;13.97;Bueno;40.35;Bueno;;;;;;Bueno;Bueno
2025-09-16;19.95;15.35;Bueno;44.34;Bueno;;;;;;Bueno;Bueno
2025-09-17;11.75;9.04;Bueno;26.11;Bueno;;;;;;Bueno;Bueno
2025-09-18;16.62;12.79;Bueno;36.94;Bueno;;;;;;Bueno;Bueno
2025-09-19;11.42;8.78;Bueno;25.37;Bueno;;;;;;Bueno;Bueno
2025-09-20;7.08;5.45;Bueno;15.74;Bueno;;;;;;Bueno;Bueno
2025-09-21;5.67;4.36;Bueno;12.59;Bueno;;;;;;Bueno;Bueno
2025-09-22;12.42;9.55;Bueno;27.59;Bueno;;;;;;Bueno;Bueno
2025-09-23;17.71;13.62;Bueno;39.35;Bueno;;;;;;Bueno;Bueno
