FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250727;0100;21;;;
250727;0200;23;;;
250727;0300;38;;;
250727;0400;12;;;
250727;0500;10;;;
250727;0600;9;;;
250727;0700;12;;;
250727;0800;9;;;
250727;0900;5;;;
250727;1000;6;;;
250727;1100;12;;;
250727;1200;25;;;
250727;1300;21;;;
250727;1400;24;;;
250727;1500;58;;;
250727;1600;53;;;
250727;1700;40;;;
250727;1800;30;;;
250727;1900;33;;;
250727;2000;17;;;
250727;2100;12;;;
250727;2200;11;;;
250727;2300;9;;;
250728;0000;8;;;
250728;0100;3;;;
250728;0200;1;;;
250728;0300;1;;;
250728;0400;1;;;
250728;0500;1;;;
250728;0600;1;;;
250728;0700;1;;;
250728;0800;1;;;
250728;0900;2;;;
250728;1000;8;;;
250728;1100;8;;;
250728;1200;12;;;
250728;1300;14;;;
250728;1400;22;;;
250728;1500;18;;;
250728;1600;14;;;
250728;1700;11;;;
250728;1800;23;;;
250728;1900;19;;;
250728;2000;25;;;
250728;2100;18;;;
250728;2200;16;;;
250728;2300;10;;;
250729;0000;7;;;
250729;0100;3;;;
250729;0200;8;;;
250729;0300;5;;;
250729;0400;5;;;
250729;0500;5;;;
250729;0600;3;;;
250729;0700;9;;;
250729;0800;14;;;
250729;0900;9;;;
250729;1000;16;;;
250729;1100;7;;;
250729;1200;3;;;
250729;1300;20;;;
250729;1400;16;;;
250729;1500;13;;;
250729;1600;7;;;
250729;1700;5;;;
250729;1800;20;;;
250729;1900;20;;;
250729;2000;24;;;
250729;2100;39;;;
250729;2200;18;;;
250729;2300;23;;;
250730;0000;25;;;
250730;0100;20;;;
250730;0200;12;;;
250730;0300;21;;;
250730;0400;9;;;
250730;0500;5;;;
250730;0600;7;;;
250730;0700;10;;;
250730;0800;9;;;
250730;0900;16;;;
250730;1000;2;;;
250730;1100;5;;;
250730;1200;12;;;
250730;1300;9;;;
250730;1400;15;;;
250730;1500;19;;;
250730;1600;16;;;
250730;1700;23;;;
250730;1800;38;;;
250730;1900;29;;;
250730;2000;20;;;
250730;2100;16;;;
250730;2200;10;;;
250730;2300;10;;;
250731;0000;6;;;
250731;0100;1;;;
250731;0200;2;;;
250731;0300;2;;;
250731;0400;1;;;
250731;0500;1;;;
250731;0600;1;;;
250731;0700;2;;;
250731;0800;1;;;
250731;0900;1;;;
250731;1000;4;;;
250731;1100;6;;;
250731;1200;3;;;
250731;1300;3;;;
250731;1400;4;;;
250731;1500;4;;;
250731;1600;9;;;
250731;1700;11;;;
250731;1800;10;;;
250731;1900;9;;;
250731;2000;17;;;
250731;2100;17;;;
250731;2200;12;;;
250731;2300;12;;;
250801;0000;5;;;
250801;0100;4;;;
250801;0200;3;;;
250801;0300;2;;;
250801;0400;3;;;
250801;0500;2;;;
250801;0600;2;;;
250801;0700;;;;
250801;0800;1;;;
