FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250727;0100;16;;;
250727;0200;22;;;
250727;0300;34;;;
250727;0400;6;;;
250727;0500;6;;;
250727;0600;6;;;
250727;0700;9;;;
250727;0800;7;;;
250727;0900;2;;;
250727;1000;5;;;
250727;1100;10;;;
250727;1200;22;;;
250727;1300;17;;;
250727;1400;23;;;
250727;1500;54;;;
250727;1600;45;;;
250727;1700;36;;;
250727;1800;27;;;
250727;1900;27;;;
250727;2000;9;;;
250727;2100;7;;;
250727;2200;5;;;
250727;2300;7;;;
250728;0000;3;;;
250728;0100;1;;;
250728;0200;1;;;
250728;0300;1;;;
250728;0400;1;;;
250728;0500;1;;;
250728;0600;1;;;
250728;0700;1;;;
250728;0800;1;;;
250728;0900;1;;;
250728;1000;4;;;
250728;1100;4;;;
250728;1200;9;;;
250728;1300;14;;;
250728;1400;18;;;
250728;1500;13;;;
250728;1600;13;;;
250728;1700;8;;;
250728;1800;17;;;
250728;1900;18;;;
250728;2000;20;;;
250728;2100;12;;;
250728;2200;11;;;
250728;2300;6;;;
250729;0000;7;;;
250729;0100;5;;;
250729;0200;3;;;
250729;0300;1;;;
250729;0400;1;;;
250729;0500;1;;;
250729;0600;1;;;
250729;0700;2;;;
250729;0800;8;;;
250729;0900;8;;;
250729;1000;12;;;
250729;1100;6;;;
250729;1200;2;;;
250729;1300;15;;;
250729;1400;15;;;
250729;1500;4;;;
250729;1600;1;;;
250729;1700;1;;;
250729;1800;7;;;
250729;1900;7;;;
250729;2000;14;;;
250729;2100;29;;;
250729;2200;10;;;
250729;2300;10;;;
250730;0000;24;;;
250730;0100;14;;;
250730;0200;7;;;
250730;0300;1;;;
250730;0400;1;;;
250730;0500;5;;;
250730;0600;4;;;
250730;0700;2;;;
250730;0800;4;;;
250730;0900;8;;;
250730;1000;3;;;
250730;1100;1;;;
250730;1200;8;;;
250730;1300;7;;;
250730;1400;14;;;
250730;1500;11;;;
250730;1600;12;;;
250730;1700;14;;;
