FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250727;0100;6;;;
250727;0200;41;;;
250727;0300;43;;;
250727;0400;5;;;
250727;0500;4;;;
250727;0600;11;;;
250727;0700;6;;;
250727;0800;1;;;
250727;0900;1;;;
250727;1000;2;;;
250727;1100;5;;;
250727;1200;5;;;
250727;1300;4;;;
250727;1400;4;;;
250727;1500;3;;;
250727;1600;8;;;
250727;1700;9;;;
250727;1800;9;;;
250727;1900;14;;;
250727;2000;7;;;
250727;2100;7;;;
250727;2200;6;;;
250727;2300;2;;;
250728;0000;1;;;
250728;0100;1;;;
250728;0200;1;;;
250728;0300;1;;;
250728;0400;1;;;
250728;0500;1;;;
250728;0600;1;;;
250728;0700;1;;;
250728;0800;1;;;
250728;0900;1;;;
250728;1000;3;;;
250728;1100;2;;;
250728;1200;3;;;
250728;1300;4;;;
250728;1400;3;;;
250728;1500;4;;;
250728;1600;7;;;
250728;1700;6;;;
250728;1800;5;;;
250728;1900;1;;;
250728;2000;3;;;
250728;2100;5;;;
250728;2200;3;;;
250728;2300;1;;;
250729;0000;1;;;
250729;0100;1;;;
250729;0200;1;;;
250729;0300;1;;;
250729;0400;1;;;
250729;0500;1;;;
250729;0600;1;;;
250729;0700;1;;;
250729;0800;1;;;
250729;0900;2;;;
250729;1000;2;;;
250729;1100;3;;;
250729;1200;24;;;
250729;1300;36;;;
250729;1400;8;;;
250729;1500;17;;;
250729;1600;9;;;
250729;1700;7;;;
250729;1800;5;;;
250729;1900;50;;;
250729;2000;114;;;
250729;2100;52;;;
250729;2200;11;;;
250729;2300;6;;;
250730;0000;4;;;
250730;0100;6;;;
250730;0200;3;;;
250730;0300;9;;;
250730;0400;5;;;
250730;0500;1;;;
250730;0600;2;;;
250730;0700;4;;;
250730;0800;5;;;
250730;0900;4;;;
250730;1000;8;;;
250730;1100;6;;;
250730;1200;2;;;
250730;1300;1;;;
250730;1400;1;;;
250730;1500;1;;;
250730;1600;8;;;
250730;1700;7;;;
250730;1800;7;;;
250730;1900;12;;;
250730;2000;6;;;
250730;2100;4;;;
250730;2200;2;;;
250730;2300;1;;;
250731;0000;1;;;
250731;0100;1;;;
250731;0200;1;;;
250731;0300;1;;;
250731;0400;1;;;
250731;0500;1;;;
250731;0600;1;;;
250731;0700;1;;;
250731;0800;4;;;
250731;0900;4;;;
250731;1000;6;;;
250731;1100;6;;;
250731;1200;3;;;
250731;1300;7;;;
250731;1400;6;;;
250731;1500;3;;;
250731;1600;1;;;
250731;1700;5;;;
250731;1800;4;;;
250731;1900;6;;;
250731;2000;4;;;
250731;2100;1;;;
250731;2200;5;;;
250731;2300;3;;;
250801;0000;1;;;
250801;0100;1;;;
250801;0200;1;;;
250801;0300;1;;;
250801;0400;1;;;
250801;0500;1;;;
250801;0600;1;;;
250801;0700;1;;;
250801;0800;2;;;
250801;0900;2;;;
250801;1000;5;;;
250801;1100;9;;;
250801;1200;8;;;
250801;1300;21;;;
250801;1400;8;;;
250801;1500;21;;;
250801;1600;17;;;
250801;1700;8;;;
250801;1800;7;;;
250801;1900;14;;;
250801;2000;14;;;
250801;2100;23;;;
250801;2200;9;;;
250801;2300;34;;;
250802;0000;11;;;
250802;0100;31;;;
250802;0200;6;;;
250802;0300;4;;;
250802;0400;3;;;
250802;0500;1;;;
250802;0600;1;;;
250802;0700;9;;;
250802;0800;12;;;
250802;0900;13;;;
250802;1000;13;;;
250802;1100;8;;;
250802;1200;6;;;
250802;1300;7;;;
250802;1400;7;;;
250802;1500;9;;;
250802;1600;14;;;
250802;1700;21;;;
250802;1800;26;;;
250802;1900;50;;;
250802;2000;33;;;
250802;2100;20;;;
250802;2200;21;;;
250802;2300;10;;;
250803;0000;5;;;
250803;0100;5;;;
250803;0200;4;;;
250803;0300;2;;;
250803;0400;1;;;
250803;0500;1;;;
250803;0600;1;;;
250803;0700;8;;;
250803;0800;5;;;
250803;0900;12;;;
250803;1000;9;;;
250803;1100;4;;;
250803;1200;10;;;
250803;1300;9;;;
250803;1400;16;;;
250803;1500;22;;;
250803;1600;29;;;
250803;1700;30;;;
250803;1800;93;;;
250803;1900;66;;;
250803;2000;214;;;
250803;2100;110;;;
250803;2200;173;;;
250803;2300;88;;;
250804;0000;173;;;
250804;0100;148;;;
250804;0200;52;;;
250804;0300;48;;;
250804;0400;14;;;
250804;0500;14;;;
250804;0600;27;;;
250804;0700;26;;;
250804;0800;33;;;
250804;0900;46;;;
250804;1000;40;;;
250804;1100;21;;;
250804;1200;25;;;
250804;1300;45;;;
250804;1400;23;;;
250804;1500;17;;;
250804;1600;27;;;
250804;1700;52;;;
250804;1800;63;;;
250804;1900;128;;;
250804;2000;156;;;
250804;2100;132;;;
250804;2200;182;;;
250804;2300;76;;;
250805;0000;98;;;
250805;0100;62;;;
250805;0200;50;;;
250805;0300;34;;;
250805;0400;37;;;
250805;0500;36;;;
250805;0600;42;;;
250805;0700;34;;;
250805;0800;24;;;
250805;0900;25;;;
250805;1000;26;;;
250805;1100;33;;;
250805;1200;28;;;
250805;1300;29;;;
250805;1400;56;;;
250805;1500;104;;;
250805;1600;60;;;
250805;1700;46;;;
250805;1800;135;;;
250805;1900;182;;;
250805;2000;68;;;
250805;2100;42;;;
250805;2200;26;;;
250805;2300;34;;;
250806;0000;24;;;
250806;0100;25;;;
250806;0200;8;;;
250806;0300;5;;;
250806;0400;2;;;
250806;0500;1;;;
250806;0600;1;;;
250806;0700;1;;;
250806;0800;1;;;
250806;0900;7;;;
250806;1000;7;;;
250806;1100;6;;;
250806;1200;6;;;
250806;1300;6;;;
250806;1400;4;;;
250806;1500;4;;;
250806;1600;5;;;
250806;1700;12;;;
250806;1800;16;;;
250806;1900;18;;;
250806;2000;9;;;
250806;2100;11;;;
250806;2200;10;;;
250806;2300;10;;;
250807;0000;12;;;
250807;0100;9;;;
250807;0200;13;;;
250807;0300;6;;;
250807;0400;1;;;
250807;0500;7;;;
250807;0600;11;;;
250807;0700;26;;;
250807;0800;37;;;
250807;0900;61;;;
250807;1000;25;;;
250807;1100;8;;;
250807;1200;7;;;
250807;1300;11;;;
250807;1400;8;;;
250807;1500;8;;;
250807;1600;10;;;
250807;1700;8;;;
250807;1800;81;;;
250807;1900;105;;;
250807;2000;225;;;
250807;2100;137;;;
250807;2200;170;;;
250807;2300;80;;;
250808;0000;80;;;
250808;0100;61;;;
250808;0200;36;;;
250808;0300;33;;;
250808;0400;25;;;
250808;0500;21;;;
