Fecha;Hora;ConcentracionMP10;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;21;;11.96;9.20;Bueno;26.57;Bueno
2025-07-27;02:00;14;;11.96;9.20;Bueno;26.57;Bueno
2025-07-27;03:00;18;;11.96;9.20;Bueno;26.57;Bueno
2025-07-27;04:00;19;;11.96;9.20;Bueno;26.57;Bueno
2025-07-27;05:00;9;;11.96;9.20;Bueno;26.57;Bueno
2025-07-27;06:00;9;;11.96;9.20;Bueno;26.57;Bueno
2025-07-27;07:00;6;;11.96;9.20;Bueno;26.57;Bueno
2025-07-27;08:00;6;;11.96;9.20;Bueno;26.57;Bueno
2025-07-27;09:00;4;;11.96;9.20;Bueno;26.57;Bueno
2025-07-27;10:00;1;;11.96;9.20;Bueno;26.57;Bueno
2025-07-27;11:00;7;;11.96;9.20;Bueno;26.57;Bueno
2025-07-27;12:00;12;;11.96;9.20;Bueno;26.57;Bueno
2025-07-27;13:00;13;;11.96;9.20;Bueno;26.57;Bueno
2025-07-27;14:00;21;;11.96;9.20;Bueno;26.57;Bueno
2025-07-27;15:00;21;;11.96;9.20;Bueno;26.57;Bueno
2025-07-27;16:00;25;;11.96;9.20;Bueno;26.57;Bueno
2025-07-27;17:00;23;;11.96;9.20;Bueno;26.57;Bueno
2025-07-27;18:00;15;13.56;11.96;9.20;Bueno;26.57;Bueno
2025-07-27;19:00;9;13.32;11.96;9.20;Bueno;26.57;Bueno
2025-07-27;20:00;7;13.00;11.96;9.20;Bueno;26.57;Bueno
2025-07-27;21:00;5;12.62;11.96;9.20;Bueno;26.57;Bueno
2025-07-27;22:00;5;12.27;11.96;9.20;Bueno;26.57;Bueno
2025-07-27;23:00;5;11.96;11.96;9.20;Bueno;26.57;Bueno
2025-07-28;00:00;2;11.54;5.83;4.49;Bueno;12.96;Bueno
2025-07-28;01:00;4;10.83;5.83;4.49;Bueno;12.96;Bueno
2025-07-28;02:00;3;10.38;5.83;4.49;Bueno;12.96;Bueno
2025-07-28;03:00;1;9.67;5.83;4.49;Bueno;12.96;Bueno
2025-07-28;04:00;2;8.96;5.83;4.49;Bueno;12.96;Bueno
2025-07-28;05:00;1;8.62;5.83;4.49;Bueno;12.96;Bueno
2025-07-28;06:00;1;8.29;5.83;4.49;Bueno;12.96;Bueno
2025-07-28;07:00;5;8.25;5.83;4.49;Bueno;12.96;Bueno
2025-07-28;08:00;3;8.12;5.83;4.49;Bueno;12.96;Bueno
2025-07-28;09:00;3;8.08;5.83;4.49;Bueno;12.96;Bueno
2025-07-28;10:00;3;8.17;5.83;4.49;Bueno;12.96;Bueno
2025-07-28;11:00;4;8.04;5.83;4.49;Bueno;12.96;Bueno
2025-07-28;12:00;5;7.75;5.83;4.49;Bueno;12.96;Bueno
2025-07-28;13:00;6;7.46;5.83;4.49;Bueno;12.96;Bueno
2025-07-28;14:00;8;6.92;5.83;4.49;Bueno;12.96;Bueno
2025-07-28;15:00;12;6.54;5.83;4.49;Bueno;12.96;Bueno
2025-07-28;16:00;10;5.92;5.83;4.49;Bueno;12.96;Bueno
2025-07-28;17:00;5;5.17;5.83;4.49;Bueno;12.96;Bueno
2025-07-28;18:00;12;5.04;5.83;4.49;Bueno;12.96;Bueno
2025-07-28;19:00;9;5.04;5.83;4.49;Bueno;12.96;Bueno
2025-07-28;20:00;9;5.12;5.83;4.49;Bueno;12.96;Bueno
2025-07-28;21:00;13;5.46;5.83;4.49;Bueno;12.96;Bueno
2025-07-28;22:00;11;5.71;5.83;4.49;Bueno;12.96;Bueno
2025-07-28;23:00;8;5.83;5.83;4.49;Bueno;12.96;Bueno
2025-07-29;00:00;11;6.21;52.79;40.61;Bueno;112.77;Regular
2025-07-29;01:00;10;6.46;52.79;40.61;Bueno;112.77;Regular
2025-07-29;02:00;5;6.54;52.79;40.61;Bueno;112.77;Regular
2025-07-29;03:00;4;6.67;52.79;40.61;Bueno;112.77;Regular
2025-07-29;04:00;6;6.83;52.79;40.61;Bueno;112.77;Regular
2025-07-29;05:00;6;7.04;52.79;40.61;Bueno;112.77;Regular
2025-07-29;06:00;6;7.25;52.79;40.61;Bueno;112.77;Regular
2025-07-29;07:00;8;7.38;52.79;40.61;Bueno;112.77;Regular
2025-07-29;08:00;8;7.58;52.79;40.61;Bueno;112.77;Regular
2025-07-29;09:00;11;7.92;52.79;40.61;Bueno;112.77;Regular
2025-07-29;10:00;12;8.29;52.79;40.61;Bueno;112.77;Regular
2025-07-29;11:00;9;8.50;52.79;40.61;Bueno;112.77;Regular
2025-07-29;12:00;45;10.17;52.79;40.61;Bueno;112.77;Regular
2025-07-29;13:00;21;10.79;52.79;40.61;Bueno;112.77;Regular
2025-07-29;14:00;39;12.08;52.79;40.61;Bueno;112.77;Regular
2025-07-29;15:00;39;13.21;52.79;40.61;Bueno;112.77;Regular
2025-07-29;16:00;140;18.62;52.79;40.61;Bueno;112.77;Regular
2025-07-29;17:00;71;21.38;52.79;40.61;Bueno;112.77;Regular
2025-07-29;18:00;35;22.33;52.79;40.61;Bueno;112.77;Regular
2025-07-29;19:00;164;28.79;52.79;40.61;Bueno;112.77;Regular
2025-07-29;20:00;327;42.04;52.79;40.61;Bueno;112.77;Regular
2025-07-29;21:00;216;50.50;52.79;40.61;Bueno;112.77;Regular
2025-07-29;22:00;65;52.75;52.79;40.61;Bueno;112.77;Regular
2025-07-29;23:00;9;52.79;52.79;40.61;Bueno;112.77;Regular
2025-07-30;00:00;23;53.29;9.83;7.56;Bueno;21.85;Bueno
2025-07-30;01:00;18;53.62;9.83;7.56;Bueno;21.85;Bueno
2025-07-30;02:00;9;53.79;9.83;7.56;Bueno;21.85;Bueno
2025-07-30;03:00;6;53.88;9.83;7.56;Bueno;21.85;Bueno
2025-07-30;04:00;4;53.79;9.83;7.56;Bueno;21.85;Bueno
2025-07-30;05:00;4;53.71;9.83;7.56;Bueno;21.85;Bueno
2025-07-30;06:00;5;53.67;9.83;7.56;Bueno;21.85;Bueno
2025-07-30;07:00;6;53.58;9.83;7.56;Bueno;21.85;Bueno
2025-07-30;08:00;6;53.50;9.83;7.56;Bueno;21.85;Bueno
2025-07-30;09:00;1;53.08;9.83;7.56;Bueno;21.85;Bueno
2025-07-30;10:00;5;52.79;9.83;7.56;Bueno;21.85;Bueno
2025-07-30;11:00;5;52.62;9.83;7.56;Bueno;21.85;Bueno
2025-07-30;12:00;8;51.08;9.83;7.56;Bueno;21.85;Bueno
2025-07-30;13:00;9;50.58;9.83;7.56;Bueno;21.85;Bueno
2025-07-30;14:00;10;49.38;9.83;7.56;Bueno;21.85;Bueno
2025-07-30;15:00;17;48.46;9.83;7.56;Bueno;21.85;Bueno
2025-07-30;16:00;13;43.17;9.83;7.56;Bueno;21.85;Bueno
2025-07-30;17:00;13;40.75;9.83;7.56;Bueno;21.85;Bueno
2025-07-30;18:00;23;40.25;9.83;7.56;Bueno;21.85;Bueno
2025-07-30;19:00;21;34.29;9.83;7.56;Bueno;21.85;Bueno
2025-07-30;20:00;10;21.08;9.83;7.56;Bueno;21.85;Bueno
2025-07-30;21:00;8;12.42;9.83;7.56;Bueno;21.85;Bueno
2025-07-30;22:00;6;9.96;9.83;7.56;Bueno;21.85;Bueno
2025-07-30;23:00;6;9.83;9.83;7.56;Bueno;21.85;Bueno
2025-07-31;00:00;4;9.04;3.58;2.76;Bueno;7.96;Bueno
2025-07-31;01:00;1;8.33;3.58;2.76;Bueno;7.96;Bueno
2025-07-31;02:00;1;8.00;3.58;2.76;Bueno;7.96;Bueno
2025-07-31;03:00;1;7.79;3.58;2.76;Bueno;7.96;Bueno
2025-07-31;04:00;1;7.67;3.58;2.76;Bueno;7.96;Bueno
2025-07-31;05:00;1;7.54;3.58;2.76;Bueno;7.96;Bueno
2025-07-31;06:00;1;7.38;3.58;2.76;Bueno;7.96;Bueno
2025-07-31;07:00;1;7.17;3.58;2.76;Bueno;7.96;Bueno
2025-07-31;08:00;1;6.96;3.58;2.76;Bueno;7.96;Bueno
2025-07-31;09:00;3;7.04;3.58;2.76;Bueno;7.96;Bueno
2025-07-31;10:00;1;6.88;3.58;2.76;Bueno;7.96;Bueno
2025-07-31;11:00;3;6.79;3.58;2.76;Bueno;7.96;Bueno
2025-07-31;12:00;4;6.62;3.58;2.76;Bueno;7.96;Bueno
2025-07-31;13:00;3;6.38;3.58;2.76;Bueno;7.96;Bueno
2025-07-31;14:00;7;6.25;3.58;2.76;Bueno;7.96;Bueno
2025-07-31;15:00;6;5.79;3.58;2.76;Bueno;7.96;Bueno
2025-07-31;16:00;6;5.50;3.58;2.76;Bueno;7.96;Bueno
2025-07-31;17:00;7;5.25;3.58;2.76;Bueno;7.96;Bueno
2025-07-31;18:00;7;4.58;3.58;2.76;Bueno;7.96;Bueno
2025-07-31;19:00;6;3.96;3.58;2.76;Bueno;7.96;Bueno
2025-07-31;20:00;8;3.88;3.58;2.76;Bueno;7.96;Bueno
2025-07-31;21:00;7;3.83;3.58;2.76;Bueno;7.96;Bueno
2025-07-31;22:00;4;3.75;3.58;2.76;Bueno;7.96;Bueno
2025-07-31;23:00;2;3.58;3.58;2.76;Bueno;7.96;Bueno
2025-08-01;00:00;2;3.50;17.25;13.27;Bueno;38.33;Bueno
2025-08-01;01:00;1;3.50;17.25;13.27;Bueno;38.33;Bueno
2025-08-01;02:00;1;3.50;17.25;13.27;Bueno;38.33;Bueno
2025-08-01;03:00;1;3.50;17.25;13.27;Bueno;38.33;Bueno
2025-08-01;04:00;1;3.50;17.25;13.27;Bueno;38.33;Bueno
2025-08-01;05:00;1;3.50;17.25;13.27;Bueno;38.33;Bueno
2025-08-01;06:00;1;3.50;17.25;13.27;Bueno;38.33;Bueno
