Fecha;Hora;ConcentracionMP2_5;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;20;;10.39;20.78;Bueno;69.28;Bueno
2025-07-27;02:00;13;;10.39;20.78;Bueno;69.28;Bueno
2025-07-27;03:00;16;;10.39;20.78;Bueno;69.28;Bueno
2025-07-27;04:00;16;;10.39;20.78;Bueno;69.28;Bueno
2025-07-27;05:00;8;;10.39;20.78;Bueno;69.28;Bueno
2025-07-27;06:00;8;;10.39;20.78;Bueno;69.28;Bueno
2025-07-27;07:00;5;;10.39;20.78;Bueno;69.28;Bueno
2025-07-27;08:00;3;;10.39;20.78;Bueno;69.28;Bueno
2025-07-27;09:00;3;;10.39;20.78;Bueno;69.28;Bueno
2025-07-27;10:00;1;;10.39;20.78;Bueno;69.28;Bueno
2025-07-27;11:00;6;;10.39;20.78;Bueno;69.28;Bueno
2025-07-27;12:00;11;;10.39;20.78;Bueno;69.28;Bueno
2025-07-27;13:00;12;;10.39;20.78;Bueno;69.28;Bueno
2025-07-27;14:00;19;;10.39;20.78;Bueno;69.28;Bueno
2025-07-27;15:00;18;;10.39;20.78;Bueno;69.28;Bueno
2025-07-27;16:00;22;;10.39;20.78;Bueno;69.28;Bueno
2025-07-27;17:00;22;;10.39;20.78;Bueno;69.28;Bueno
2025-07-27;18:00;12;11.94;10.39;20.78;Bueno;69.28;Bueno
2025-07-27;19:00;8;11.74;10.39;20.78;Bueno;69.28;Bueno
2025-07-27;20:00;6;11.45;10.39;20.78;Bueno;69.28;Bueno
2025-07-27;21:00;3;11.05;10.39;20.78;Bueno;69.28;Bueno
2025-07-27;22:00;3;10.68;10.39;20.78;Bueno;69.28;Bueno
2025-07-27;23:00;4;10.39;10.39;20.78;Bueno;69.28;Bueno
2025-07-28;00:00;1;10.00;4.12;8.25;Bueno;27.50;Bueno
2025-07-28;01:00;2;9.25;4.12;8.25;Bueno;27.50;Bueno
2025-07-28;02:00;2;8.79;4.12;8.25;Bueno;27.50;Bueno
2025-07-28;03:00;1;8.17;4.12;8.25;Bueno;27.50;Bueno
2025-07-28;04:00;1;7.54;4.12;8.25;Bueno;27.50;Bueno
2025-07-28;05:00;1;7.25;4.12;8.25;Bueno;27.50;Bueno
2025-07-28;06:00;1;6.96;4.12;8.25;Bueno;27.50;Bueno
2025-07-28;07:00;4;6.92;4.12;8.25;Bueno;27.50;Bueno
2025-07-28;08:00;2;6.88;4.12;8.25;Bueno;27.50;Bueno
2025-07-28;09:00;1;6.79;4.12;8.25;Bueno;27.50;Bueno
2025-07-28;10:00;3;6.88;4.12;8.25;Bueno;27.50;Bueno
2025-07-28;11:00;1;6.67;4.12;8.25;Bueno;27.50;Bueno
2025-07-28;12:00;4;6.38;4.12;8.25;Bueno;27.50;Bueno
2025-07-28;13:00;2;5.96;4.12;8.25;Bueno;27.50;Bueno
2025-07-28;14:00;6;5.42;4.12;8.25;Bueno;27.50;Bueno
2025-07-28;15:00;9;5.04;4.12;8.25;Bueno;27.50;Bueno
2025-07-28;16:00;8;4.46;4.12;8.25;Bueno;27.50;Bueno
2025-07-28;17:00;5;3.75;4.12;8.25;Bueno;27.50;Bueno
2025-07-28;18:00;7;3.54;4.12;8.25;Bueno;27.50;Bueno
2025-07-28;19:00;5;3.42;4.12;8.25;Bueno;27.50;Bueno
2025-07-28;20:00;7;3.46;4.12;8.25;Bueno;27.50;Bueno
2025-07-28;21:00;10;3.75;4.12;8.25;Bueno;27.50;Bueno
2025-07-28;22:00;10;4.04;4.12;8.25;Bueno;27.50;Bueno
2025-07-28;23:00;6;4.12;4.12;8.25;Bueno;27.50;Bueno
2025-07-29;00:00;10;4.50;45.46;90.92;Bueno;166.43;Regular
2025-07-29;01:00;8;4.75;45.46;90.92;Bueno;166.43;Regular
2025-07-29;02:00;3;4.79;45.46;90.92;Bueno;166.43;Regular
2025-07-29;03:00;4;4.92;45.46;90.92;Bueno;166.43;Regular
2025-07-29;04:00;5;5.08;45.46;90.92;Bueno;166.43;Regular
2025-07-29;05:00;6;5.29;45.46;90.92;Bueno;166.43;Regular
2025-07-29;06:00;5;5.46;45.46;90.92;Bueno;166.43;Regular
2025-07-29;07:00;8;5.62;45.46;90.92;Bueno;166.43;Regular
2025-07-29;08:00;8;5.88;45.46;90.92;Bueno;166.43;Regular
2025-07-29;09:00;10;6.25;45.46;90.92;Bueno;166.43;Regular
2025-07-29;10:00;12;6.62;45.46;90.92;Bueno;166.43;Regular
2025-07-29;11:00;7;6.88;45.46;90.92;Bueno;166.43;Regular
2025-07-29;12:00;52;8.88;45.46;90.92;Bueno;166.43;Regular
