Fecha;Hora;ConcentracionMP10;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;21;;21.30;16.39;Bueno;47.34;Bueno
2025-07-27;02:00;23;;21.30;16.39;Bueno;47.34;Bueno
2025-07-27;03:00;38;;21.30;16.39;Bueno;47.34;Bueno
2025-07-27;04:00;12;;21.30;16.39;Bueno;47.34;Bueno
2025-07-27;05:00;10;;21.30;16.39;Bueno;47.34;Bueno
2025-07-27;06:00;9;;21.30;16.39;Bueno;47.34;Bueno
2025-07-27;07:00;12;;21.30;16.39;Bueno;47.34;Bueno
2025-07-27;08:00;9;;21.30;16.39;Bueno;47.34;Bueno
2025-07-27;09:00;5;;21.30;16.39;Bueno;47.34;Bueno
2025-07-27;10:00;6;;21.30;16.39;Bueno;47.34;Bueno
2025-07-27;11:00;12;;21.30;16.39;Bueno;47.34;Bueno
2025-07-27;12:00;25;;21.30;16.39;Bueno;47.34;Bueno
2025-07-27;13:00;21;;21.30;16.39;Bueno;47.34;Bueno
2025-07-27;14:00;24;;21.30;16.39;Bueno;47.34;Bueno
2025-07-27;15:00;58;;21.30;16.39;Bueno;47.34;Bueno
2025-07-27;16:00;53;;21.30;16.39;Bueno;47.34;Bueno
2025-07-27;17:00;40;;21.30;16.39;Bueno;47.34;Bueno
2025-07-27;18:00;30;22.67;21.30;16.39;Bueno;47.34;Bueno
2025-07-27;19:00;33;23.21;21.30;16.39;Bueno;47.34;Bueno
2025-07-27;20:00;17;22.90;21.30;16.39;Bueno;47.34;Bueno
2025-07-27;21:00;12;22.38;21.30;16.39;Bueno;47.34;Bueno
2025-07-27;22:00;11;21.86;21.30;16.39;Bueno;47.34;Bueno
2025-07-27;23:00;9;21.30;21.30;16.39;Bueno;47.34;Bueno
2025-07-28;00:00;8;20.75;9.92;7.63;Bueno;22.04;Bueno
2025-07-28;01:00;3;20.00;9.92;7.63;Bueno;22.04;Bueno
2025-07-28;02:00;1;19.08;9.92;7.63;Bueno;22.04;Bueno
2025-07-28;03:00;1;17.54;9.92;7.63;Bueno;22.04;Bueno
2025-07-28;04:00;1;17.08;9.92;7.63;Bueno;22.04;Bueno
2025-07-28;05:00;1;16.71;9.92;7.63;Bueno;22.04;Bueno
2025-07-28;06:00;1;16.38;9.92;7.63;Bueno;22.04;Bueno
2025-07-28;07:00;1;15.92;9.92;7.63;Bueno;22.04;Bueno
2025-07-28;08:00;1;15.58;9.92;7.63;Bueno;22.04;Bueno
2025-07-28;09:00;2;15.46;9.92;7.63;Bueno;22.04;Bueno
2025-07-28;10:00;8;15.54;9.92;7.63;Bueno;22.04;Bueno
2025-07-28;11:00;8;15.38;9.92;7.63;Bueno;22.04;Bueno
2025-07-28;12:00;12;14.83;9.92;7.63;Bueno;22.04;Bueno
2025-07-28;13:00;14;14.54;9.92;7.63;Bueno;22.04;Bueno
2025-07-28;14:00;22;14.46;9.92;7.63;Bueno;22.04;Bueno
2025-07-28;15:00;18;12.79;9.92;7.63;Bueno;22.04;Bueno
2025-07-28;16:00;14;11.17;9.92;7.63;Bueno;22.04;Bueno
2025-07-28;17:00;11;9.96;9.92;7.63;Bueno;22.04;Bueno
2025-07-28;18:00;23;9.67;9.92;7.63;Bueno;22.04;Bueno
2025-07-28;19:00;19;9.08;9.92;7.63;Bueno;22.04;Bueno
2025-07-28;20:00;25;9.42;9.92;7.63;Bueno;22.04;Bueno
2025-07-28;21:00;18;9.67;9.92;7.63;Bueno;22.04;Bueno
2025-07-28;22:00;16;9.88;9.92;7.63;Bueno;22.04;Bueno
2025-07-28;23:00;10;9.92;9.92;7.63;Bueno;22.04;Bueno
2025-07-29;00:00;7;9.88;12.46;9.58;Bueno;27.69;Bueno
2025-07-29;01:00;3;9.88;12.46;9.58;Bueno;27.69;Bueno
2025-07-29;02:00;8;10.17;12.46;9.58;Bueno;27.69;Bueno
2025-07-29;03:00;5;10.33;12.46;9.58;Bueno;27.69;Bueno
2025-07-29;04:00;5;10.50;12.46;9.58;Bueno;27.69;Bueno
2025-07-29;05:00;5;10.67;12.46;9.58;Bueno;27.69;Bueno
2025-07-29;06:00;3;10.75;12.46;9.58;Bueno;27.69;Bueno
2025-07-29;07:00;9;11.08;12.46;9.58;Bueno;27.69;Bueno
2025-07-29;08:00;14;11.62;12.46;9.58;Bueno;27.69;Bueno
2025-07-29;09:00;9;11.92;12.46;9.58;Bueno;27.69;Bueno
2025-07-29;10:00;16;12.25;12.46;9.58;Bueno;27.69;Bueno
2025-07-29;11:00;7;12.21;12.46;9.58;Bueno;27.69;Bueno
2025-07-29;12:00;3;11.83;12.46;9.58;Bueno;27.69;Bueno
2025-07-29;13:00;20;12.08;12.46;9.58;Bueno;27.69;Bueno
2025-07-29;14:00;16;11.83;12.46;9.58;Bueno;27.69;Bueno
2025-07-29;15:00;13;11.62;12.46;9.58;Bueno;27.69;Bueno
2025-07-29;16:00;7;11.33;12.46;9.58;Bueno;27.69;Bueno
2025-07-29;17:00;5;11.08;12.46;9.58;Bueno;27.69;Bueno
2025-07-29;18:00;20;10.96;12.46;9.58;Bueno;27.69;Bueno
2025-07-29;19:00;20;11.00;12.46;9.58;Bueno;27.69;Bueno
2025-07-29;20:00;24;10.96;12.46;9.58;Bueno;27.69;Bueno
